Subject	Item	word_pos	electrode	my_in
v1_CYOCM	1	1	lhe	1
v1_CYOCM	1	1	rhe	1
v1_CYOCM	1	1	LE	1
v1_CYOCM	1	1	MiPf	1
v1_CYOCM	1	1	LLPf	1
v1_CYOCM	1	1	RLPf	1
v1_CYOCM	1	1	LMPf	1
v1_CYOCM	1	1	RMPf	1
v1_CYOCM	1	1	LDFr	1
v1_CYOCM	1	1	RDFr	1
v1_CYOCM	1	1	LMFr	1
v1_CYOCM	1	1	RMFr	1
v1_CYOCM	1	1	LLFr	1
v1_CYOCM	1	1	RLFr	1
v1_CYOCM	1	1	LMCe	1
v1_CYOCM	1	1	RMCe	1
v1_CYOCM	1	1	LDCe	1
v1_CYOCM	1	1	RDCe	1
v1_CYOCM	1	1	MiCe	1
v1_CYOCM	1	1	MiPa	1
v1_CYOCM	1	1	LLTe	1
v1_CYOCM	1	1	RLTe	1
v1_CYOCM	1	1	LDPa	1
v1_CYOCM	1	1	RDPa	1
v1_CYOCM	1	1	LLOc	1
v1_CYOCM	1	1	RLOc	1
v1_CYOCM	1	1	LMOc	1
v1_CYOCM	1	1	RMOc	1
v1_CYOCM	1	1	MiOc	1
v1_CYOCM	1	1	A2	1
v1_CYOCM	100	1	lhe	1
v1_CYOCM	100	1	rhe	1
v1_CYOCM	100	1	LE	1
v1_CYOCM	100	1	MiPf	1
v1_CYOCM	100	1	LLPf	1
v1_CYOCM	100	1	RLPf	1
v1_CYOCM	100	1	LMPf	1
v1_CYOCM	100	1	RMPf	1
v1_CYOCM	100	1	LDFr	1
v1_CYOCM	100	1	RDFr	1
v1_CYOCM	100	1	LMFr	1
v1_CYOCM	100	1	RMFr	1
v1_CYOCM	100	1	LLFr	1
v1_CYOCM	100	1	RLFr	1
v1_CYOCM	100	1	LMCe	1
v1_CYOCM	100	1	RMCe	1
v1_CYOCM	100	1	LDCe	1
v1_CYOCM	100	1	RDCe	1
v1_CYOCM	100	1	MiCe	1
v1_CYOCM	100	1	MiPa	1
v1_CYOCM	100	1	LLTe	1
v1_CYOCM	100	1	RLTe	1
v1_CYOCM	100	1	LDPa	1
v1_CYOCM	100	1	RDPa	1
v1_CYOCM	100	1	LLOc	1
v1_CYOCM	100	1	RLOc	1
v1_CYOCM	100	1	LMOc	1
v1_CYOCM	100	1	RMOc	1
v1_CYOCM	100	1	MiOc	1
v1_CYOCM	100	1	A2	1
v1_CYOCM	102	1	lhe	1
v1_CYOCM	102	1	rhe	1
v1_CYOCM	102	1	LE	1
v1_CYOCM	102	1	MiPf	1
v1_CYOCM	102	1	LLPf	1
v1_CYOCM	102	1	RLPf	1
v1_CYOCM	102	1	LMPf	1
v1_CYOCM	102	1	RMPf	1
v1_CYOCM	102	1	LDFr	1
v1_CYOCM	102	1	RDFr	1
v1_CYOCM	102	1	LMFr	1
v1_CYOCM	102	1	RMFr	1
v1_CYOCM	102	1	LLFr	1
v1_CYOCM	102	1	RLFr	1
v1_CYOCM	102	1	LMCe	1
v1_CYOCM	102	1	RMCe	1
v1_CYOCM	102	1	LDCe	1
v1_CYOCM	102	1	RDCe	1
v1_CYOCM	102	1	MiCe	1
v1_CYOCM	102	1	MiPa	1
v1_CYOCM	102	1	LLTe	1
v1_CYOCM	102	1	RLTe	1
v1_CYOCM	102	1	LDPa	1
v1_CYOCM	102	1	RDPa	1
v1_CYOCM	102	1	LLOc	1
v1_CYOCM	102	1	RLOc	1
v1_CYOCM	102	1	LMOc	1
v1_CYOCM	102	1	RMOc	1
v1_CYOCM	102	1	MiOc	1
v1_CYOCM	102	1	A2	1
v1_CYOCM	104	1	lhe	1
v1_CYOCM	104	1	rhe	1
v1_CYOCM	104	1	LE	1
v1_CYOCM	104	1	MiPf	1
v1_CYOCM	104	1	LLPf	1
v1_CYOCM	104	1	RLPf	1
v1_CYOCM	104	1	LMPf	1
v1_CYOCM	104	1	RMPf	1
v1_CYOCM	104	1	LDFr	1
v1_CYOCM	104	1	RDFr	1
v1_CYOCM	104	1	LMFr	1
v1_CYOCM	104	1	RMFr	1
v1_CYOCM	104	1	LLFr	1
v1_CYOCM	104	1	RLFr	1
v1_CYOCM	104	1	LMCe	1
v1_CYOCM	104	1	RMCe	1
v1_CYOCM	104	1	LDCe	1
v1_CYOCM	104	1	RDCe	1
v1_CYOCM	104	1	MiCe	1
v1_CYOCM	104	1	MiPa	1
v1_CYOCM	104	1	LLTe	1
v1_CYOCM	104	1	RLTe	1
v1_CYOCM	104	1	LDPa	1
v1_CYOCM	104	1	RDPa	1
v1_CYOCM	104	1	LLOc	1
v1_CYOCM	104	1	RLOc	1
v1_CYOCM	104	1	LMOc	1
v1_CYOCM	104	1	RMOc	1
v1_CYOCM	104	1	MiOc	1
v1_CYOCM	104	1	A2	1
v1_CYOCM	105	1	lhe	1
v1_CYOCM	105	1	rhe	1
v1_CYOCM	105	1	LE	1
v1_CYOCM	105	1	MiPf	1
v1_CYOCM	105	1	LLPf	1
v1_CYOCM	105	1	RLPf	1
v1_CYOCM	105	1	LMPf	1
v1_CYOCM	105	1	RMPf	1
v1_CYOCM	105	1	LDFr	1
v1_CYOCM	105	1	RDFr	1
v1_CYOCM	105	1	LMFr	1
v1_CYOCM	105	1	RMFr	1
v1_CYOCM	105	1	LLFr	1
v1_CYOCM	105	1	RLFr	1
v1_CYOCM	105	1	LMCe	1
v1_CYOCM	105	1	RMCe	1
v1_CYOCM	105	1	LDCe	1
v1_CYOCM	105	1	RDCe	1
v1_CYOCM	105	1	MiCe	1
v1_CYOCM	105	1	MiPa	1
v1_CYOCM	105	1	LLTe	1
v1_CYOCM	105	1	RLTe	1
v1_CYOCM	105	1	LDPa	1
v1_CYOCM	105	1	RDPa	1
v1_CYOCM	105	1	LLOc	1
v1_CYOCM	105	1	RLOc	1
v1_CYOCM	105	1	LMOc	1
v1_CYOCM	105	1	RMOc	1
v1_CYOCM	105	1	MiOc	0
v1_CYOCM	105	1	A2	1
v1_CYOCM	106	1	lhe	1
v1_CYOCM	106	1	rhe	1
v1_CYOCM	106	1	LE	1
v1_CYOCM	106	1	MiPf	1
v1_CYOCM	106	1	LLPf	1
v1_CYOCM	106	1	RLPf	1
v1_CYOCM	106	1	LMPf	1
v1_CYOCM	106	1	RMPf	1
v1_CYOCM	106	1	LDFr	1
v1_CYOCM	106	1	RDFr	1
v1_CYOCM	106	1	LMFr	1
v1_CYOCM	106	1	RMFr	1
v1_CYOCM	106	1	LLFr	1
v1_CYOCM	106	1	RLFr	1
v1_CYOCM	106	1	LMCe	1
v1_CYOCM	106	1	RMCe	1
v1_CYOCM	106	1	LDCe	1
v1_CYOCM	106	1	RDCe	1
v1_CYOCM	106	1	MiCe	1
v1_CYOCM	106	1	MiPa	1
v1_CYOCM	106	1	LLTe	1
v1_CYOCM	106	1	RLTe	1
v1_CYOCM	106	1	LDPa	1
v1_CYOCM	106	1	RDPa	1
