 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.91436275385022 -0.632415087372386 1.41033604035814 -0.107410894617641 -0.560965794882886 0.472247705530251 -0.260901884657945 -0.711061617694631 0.663211209288206 -0.0317026774735938 -1.99287064335115 -0.603552022125124 0.603674904135372 0.0471194097711909 -0.0890202359181206 -0.126148051844144 -0.270199126243246 -0.160287092672875 -0.989220152734908 -0.109250450617964 0.0120024589824067 -0.332115386666729 0.222567741531065 -0.498191460102372 0.741913183045158 0.147379136207804 -0.103776514243427 0.95967383933502 0.122519166951166 -0.209379304333197 
rhe 0.974540948997514 -0.244993464452948 1.36500524642507 -0.141652099922293 -0.714092711429424 0.364051707958094 0.195415084585696 -0.749588714624803 0.529830714704645 -0.586110677938972 2.87250148747803 -0.804406656018496 0.909952435932029 -0.0590214401716298 0.0589344100290558 -0.74283624936218 0.218986495985046 -0.286763283626028 -0.405669591655752 0.437181021436463 -0.917676863963611 0.117402428113701 -0.346033205018691 -0.40583316123266 0.251468035312349 0.512622935512584 0.68573234999927 0.186971064846627 0.291841781259669 0.301505389472164 
LE 0.924302442716212 1.67350709902994 1.71434899962337 -0.0839176648546685 -0.533051982987451 0.434969136384777 -0.150717442790234 -0.744912971850233 0.598334025489964 -0.0794940870750285 -0.3179265048284 -0.714406931752626 0.810099177943414 0.0272271672813171 0.0481861486440634 -0.161400009080661 0.116421251917814 -0.0434472556422228 -0.657394081899045 0.160117271440412 1.67528877171902 0.0132812904131337 -0.0410193907786923 -0.340518311217407 0.80176386927978 0.160006611710575 0.101193044060445 0.815313348607646 0.129746746613797 0.111378797020933 
MiPf 0.994793554128783 -2.83664804524174 0.638608200869743 -0.11245017560761 -1.01347728300338 0.540714484470923 -0.68832631040941 -1.02399937757599 0.571123445426414 0.191602820080485 0.756710516819439 -1.29886248599638 1.45151891133775 0.247631454772473 0.282934195847771 0.379408366936994 0.370280178194199 -0.26751838034902 -1.5163028677015 -0.202708035048865 3.19147531346418 0.680842824262703 0.447590869222506 -0.835120799703136 1.52448226856853 0.225550786258659 -0.29658837267591 1.00615961848795 0.0721707348578123 -0.813200895549825 
LLPf 0.965415666107127 -1.98109348140723 0.688860743571373 -0.108051941929299 -0.871055088798682 0.903294670779753 -0.5938512951832 -0.872536878088175 0.762184118346826 0.178450004872902 -0.594823229199141 -1.06489668347887 0.880610842650155 0.159841550518566 4.96287525896858 0.248461047308861 0.397448977890249 -0.00850442562945635 -1.62843409767788 -0.41321919617948 1.85142659314705 0.494298037097041 0.471717043498166 -0.739861725279637 0.874472571481136 0.028496492525548 -0.34294650633914 1.03228950869092 -0.181704896747854 -0.635190233652773 
RLPf 1.0008941029646 -2.43896802962594 0.701098265029659 -0.110561021239887 -1.03871060695389 0.484456517634828 -0.302065600894717 -0.989404030118195 0.599087289488649 0.160980525434711 1.890618972198 -1.13271859130694 2.11701147569059 0.996492981127225 0.0146352859526498 1.42704443432476 0.396004956440608 5.33375171148946 -0.838208713200106 0.00793965207219847 1.04357769206832 0.616244363208364 0.023150367860712 -0.805912961062656 2.69443154320647 -0.219300185205658 0.0983417412538407 -0.931625331609055 -0.308879468164194 0.458494175263719 
LMPf 1.02365902573146 -1.32213793517256 -0.437509616024759 -0.10002351927869 -1.27869091280678 0.741855722513707 -0.979175657668874 -1.12383107005101 0.658265251465031 0.416651294490815 0.419927367077214 -1.5199157830319 1.24316612607359 0.298872659513302 1.01300917413665 0.612247040209333 0.728197561127016 0.0805992766759779 -2.13443990637207 -0.590413721312132 1.52894540965787 1.41311722894471 0.896210947664064 -1.47896176063007 2.04625644471258 0.404239632249175 -0.628254754073317 2.47707645127757 -0.152062919141713 -1.29504657766119 
RMPf 1.03594382804551 -1.356333584181 -0.409038912369722 -0.107513844842505 -1.35528607417053 0.527469853959023 -0.920667378119852 -1.17539052439032 0.583220310955692 0.693280476711849 0.875120857026598 -1.4643712326834 2.17770846793811 0.563548681943663 0.399993415482642 1.3488823136831 0.568757291330793 0.156267936818477 -1.57551031989121 -0.463251528992668 1.29718243323474 0.786085100082058 0.709755600450537 -1.24368436141959 2.59449367393754 0.510874256509296 -0.504632392343091 0.127002592877998 -0.270464122612597 -0.992228877639829 
LDFr 0.993039642686405 -0.906613582404578 -0.463459410642249 -0.0904791962664072 -1.10508778847064 1.32569903602206 -0.786966808774183 -0.984131223915826 0.934844128401495 0.32303310848263 0.0567631902136202 -1.10285810483545 0.503150337230197 0.208932191613535 1.44685042567296 0.475238431120414 1.4226766978797 0.0225782346044402 -1.89001481413319 -0.620044446030044 1.03157372495854 4.03660835992467 0.943789513728718 -1.32683554180773 1.10337154552261 0.370478617486583 -0.618424758870928 0.857812665517214 -0.0254117690650485 -0.448594927206798 
RDFr 1.04196941822114 -0.913662879511095 -0.42999533081 -0.118814509718577 -1.35272134925754 0.483884966930891 -0.368570369320373 -1.05261429040801 0.636668032695039 1.92496140826661 1.15369267340011 -1.23068551379739 2.1038167777724 1.42399066676013 0.217212178108662 3.96057622442135 0.552837652743522 0.0834151923171433 -0.769438239630461 -0.283102585887775 0.573515607712639 0.643382520216824 0.273778905366051 -0.849575030435858 1.42350298987881 0.931060929119503 -0.114992536525268 -0.678050822276158 -0.14572428235313 -0.266427623165665 
