 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.930967765970397 -0.47372224230441 1.20927172385101 0.354225930983437 -0.0184103559792013 1.74606973622805 0.0342691929523181 -0.926178184037095 0.675206493754131 0.211195216441499 0.0855357899007014 0.00553236246414383 0.0135526158297605 0.316183581408369 -0.0925206688817279 -0.566735096723488 -0.343872453281761 -0.0258870695227757 0.229219755287 -0.557169881594235 -0.679536582601895 0.526269598199209 -0.208631970714623 -0.190053871714238 -0.416587549065825 -0.0221656827679206 -0.399859599824151 0.133302532566139 0.198204305329432 -0.00492457588956984 
rhe 1.01211469352041 -0.253518343533781 1.17187134311076 0.401378313055323 0.18227815910827 -2.79851310779834 0.0961343366800541 -1.14741421229852 0.29642776283654 0.209095749722863 0.152817248414366 0.293060558996318 -0.00457018078334614 0.0538939202762419 0.445638702340836 -0.643390125924566 -0.375402834023533 0.418911818723659 -0.301681557103326 -1.22307207383563 -0.419649414374497 0.20926470673843 0.759652347055254 0.19554060136687 -1.23051197362137 0.34400930925894 -0.439375699351397 -0.232300156573428 -1.62835520844326 0.57591035669161 
LE 0.954137673376301 1.33894713377329 1.30659097164835 0.218475101670434 0.0441028709447329 0.411479644338517 0.059413035321518 -0.98671349864289 1.49766279508269 0.120835548055278 0.26913969805138 0.102156626016429 -0.141375005025811 0.133198329043551 -0.0535574125194146 -0.697937638795466 -0.491738817631338 0.0193696300252707 -0.145028466324278 -0.903597630202284 -0.590089982473969 0.290935424482091 0.0176993420966175 -0.0510185311545562 -0.965835303091249 -0.0647356310269277 -0.445714014697907 0.0412463031076328 -0.737968817303904 -0.21816467945743 
MiPf 0.991938024242176 -3.00042116704034 0.191972999670423 1.10932821495682 0.0124340820788097 -1.37754142049517 0.411294956501705 -1.26994788905491 2.96558726005717 0.580453252748146 0.578257728064162 -0.0804804117404488 -4.72772555787304 0.555545799284789 0.00598991817717462 -0.860157413150681 -0.560743993254913 0.242802600924655 0.00886699814648861 -0.82838755023326 -1.09871711649625 1.27090922031294 0.048684303144307 -0.0605191118439091 -0.954158849823907 -0.110678211200142 -0.420963469531589 -1.82703577513912 -0.356666334920723 0.349124390478429 
LLPf 0.972557399032711 -2.67369838616136 0.572197197139116 0.835592109201737 -0.0136363935160914 0.336525149222934 -0.336254087372777 -1.15228657498549 2.27724339558401 0.453650194994046 4.5913598415495 -0.123250488641763 0.878349242992461 1.03362455777477 -0.0170214782513388 -0.715126182719309 -0.469581210042212 -0.0192766940693995 0.414553021742453 -0.691988914545471 -1.0571849106267 1.33431413723419 -0.213839829642962 -0.0264761505536956 -0.566659592184678 -2.00003199279013 -0.250021824096398 3.0496610299981 0.521790634669955 -0.100898472916266 
RLPf 1.01420645312606 -1.90255422510445 0.26798465334867 1.09191719264161 0.032265496971347 -2.2809388659066 5.19921810664184 -1.26999697219449 1.62224309345222 0.619564872690594 0.784359488814274 0.0566417257369088 0.626904713457126 0.392178715368518 0.649758550230945 -0.80957176094557 -0.444475959796018 0.0813111590257592 -0.194862785002814 -1.05885752129443 -0.978941771307732 0.720818460789143 0.473221227321469 3.49484626273597 -1.17251724217238 2.55891935713974 -0.378191658129336 -0.208249668735971 -1.10292396589545 0.529012714604404 
LMPf 0.991084813903329 -1.42474327271674 -0.505814638269538 1.65081432783065 -0.0430498537848634 -0.67904462734057 -0.456247456836617 -1.25512612471898 1.81587860574836 1.04692424772268 -1.36390081882592 -0.126043466275281 1.52991512602267 -0.328981696019259 0.0722598500212241 -0.741960727671953 -0.589868064685455 -0.0518123338016187 0.693392058941426 -0.743515440788635 -1.60754078532026 2.24543049386769 -0.242428888718795 -0.171750367979479 -0.921979267681842 0.0994036770543254 -0.345656854058863 -1.4026292397201 -0.0496753494325412 0.301668514976886 
RMPf 1.00642597151586 -1.24629227990744 -0.644270080835397 1.81443864061618 -0.0354401981701848 -1.05060149318765 -0.782556409258771 -1.29883355429049 1.5529089403425 1.15905580400142 -0.950222213038884 -0.0690344564802005 1.23507481843426 -0.219953363090631 0.40008764641203 -0.805329726517134 -0.597282835165835 -0.208275592062814 0.249120689832961 -0.879616774806603 -1.67464605538076 1.60966481479812 -0.0519965558525243 0.598224529734211 -1.08399824871797 3.39646829870454 -0.408562454772057 -0.534478000299128 -0.54012818780256 0.521494132648553 
LDFr 0.975834953305137 -1.01102540342838 -0.308682874856849 1.28264499349571 -0.061655508801247 -0.0938015816363416 -0.241532098832884 -1.09594165851215 1.22007593367819 1.01930662763709 -1.67273911764577 -0.0867422298691824 0.751580681305948 -0.668614298923831 0.0455712562556281 -0.44778669946972 -0.177211991472084 -0.0318167729578694 1.64660301579528 -0.547814306064613 -1.28756937732603 2.08061392958436 -0.343454006812523 0.0511976285524113 -0.121848967328804 -0.985782034187251 -0.415364907868054 3.48166190659688 1.16613812202491 0.641218474981928 
RDFr 1.02137233528908 -0.779122624625391 -0.605585639983307 1.47644627422694 -0.0504384706607621 -1.20407025128452 -1.08709645271319 -1.19389126645682 0.843962853186063 1.1587475412995 -0.712448255125602 0.177188732545704 0.681077148710252 -0.231779108449827 1.67496680244893 -0.521306590598499 -0.0573012023910443 -0.472243510034385 0.064734577657753 -0.978387948314658 -1.38190353347063 0.697809918313129 0.430500929691741 3.51620243440373 -1.0836278865946 1.7608246106961 -0.179874586294381 -0.243625279991391 -0.65992051384077 1.17145704547178 
LMFr 1.00695652488303 -0.767277054364531 -0.934674469017374 1.72850936286948 -0.079640227235607 -0.49968580889849 -0.275932744252661 -1.22056131303015 0.869960797356364 1.52349800097799 -0.756425231203754 -0.0722629453451129 0.647832146514841 -0.181465692070997 0.165744957506805 -0.422731725243692 0.00654585644847276 -0.0604006650514405 1.51182701784104 -0.74429630005362 -1.70647305615184 2.36888692693001 -0.499378911773079 0.197763998484759 -0.937876776934217 0.103901980328027 -0.320684465199759 0.339428648750499 -0.0880823239501117 0.635593354383579 
