 lhe rhe LE MiPf LLPf RLPf LMPf RMPf LDFr RDFr LMFr RMFr LLFr RLFr LMCe RMCe LDCe RDCe MiCe MiPa LLTe RLTe LDPa RDPa LLOc RLOc LMOc RMOc MiOc A2 
F00 0.192526703979858 0.143010257768632 0.279669785644249 0.0239859304534381 0.00652223130214182 0.167110071497691 -0.0777371943295364 -0.603318183093293 0.0366921001466418 -0.0607032354089534 0.105904174362104 0.574212904916013 0.0851850275701836 0.0205637196915799 -0.0158474280513178 -0.131858345233098 -0.0426601490588353 0.122090561942857 -0.250808870731407 0.13477002004789 -0.080914536549291 0.00781187739390779 0.497072019805227 -0.267065922569622 0.420177112399701 0.0572940276680528 -0.723204279429809 0.371160239701422 -0.049058255211986 0.0532466231260145 
F01 -0.0332389203118569 -0.0398487386872386 -0.037708471795775 -0.103028525479295 0.02793984178623 -0.101100526497614 -0.0468417614452378 0.180168277741382 0.0114266458401151 0.293004554228648 -0.114116941953172 0.631883095034312 -0.0163913059625069 -0.0912301389382351 -0.0910619090229497 -0.416041806644636 -0.0116227102455501 -0.283872211662283 -0.397669728856712 0.300013761391033 0.00445219261362683 0.0197835889676036 0.148476363235541 0.445565788490838 -0.0188390020670841 -0.0436108458940193 -0.0465745607963506 -0.252682244726356 0.0730647404644053 -0.00926246756507251 
F02 0.0145829033082148 0.0149228842176669 -0.0382698867328401 -0.0280827608753602 -0.00381620459648948 -0.0223584162093112 0.0168783257750618 0.158618941292204 -0.00828988572974763 -0.0669613168114236 -0.151125761223267 -0.017373505814032 -0.0140293006635687 -0.0131992929871616 0.0282234641465859 -0.280690981940257 0.0107398726984347 0.0641131283606872 0.436693567851489 -0.808246748543173 -0.00267971948457939 0.0918782296247245 -0.053436812083417 -0.339684944335044 0.10625645942093 -0.179522663903132 -0.219754528704468 1.42222063145421 -0.143693188004912 0.0135604988642695 
F03 -0.0493694262876518 -0.032277866053376 -0.0214859589177731 0.0311245128897795 -0.0147812283355041 -0.119880082821299 0.161114166918358 0.214184883125634 -0.0185660393479512 0.250119286795099 -0.139672284921709 -0.715890335557498 -0.0424205778180574 -0.0261500210064883 -0.686739186202162 -0.147519734190071 -0.00838950570230598 -0.0821224950240936 1.43808216672796 -0.570901836659889 0.00349156527749046 0.0241885266762489 0.46803490704848 0.0988332491250706 -0.0529822016700452 -0.0141857436774455 0.0263235814418737 0.128839727556301 -0.04489173209619 -0.00484152566784477 
F04 0.000505323957800537 0.0168819739360398 0.00125044995611953 0.005103218308601 0.000861150058488166 0.00196487156265357 0.0186715637129241 -0.101681598876042 0.00161794115712418 0.0219356367417512 0.0839373951636358 0.191467502456499 0.0083537077013945 -0.00236667682177753 -0.20019478679405 -0.176252595924448 0.0418085824266168 -0.0155715814669712 -0.511499649614588 1.13385543275747 -0.0077538006573395 -0.0625447956420274 -0.142490917503209 0.139356136146103 0.066807809548441 0.0829408713898038 0.0115573471144299 -0.511391045644591 -0.069602704422759 -0.0163584536607107 
F05 0.0108608819206218 0.00843711640582148 -0.00161475913061406 -0.0433906074786847 0.0185756134517226 0.0180211113736087 -0.0714714713779106 0.0612942180589093 0.00493142351991878 0.0631669783659278 0.0143407771052304 -0.0860593966437506 -0.0200501132568185 -0.00714151557871304 0.249855963592497 -0.0708957733487982 -0.0093845623762696 -0.00844887767760971 0.0310683754491373 -0.0383933684867251 -0.0401674434957588 -0.0679512981949191 -0.281948743059423 -0.0318608661247871 0.70545960050791 0.039597744920608 -0.425095282955967 0.377622190164018 -0.371580835573885 -0.00892515697721945 
F06 0.0261086254414791 0.0157778907890352 -0.0293170279652229 -0.0586689967721293 0.00596437263907788 0.0627510121935154 -0.0975835814452554 -0.00651201575144898 -0.00423201770336767 -0.0143063730488444 0.117777249602546 0.0582568621890133 -0.0422930318554892 -0.00347496572933215 -0.801923123376766 0.00420870817215599 -0.0437514190538036 0.0103126420817184 0.156436907276236 0.0819400551476373 0.0203574217052817 -0.0227575586249107 0.981295431056404 -0.111211292543606 -0.143555936130862 0.0231233791497673 -0.266225532450689 0.0920073278690224 -0.00480265044127262 0.00180480039291618 
F07 -0.00466482838304962 -0.00301566287912817 -0.0210944486690974 -0.0302669240839494 -0.00226728000939848 -0.0411916365667457 0.00833019994351033 0.287605112487301 -0.0108432436310043 -0.216979192196317 0.0762643197171299 -0.366325318414606 0.00295110345361409 -0.00339152808846593 -0.0465916416254189 1.49717011660609 0.0147431243905752 -0.159795963761552 -0.408298921365239 -0.219660851214244 0.00117656800882138 0.0366938516875656 -0.0526461707986663 -0.355714541020264 0.0333570526714919 0.0523809456602316 0.151166454266355 -0.164221577851026 -0.0320200144262556 -0.00181010552175312 
F08 -0.170077110470661 -0.0640539861816956 0.355303023392246 -0.0763432798897506 -0.0568759371303993 -0.113341360568338 0.0341621118050411 0.179945976905859 0.0101238422950932 0.0739641839937137 -0.00573596639687257 -0.186586016935436 0.0159176401110787 0.0224484132041552 -0.0198229770402838 -0.0247037777690031 -0.00318232786018965 0.00331145093585247 0.065459037362559 -0.028265294877996 0.00610498873757151 0.00398973392028438 0.0304859503350324 0.0277907235890492 -0.0158048218856437 -0.0209097812772256 0.0148363424110572 0.0209598531571516 -0.00891374677507806 -0.0264230221495537 
F09 -0.0494988039144015 -0.0153759013368615 0.0395084132928748 0.211552581438817 -0.0432853220595253 -0.15244240092998 0.24757846003074 -0.020662622155431 -0.0300252174386975 -0.0504091178203557 -0.0485456386952646 -0.0826076790740794 -0.00300678209449995 0.00167287877075356 -0.184757744127013 0.0582448749925835 0.00613994524030015 0.0142664431913087 0.036887286574096 0.0135982794411209 0.00244662285797985 0.026270122011687 0.0989206151444561 -0.057418850520394 0.0297849016086715 0.0166564145200331 -0.0160621211816179 0.0370329356441922 -0.0577929391841943 -0.00842948124001495 
