 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 1.03529372526391 0.166813552654408 -0.302119695829038 0.0876759720818821 -0.00295366293687249 -0.999299891521349 -0.797375762234897 -0.21172175024676 -0.793647233722983 1.01459750300553 -0.150001140896376 -0.108329192147602 -0.925322725788419 -0.518288900316544 -0.545883944824541 -0.937569132221757 0.509902938572348 2.5241144996 -0.682552240648195 -0.268012774883396 -0.149282457509498 0.181994997036801 0.477378623702104 -0.278058735438861 -0.710279170400229 0.509748267202184 -0.185131383891218 -0.0102510846593939 -0.53247778006989 0.790810273703377 
rhe 1.17645454581477 0.283225303046214 -0.194299578730624 0.165715417161057 0.0884550022791697 -1.04008016126948 -1.01960277983985 0.0491492801256482 -0.600053725636175 -0.325080614709275 1.1525711622562 -0.824532356109032 -0.88468231682702 -0.336239223901684 -0.695433583847977 0.366817129309287 2.06438694546393 -2.74049438973496 0.400176209958627 -0.2428430322008 0.0544232515869292 -1.22009880209092 0.305513287714641 -0.17330956123651 -0.736727390457827 -0.629265338320981 -2.31935534460564 0.417856454999471 -0.153554706901646 0.284005452057947 
LE 0.99474377565144 -0.0181252373144087 -0.287411769354778 0.0495708582496165 -0.0310692134222028 -0.842904283032382 -0.988345201263971 -0.170285144704321 1.28008807976923 0.648320417031151 0.172723012432104 -0.544945322290436 -0.715391777242707 -0.309481752930506 -0.668019581877012 -0.496719380639199 0.807054838608337 0.342155100697927 -0.525846638753301 -0.24642477650166 0.0113702926168785 -0.659857625000495 0.307150090683434 -0.210716971761977 -0.459477807691646 0.699430828406008 0.819986562708232 -0.0194073966010821 -0.0536605937503327 -0.141979434905008 
MiPf 1.14189833295322 1.13152393474556 -0.126948480878683 0.697599901563757 0.21928107368559 -1.41839271863848 -1.5579274877012 0.204703067371346 -2.24075256755062 2.59571237344571 0.272959362743464 -0.191549551429568 -0.932648675137367 -0.767982445028366 -0.0113769764101998 -0.711056827743952 1.70680285845785 -1.08728999143246 0.483652999533828 -0.313567793670532 0.16028717138994 -0.63959925696365 0.351885946438159 0.165855325279118 -1.38014111943341 -0.181017235649165 1.95526419643018 0.168125250902991 -0.294387929221084 -2.65611430967179 
LLPf 1.13986392144052 0.679251450917393 -0.26113961139944 0.340974661095735 0.0791812469035826 -1.35252873073963 -1.14004131748836 -0.115224227747867 -2.81677303002588 1.70888384143632 -0.401271703246353 0.519031356326801 -1.03503460039879 -0.724906058969636 -0.129773659014176 -1.1125467951411 0.330889979380762 0.560933614900461 -0.208048218152089 -0.256969967530479 0.0353955901061751 0.454794328411098 0.480923079278633 0.576648164432805 -1.5578501775805 4.82960083224752 1.42622422457543 0.0947471661965252 -0.609126147484268 1.05402974217736 
RLPf 1.24548635143299 1.21153727859704 -0.128221886830038 0.550679594570117 0.260180127990444 -1.37228402410813 -1.2461736080153 0.325821233461621 -2.48634950976556 -0.256719533651117 0.843300949848029 -0.421566210636802 -1.13765736197397 -0.721183187916875 -0.40772495293725 -0.260034320252938 2.89310239262159 -2.20682189255279 0.840598165091636 -0.399049345831165 0.112456222334667 -1.01435076056035 0.368215919376189 0.0534553084715153 -2.25147027148808 -1.26544550000982 3.30350252119369 0.253215770226873 -0.483646317898796 1.24161000881963 
LMPf 1.05103520110929 1.54339343878977 -0.0574195339277048 1.07296775381915 0.450035353744497 -1.37875407597755 -1.54457826222719 0.416087635219623 -1.29896459029474 1.69382015153478 -0.588611099879411 1.41849408191004 -0.84251453272987 -0.737235441336548 0.352661153208481 -0.495703176068833 0.999686586026996 -0.699785358224162 0.686407423049874 -0.293774868321781 0.350102767410744 -0.00457352641360503 0.319858852398783 0.643259802485686 -0.0158036857886023 -0.416576459532242 0.724976813348122 0.0779178900028664 -0.162369715277326 3.37159593528657 
RMPf 1.08951133637726 1.96482058536058 0.0237656343696257 1.20537991279397 0.559233951344491 -1.36203520042214 -1.65054925548802 0.677206967024247 -1.20692687681735 0.662223400308134 -0.148945606229857 0.407070099122282 -0.961600470202417 -0.697323724612957 0.107859220044523 -0.259632949189273 2.1477033527317 -0.988773950109134 0.972716992255292 -0.425591664215606 0.229037555523448 -0.402577352364861 0.344445641457208 0.0958383540282199 0.263206838196696 -0.533009235853596 0.741186300353451 -0.0271359875124479 -0.200842806357426 0.186448418133484 
LDFr 1.03720994122199 1.23842466259164 -0.161193138934582 0.74807597504716 0.22077288180187 -1.28896528581622 -1.12244198442631 0.228724230728805 -0.959121200494529 0.798447922991064 -0.947915663123571 2.22283447952396 -0.899171696281327 -0.689281866524092 0.753107233374816 -0.850297352515541 -0.0917011560646824 -0.177504390364123 0.342309031673166 -0.0898461779222793 0.724071457677429 1.74561783876662 0.148871706655608 5.1820189969503 -0.627608075502528 -0.459644351490816 0.53068625189136 0.0538617120850879 -0.290486252103603 1.60369744986701 
RDFr 1.13882709887017 2.16979637422485 0.0950346913780999 1.16370580313386 0.56200927201382 -1.29045897905862 -1.41893976937225 0.993399772329332 -0.913733374627432 -1.20980289973904 0.12375186460442 0.123995978885879 -1.01482606885074 -0.520307667724948 -0.000544129298858053 0.302438557991054 0.938538293168428 -1.17729927773201 1.60042247665286 -0.51977398128334 0.192913498026927 -0.7095278403673 0.39541108524172 -0.194389898770045 -2.5121813049857 -0.873386782167393 0.341518304366718 -0.540922583184581 -0.283468254435454 -0.639940497909913 
