 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.734589514046029 1.13279647799799 -0.209792910810338 0.074375293410472 -0.0514251495806366 -0.356010111970208 0.575795060176593 0.461057422587821 0.0274037815905336 0.431163147373247 -0.531465004053456 -1.70470106704404 -0.00964396025112113 -0.902289828706399 -0.203707761511116 0.0203019315028695 -0.333499069137922 -0.212496172287466 5.15166222917892 0.876811817753372 0.137636762794245 -0.360163607928724 0.571267236973876 -0.385128795652717 -1.08591129436718 0.248866805208603 -0.344704720813536 0.236477109200469 1.2201046957777 0.196838935884448 
rhe 0.395830371197293 1.56418124099951 0.695293638597671 -0.056106247804158 0.0214707301700526 -0.269290275108965 0.579653863461596 0.406420903511832 -1.28143010084703 0.23802153315258 -0.518695799204664 3.50033311773766 0.461553844285725 -1.07799953835 1.19964416677246 0.617638343936726 -0.793754286942086 0.460126843746726 -0.265244416369179 -0.27891042582748 -0.899049335781636 0.0842089416047408 0.457989392069056 -0.0694200890603992 -0.578489390998404 0.274360795218841 0.0257711176812558 1.5264616673618 -0.505565976275938 -0.429382870832087 
LE -1.49544313281189 1.49838120952081 -0.337115362038443 -0.149339686643258 -0.207072362354181 -0.488525529210359 0.54596676518607 0.483902354742213 -0.891036246310323 0.37505681594457 -0.713588870714923 -0.913425979288848 -0.0832253721497471 -0.998509708977933 -0.252740970675761 0.00874350121743623 -0.681102777177052 0.00434336946133381 -0.781128934845065 0.0439885528833716 -0.350761883804307 0.87867388524252 0.556534793411479 0.644272518705136 -0.936835482848527 0.165314258090243 -0.215425668357556 0.438746879470929 -1.62413700713522 -0.686984395531254 
MiPf 2.59952690155024 1.22335720301041 0.278907289537196 0.952797972045191 0.395291441377657 -0.0865672154493707 2.05938114923043 0.622782518540067 -0.848228713706079 0.676071871322564 -0.326368257010176 -0.00307245306515804 0.442954122556689 -1.26880241090501 0.275470056266976 0.697716778223222 -0.479886283474556 0.0760992531409385 -0.829976692649828 0.986430043330474 0.341436690053694 3.15831731872101 0.0674227842866336 -0.44167667289507 -0.912019677511017 1.74628255212797 -0.496242693430999 0.908351974654594 -0.54190609763787 -0.166073733044298 
LLPf 2.39262995810273 1.14030497911164 0.084029806377458 0.685101985119329 0.224749787480199 -0.122419297878088 1.12178985846922 0.627023195061085 -0.0575137680203723 0.660893295314033 -0.401855990004246 -1.58024485036996 0.227066314970863 -1.0465964928938 -0.101067777721534 0.424058705958212 -0.117705613614208 -0.231533176926123 -0.758992932903593 2.34570046462757 0.608073396718666 -0.47213379393172 0.211412208383018 -0.94560047457937 -0.856982648566319 1.11904821440464 -0.316737889890164 0.556131948323903 -0.113404947217827 0.489548614525231 
RLPf 2.19100867741079 1.30056675756498 0.50532895595309 0.558534246947075 0.39708306177287 -0.0760410948707734 1.46026225778867 0.510255225939585 -1.23333202905786 0.531514503016166 -0.1756444221212 1.62384923415438 0.708444715369245 -1.33465728023894 0.871270024949972 1.91123030281425 -0.680593055323825 0.801810660382757 -0.643729916043894 0.125260586787702 -0.377401294267708 2.22659815943073 0.0689945748209781 4.1839920563771 -0.828532860517814 0.794754067041589 -0.610811463949329 1.39804611933813 -0.504814299663554 0.0159775042778608 
LMPf 1.43617415825516 1.07400594618732 0.549929216042391 1.73531580950197 0.865912694765242 0.250592113580272 2.20035529312015 0.547937548269206 -0.49087491003846 0.738387739255777 0.0209080876298909 0.00364278942805938 0.677046602849809 -1.04447245269064 0.279777867398648 0.836057355806938 0.016096522662563 0.111822525469265 -0.415627156045679 1.93125098081709 0.697120022476974 1.1829894712507 0.298621283291381 -0.127348329580307 -0.692938926086252 3.91143036903607 -0.304441132043863 -0.141435963327232 -0.0801391702438434 0.559451016154893 
RMPf 1.31798119864549 1.1090204510574 0.667619435103314 1.53201591464414 1.04504874332329 0.39340601103185 2.58153157947933 0.523324782784133 -0.822671109173292 0.698233963992094 0.270705500467645 0.49560028237612 1.0806188271062 -1.08439646830831 0.679696365045678 1.65253741036509 -0.233172633547885 0.517790636922049 -0.41850405438987 0.897909250218456 0.435626174098906 1.42876152397415 0.690550092658988 0.721709104475776 -0.68538092454302 1.13275734662842 -0.394370635412388 0.0361183373002681 -0.194604628340553 0.334488356624639 
LDFr 0.991340132431452 0.966559449221429 0.53498875835164 1.42870937910047 0.797913536889951 0.304595843979301 1.05236708307596 0.518241767534731 0.205583424377877 0.78208059361093 0.0354611197699734 -0.353925009538881 0.525044159288892 -0.669296560504983 0.0397463573222525 0.735351681463267 0.944918910137056 -0.0399693820896106 -0.184799909372083 3.12659234261387 0.974585457144849 0.432866526442593 -0.0837610815739059 0.0534009613958251 -0.505803870720743 1.12072303907108 -0.134100756590841 -0.134173485766987 0.188425076428572 2.34708489387114 
RDFr 0.888726633101977 1.1318681660344 0.865544331282568 1.01824168074436 1.08829707625144 0.444502181179336 1.39250339720926 0.545124192058645 -1.0311060649665 0.581531890989359 0.377899965444545 0.945636643184454 1.77308370238767 -0.881505625364254 1.47722614798576 3.08684462198745 -0.308573269265035 1.15559946896231 -0.331244445131836 0.343510374886654 -0.420547423128666 1.2415575445257 0.294411988932546 1.15471252173625 -0.596918686591865 0.693910679637915 -0.83875323315385 -0.378524850433607 -0.291234429473214 0.517107277399774 
LMFr 0.797919778068446 0.961111413773473 0.766641069630291 2.13869762659533 1.7032183797414 0.663934190575105 1.27925596253927 0.511753156904339 -0.610306691652176 0.814148286716673 0.177171381676389 0.209824699244813 0.896267329274513 -0.810326986189978 0.237350622818264 0.692483604013752 0.871529212305856 0.160944708673871 -0.245260299042344 1.4103652736742 0.337226111655027 0.666476770628303 0.758490986878467 0.575214309609668 -0.352404543252303 0.97200450079422 -0.168346456455163 -0.229009974852642 -0.116879870167428 0.677083645089413 
RMFr 0.748869909841165 1.00716496838683 0.882070588908627 1.65349868027444 1.95930977043818 0.948123470750148 1.43005306344215 0.541156045356081 -1.03482722775049 0.752267094117688 0.501374991121493 0.518800285005955 1.74711811511587 -0.759751317168647 0.664301647999857 1.44241150711023 0.152360577168622 0.668646650427855 -0.27346707708475 0.678273317295073 -0.176917340850877 0.90678381549805 2.14508992488517 1.01724491142667 -0.420019484548451 0.783179103643746 -0.331797704569302 -0.458941225182832 -0.285675038478902 0.142454226065507 
