 lhe rhe LE MiPf LLPf RLPf LMPf RMPf LDFr RDFr LMFr RMFr LLFr RLFr LMCe RMCe LDCe RDCe MiCe MiPa LLTe RLTe LDPa RDPa LLOc RLOc LMOc RMOc MiOc A2 
F00 -0.157706549230124 -0.0832072020163909 0.3302569807015 -0.129309243755606 -0.011199288582059 -0.00425316816769713 -0.0680408660724328 0.0975458338919232 -0.000920672452814168 -0.0327994829891352 0.0483947009913199 0.0825868431803591 0.00706253681050697 0.000902257063503151 0.00985053465713795 -0.0334290180799826 -0.00856017680796163 -0.00107038556239319 -0.0699289858730492 0.0411353844005267 0.00223251809807224 0.00306618244338842 0.0121223775032144 0.0174166780395371 0.0108831199042549 -0.006259586970075 -0.0488099162033992 0.00828394939806643 0.00499758775356157 -0.0125230847650585 
F01 -0.00391458202342684 0.0132628926551393 0.0147853434473588 0.03860160890778 -0.0145716486750159 -0.0508183289235084 -0.104344449897166 -0.0430765404342732 -0.00180914435934117 -0.796154867976585 -0.372465377544916 2.51860068031154 -0.00587962785409511 0.0396284973735565 0.658063943695671 -0.17227669578675 -0.0484342123929254 0.0172727416279542 -1.47599711177637 -0.0121595223009115 -0.00732051130771926 -0.114635698552691 -0.168717559545382 0.697975019450867 -0.0402127560520172 0.0353847771694113 0.269588082785401 -0.642051576801547 -0.0236526202468672 -0.121306350859211 
F02 -0.0351171281641738 -0.0246470457389557 0.0175321353453061 0.0111953492516526 0.00427651968472123 0.00345192211231443 0.0153883748133262 -0.00970101303145612 -0.11872102637753 0.0259055333820416 0.063823035815907 -0.0445377413371036 -0.0317330486438743 -0.00525737482920253 -0.362530701567679 -0.0288699377564527 0.383418704186727 -0.000894052501809937 0.100010795123498 0.0964955345588509 0.00821579930212743 -0.00639251469231465 -0.0786395118138685 0.0290084751127228 -0.011910451780278 0.00278256145767532 0.097713465812449 -0.0733858302364835 -0.00606889173879191 0.0168883146900894 
F03 0.0579869430202718 -0.0659847745550575 -0.00277245104461074 0.0185500139409836 -0.017626664912832 0.000826409242540573 0.0337484574696847 -0.0480599823087852 -0.0202469194441484 -0.00408241503590608 -0.0576517033854537 0.125276855786487 0.0191977143865168 -0.00956778074983889 0.30498640902171 -0.023159712047341 -0.0401119255589646 0.0710703237644147 -0.163731957770248 -0.0276214167486887 -0.00113618538224601 0.0245974198156577 -0.16334300386194 -0.277929897744332 0.173167999389128 -0.138007394611758 -0.112782237117178 0.361241675069235 -0.0520407855179963 0.571149692878132 
F04 0.00441744718469981 0.00744134371837349 0.00336392245296265 0.0243088386683986 -0.000679348016238292 -0.00817963769207742 -0.0600819773411114 0.0172024940617883 0.0314716163378452 -0.0631060407520227 0.0228360572991228 0.187542211739031 -0.00254854550664165 0.00127203973312312 -0.273785177377505 -0.101986718829219 0.0469269588451507 0.0461932283234526 0.0404214141450704 -0.628241628245235 -0.00774935268264048 -0.00606165763064733 -0.185136883105685 -0.119826235114546 -0.14061178182486 -0.0521395091826262 1.1342795560721 0.385526958692418 -0.226197527743689 -0.0468092747101637 
F05 -0.170856817531722 0.16730538333487 0.0108195307223918 0.00559085848052763 -0.00408456146615661 -0.00337897518447275 0.0256681177133608 -0.0214004465717427 -0.0178166448136222 -0.00876404562882604 0.0311303511975984 -0.00174278197815716 0.00329569089758815 0.00461332618518825 0.011337431424284 -0.0125413103782041 -0.0261371152177894 0.0300100396923794 -0.0206046323162387 0.000538614874022241 0.00267774177921564 -0.0109467573745864 0.0408150267440202 -0.0458930795929804 -0.00344101370549827 0.00737571975193795 -0.0292901814455829 0.0449047066870617 -0.0057573995212679 -0.0510718112129585 
F06 0.0107721705204804 0.00376931985044734 0.00474199604120771 -0.0531943548497992 0.0189624258487291 0.0113109897916884 -0.154102122126334 0.367355031097137 -0.0067854689692742 0.260017250147634 0.0171387234102591 -1.87351455574466 -0.00233928578166049 -0.0138400342462451 -0.499050624487893 0.0763303000690111 0.0031113337770468 -0.10022581467961 2.55954682362128 -0.703657508853073 -0.00424180066248459 -0.0189026125625119 0.0279418755044184 0.215933577338833 -0.00610470586992429 0.0041428804174609 0.132648278107061 -0.264214159112064 0.106711257251191 -0.0659562455329678 
F07 -0.0169317116009347 -0.00962298167632293 0.0106705994328487 0.00746779856794896 0.00581598752993354 -0.000675548402007127 -0.00462720322921858 0.00330722748924542 0.0130375835764965 -0.00884372500386754 -0.000385519625013685 0.00414078583614523 -0.0369890712538312 0.000826389294391011 0.00625876261966101 0.00232738831292398 -0.0447385967864311 -0.000240266250997943 0.00369133375708157 -0.00739459063841977 0.183034567569284 -0.00780028773968838 -0.0127219443059671 0.0231518275041817 -0.0918404216653758 -0.0106569990452123 0.0367781372279879 -0.0311751170896752 0.0343662421543163 -0.00520174812087519 
F08 -0.0855704552029601 -0.0225953848891481 0.0512022850557242 -0.00743139340309509 0.0609306225333783 -0.00102475246426928 -0.0524371793110077 -0.0057365888841133 0.413815902619355 -0.0492595470823068 -0.389531824194691 0.091779167736561 -0.0563149128005381 0.00222559348380114 0.153094325421925 0.0388307629756166 -0.11360805658176 0.0124804996121043 0.0489321746268711 -0.0718885829303258 -0.00430213879354507 0.00521589572073426 -0.0250200150530624 -0.0469536120606524 0.0247204195391187 0.000433739799169916 -0.020960284555886 0.0443399742385938 -0.00108300399755118 0.012093347647018 
F09 0.26091743332904 0.250719157560844 -0.0607299331088084 -0.099802859607668 0.00492004574923642 -0.00158454601455633 -0.0764781199178693 -0.0388502779205019 0.0711582253072447 -0.00343833661441634 0.0126435882109138 0.060999778637698 0.00126082328773685 0.00525322371927206 0.0105402789128807 -0.012494427048551 0.0252419296272423 0.0471273589050762 -0.127495814033999 0.0843227940944143 0.00015819508746951 -0.0191764039974873 -0.0528509166728098 -0.0667890885052006 0.0593369276388861 0.0582417113284582 -0.0105098073416318 0.0305175632290893 -0.0472639125081476 -0.183313637377205 
