 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe -0.34928549900174 0.325579339656711 -0.157868004443618 0.709158401402379 -0.146329921265326 -2.65566877020792 0.258396828155889 0.0391074884732179 -0.178515012252531 2.3960997528047 0.221909507520304 -0.00193824066044796 0.0654395354505694 -0.0938239021757773 0.621257830571884 1.14499886326909 0.120408547800061 -0.0491256966586566 -0.147302443121195 -0.213028191720667 0.360793431510978 0.0347217839516145 -0.328899521001683 0.0818732780382672 0.175415475858902 -0.357054867324878 0.847945517174495 -0.876407091273207 -0.0240156552141291 -0.421674738235525 
rhe -0.473097775973189 0.358757953798731 0.225568437206914 1.26170764057684 -0.169801530991065 3.50565408795095 0.336751369843591 -0.0607329931620195 0.0642852927566939 2.37693255182443 0.544895160407666 -0.0623388186965573 -0.0363157511209552 -0.0995114929574085 0.318230383565123 0.963047763885525 0.218599643576219 0.0362040854514283 0.103542852005471 -0.148786515427533 0.0290640882887494 -0.132707602854378 -0.128733994963226 0.360219042662801 0.19959249408333 -0.680634020176337 0.873197785558515 -1.19077378852146 0.138635075338121 -0.346345317874136 
LE 1.78612250139284 0.306904262882914 0.133498328288335 0.924460624071078 -0.149592323240867 -0.321845611611009 0.311993207266276 -0.0126155561425694 0.25285804372987 2.11716909662834 0.259228284694159 0.0477129448606761 0.0669953883191429 -0.15525433547816 0.68882767419531 2.04055018595715 0.117065774641054 -0.0140464970823911 -0.062118253377756 -0.25372435143354 0.234432113037748 0.0386447068678763 -0.258068239199239 0.118128033787933 0.349116305195831 -0.554902470171162 0.933523614549489 -1.09853136415031 0.101164422075432 -0.758991310024125 
MiPf -2.69367970427352 1.0462512300704 0.450009644792506 0.996821987292314 -0.0689413726096778 0.473644343910324 0.674297163610514 0.076364462274116 0.808521043867065 1.0936765324727 0.593595366342452 0.473428660204983 0.32554323625336 0.140451048421829 1.2033713383463 3.39880139716218 0.527710902227703 -0.150618410933147 -0.0560754571408348 0.0483580384868515 0.505348540183727 0.5308162233805 -1.10312257256411 0.358293358507827 -0.0121019934307245 -0.617220998222678 1.86960641754366 -0.746039192003329 0.360993227167217 0.0203443494437018 
LLPf -2.19828457814273 0.801178697037242 0.506659703072081 0.761062127402438 -0.0549565654969055 -1.20533350007425 0.654078419161359 0.156859197320539 2.58003159077565 1.65968420522076 0.628005017247251 1.15258169652908 0.215679780234585 0.190061128814611 1.09913841160395 1.7925030848253 0.365917487407375 -0.0334472846204702 -0.133002185826661 -0.0434333471199768 0.686189213709322 0.361912936760815 -0.92937958489918 0.186438735407374 5.29772281929621 -0.292083617579092 1.30936042563985 -0.810674544522388 0.184713444962423 0.978690888245408 
RLPf -2.15978314720081 1.02544864537667 0.443987382012559 1.11970327724812 -0.0666984206855329 1.54993273157709 0.786078537212342 0.0449560353646419 0.524157676893499 1.26979773940722 1.54490899828081 0.264563993394579 0.900140260605537 0.296060231071778 0.782801012218826 2.02936769390776 0.608455882112553 5.41214745309716 0.0278313132632455 0.0593757748913641 0.219619831805414 1.19743515821918 -1.4623738002759 0.392417572021576 -0.0890522357236978 -0.724740378806818 2.02164599350512 -0.761213385516244 1.00894221100753 -0.462944921047398 
LMPf -1.33862165680215 1.3433068195016 0.653546030782583 0.95443114139885 0.103247240230696 0.173672397053448 1.00673252601784 0.0431628629866127 1.39242424649338 0.72697049664096 1.04237901216088 0.637326646705429 0.311455902638253 0.460925829438169 2.78666425550054 1.16660153381605 0.663444726425028 -0.121569004124619 -0.0128462795899535 -0.143733303919778 0.690532912150337 0.667594256486394 -1.35730881429941 0.447180614487629 -0.00751527428226097 -0.26870333404327 2.30247000483386 -0.522421087697081 0.552250659723815 -1.35007154351376 
RMPf -1.27759103804838 1.49993048964339 0.538806185056756 1.03383756320823 0.114145954722955 0.568783789933114 1.01689307370005 0.051003267265574 0.776006074605569 0.667118390078382 1.45008128447236 0.406742725275679 0.530668531671253 0.4759089114207 1.61753001061643 1.14974532914578 0.761461840390201 -0.167836890753079 0.0170612712418151 0.0709724129801054 0.51212887800374 1.04166866342828 -1.77124427296293 0.496566502684996 -0.0729323291819097 -0.569064230684116 2.87108834318835 -0.491381069814327 0.951795628884025 -0.0778141104144901 
LDFr -0.913679673642224 1.14593869513714 1.23629264304069 0.775181862739975 0.195243058411498 -0.150811744733181 0.910082892736428 0.0049169690334635 3.32378327272939 0.968102962239502 0.932258813913093 1.16119515297945 0.260210437598392 0.617937218773802 2.1060959263681 0.453371583944091 0.510236615307224 -0.131829794397758 -0.0122993762282746 -0.0458471033087604 0.951953914032545 0.502806887353218 -1.09936185411256 0.388820445394881 -1.06977587607596 0.5754780916255 1.01253862442904 -0.461815676555759 0.286130484145568 1.10160656097647 
RDFr -0.953418989022814 1.4148768955362 0.516772300341024 1.08463686497427 0.184171117028822 0.773011501562818 1.03487213519458 0.0246683348905989 0.601700576856226 0.682968007871133 2.30162437208007 0.296871118713486 1.0563872896658 0.60391116756017 0.999183271423113 0.725262799857882 0.873716281679477 -0.704506920756628 0.137556519151104 0.101088815949914 0.342093474732135 2.14360501779583 -1.74954752020251 0.591339874139616 -0.0896762311727445 -0.563879000658798 1.08530445640571 -0.418787675045629 1.83714566480118 -0.6102798371096 
LMFr -0.76192943473468 1.50953905344763 0.958288157671449 0.941589116402649 0.403482050241734 0.206365604036144 1.37019908107936 0.0404430325688922 1.32574927830894 0.558466027544665 0.867541466543029 0.575141574780485 0.335854099421933 0.902212149231994 2.07575541531158 0.510060889647309 0.776179793807147 -0.0959797185428387 0.0612022504700676 0.0844939977081853 0.86413435286651 0.705635280084263 -1.17352449807988 0.527145680996972 -0.291347362765366 0.719501519459588 0.66287491727926 -0.357534349997413 0.624934134207683 1.43488745523066 
RMFr -0.733556716289859 1.74070098871274 0.618238884440789 1.03151750304173 0.432361225827794 0.449976396437576 1.36975324583023 0.0613188746774557 0.71771217915786 0.461413275184976 1.07893260090106 0.363495879037863 0.522291089709291 0.900721609892658 1.14267513447927 0.456681236190368 1.02839828499494 -0.173879629680102 0.117679375478043 0.131734634951433 0.612018203653031 1.18133996439846 -1.25629075143553 0.642844165617243 -0.0897969090428521 -0.173737040481266 0.620363830160663 -0.331254276116513 1.22609916831599 -0.28850949229028 
LLFr -0.589542299854909 0.518442988057348 -1.33456997394733 0.638285952264612 0.087842939158524 -0.616710704908615 0.431809726063317 -0.102816142330783 -0.137428423447191 1.22339860443478 0.396292303934612 4.72196332344073 0.189740447191664 0.256790423328968 0.896141025719393 0.384070218555144 0.160496831643351 -0.0131073471365952 0.0291684001671236 -0.0349387637389459 0.998196861702783 0.347539327153656 -0.416518249846731 0.269751003122998 0.216672512574768 0.537199889433367 0.598374687608208 -0.174006484851221 0.0859775935459841 0.0160187721450581 
RLFr -0.82820484983235 0.846200092473106 0.425360983841666 1.19839239496678 0.0135103021128311 1.42704553689339 0.554422942730787 0.0216143371802342 0.383754670888114 1.14679315698097 1.35185130383011 0.229900442740571 4.89953858614429 0.228746397990449 0.349037452132872 0.517902887822124 0.54114397261861 -0.0390048465134946 0.426546139868865 -0.0170104988463777 0.235057794492514 0.296626930355505 0.181369037249781 0.65142294029333 0.00518125100944447 -0.544672070186976 0.878908960348494 -0.73577444822908 0.433300186083517 -0.456667962350311 
LMCe -0.49830756389906 1.19876802876311 1.30653184006697 0.890536819625321 1.02709143364472 0.201371427204736 1.38490497000389 0.00745733863785113 0.971540297470898 0.482615611864255 0.639490284387229 0.505598287742851 0.306535389826832 1.66286036738092 0.854313103094427 0.221342746278385 0.594597896726999 -0.0623138280878303 0.212270781629392 0.308730444664323 1.48279057186607 0.627000530775664 -0.384807356703925 0.536317109203201 -0.237224311715249 2.56063292194064 0.0335108805597747 0.0125592186354533 0.799974232084449 -0.307484159154765 
RMCe -0.508343171387111 1.40691902048898 0.597320240620064 1.0293576412269 0.99138304697592 0.462603898232016 1.56843761534504 0.0659977498157541 0.539488139243424 0.374590792104382 1.06959128077024 0.275744752239714 0.521640631556943 1.62841005662753 0.459301637431642 0.251616632962512 1.64880220942377 -0.110746491408207 0.456158833948359 0.28137231597987 0.660982391520794 1.32957884742244 0.71213089600194 0.822552965233534 -0.0705582659063939 0.401592318445575 -0.0379079985345694 -0.194620537195727 2.622765221827 -1.13196485936569 
LDCe -0.535725916810836 0.861374812423686 3.81115447484654 0.655680293083207 0.528760535055349 -0.0837351952224791 0.810743051536177 -0.162065287243472 1.43320924423216 0.889372890539073 0.541920116188846 1.00398011454103 0.245831337638353 0.876649604003765 0.933997169196584 0.134427530929117 0.252346052905736 -0.0803829793599494 0.126030018197443 0.206382295717076 1.64926007597448 0.341298913075719 -0.464181205156661 0.428474238293662 -0.509092085597106 2.29124785031165 0.326937252693796 0.0106014213619702 0.404978227345191 0.111127307675611 
RDCe -0.583950237896982 1.3536303166547 0.547389666194619 1.07045113581109 0.565382343506595 0.694830419434063 1.05717985793765 0.0455544439846787 0.530146060483061 0.56807466448233 1.67561948882524 0.232535709673232 1.07137026979014 0.863164308749621 0.298060479562767 0.290729454710212 1.2587599864932 -0.205325064174432 0.540161664419127 0.266241931383648 0.397701853251785 3.29803773390602 1.47210057709986 1.25097562472517 -0.0418479833259189 -0.0526760112863728 0.246732966861404 -0.321993327559485 1.52595326927359 -0.724579343572272 
