 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe -0.423886674166118 0.525439898614527 0.171437622888672 -0.00377484410235264 -0.462419209115209 1.3093067451658 0.113992016253762 -0.118927948373378 0.308836985364631 -0.0136538782390472 -0.535238076776048 0.544863032311139 -0.501006235295393 2.17994455522791 0.105152915958373 -0.127858895384225 1.00320945377861 0.435586235596687 -0.0189293397951894 0.193806315744885 -0.151659617876 0.466137297715583 0.172914160370108 -0.114175083508536 0.725781188947242 0.0430227390172842 -0.534406183878545 -0.16853020727373 -0.133159986875975 0.590499993403858 
rhe -0.4400461118628 0.493967871149552 0.247679750718679 -0.957253598989837 -0.549411047786646 2.05478907939581 0.189092744371697 -0.106496792350258 0.955773147912456 0.661120957329107 -0.323692284861433 0.582746617221038 -0.805983745847309 -2.39028673591714 -0.419272772687477 -0.785227955348447 -0.141970062794524 -0.0834767898618161 0.379926108041821 -0.198346450408699 -0.475888076292388 -0.530542106312549 0.218980679247442 0.437348583023403 -0.302786395606676 -0.00691872475893909 -0.884060762054559 0.0804219521583123 0.361631756766621 -1.09815688637248 
LE -0.37022475630285 0.552751895926195 0.091838077022145 1.53249676208419 -0.375558590046027 1.48768168661276 0.0459099801897995 -0.132281802935468 0.408738416053282 0.0022853486420351 -0.50177147902937 0.400142329084611 -0.63923653125145 0.959364148948017 -0.171424889227502 0.236965947673912 0.872362547243282 0.474479247781943 -0.00917491608222712 -0.000943406229604697 -0.0681474578651262 0.639414312647725 0.119489731525606 -0.0647763819235848 0.116971481095535 0.0711989238322459 -0.62132317469758 -0.0611055133795641 -0.131349268349316 0.135814249509487 
MiPf -1.83437815226797 2.27687753178612 0.616297807179822 -2.89937016899823 -0.8760161255654 1.45242379663461 0.347690786997851 -0.153960080197887 1.35264062915782 0.183374524691368 -0.89083913485755 1.38708637040097 -0.947573189931113 -1.4152057164096 -0.266017932677481 0.796316161998762 1.15989971984562 0.600184653632036 0.138191130682762 -0.139943649029089 -0.235350766758628 1.00906091280353 0.491295654610422 -0.19743006223999 -0.0311316643327684 0.127554191331912 -0.752611316912405 -0.458560872859731 0.222779082165873 -1.40664033013915 
LLPf -0.770516649048189 1.05996009775103 0.641829676951925 -1.93686629582167 -0.980932889124842 1.17249544879141 0.368636538470611 -0.077684055628431 0.591992609641985 0.0901472395736148 -0.750127455783345 1.26581871791321 -0.696095803474867 0.20824293915695 0.151237559859446 -0.552817119932037 2.65197492864746 5.29126638835876 0.122848087085777 0.362635004828017 -0.282668420200266 0.702389140475146 0.372485460649819 0.0302618438598404 0.581168374280081 0.195159676333157 -0.385399859688659 -0.201739082959814 0.499233677078867 -0.599710435022127 
RLPf -0.65925861476099 0.889568799138446 0.517779431644696 -2.1130585274074 -0.844454024880746 1.77231706013397 0.354863405479342 -0.0767536815008994 1.85594190281363 0.658365966535034 -0.530514755408866 0.841395768208287 -0.954777254488444 -2.52696415329567 -0.380968290706485 -0.918499655993551 0.210547977616812 0.0325712153593351 0.391070429138836 -0.227756361011433 -0.710918227909923 5.08577313861959 0.341543076943 0.468416805816409 -0.355570665915727 -0.739607395024747 -0.714412204602533 0.195366201566318 -0.0187346878582349 -0.396996322065481 
LMPf -1.53586935794167 2.3123671622686 1.04251833156267 -1.34891913856647 -1.90633982744592 1.00357169502936 0.658555395971041 -0.137363059696154 1.10591403991403 0.224525731215056 -1.02280102882622 2.15255371735816 -0.902839393228027 -0.522680826767425 -0.116855839595491 -2.12974290981076 1.31209448077879 0.476677543633421 0.042529769091935 -0.401930668606854 -0.531256298705338 0.504416442184312 0.799147519950327 -0.0489317491834815 -0.114542052076656 0.537266467289347 -0.758957351777103 -0.804294615078445 -0.86406764635135 -0.81169380060352 
RMPf -1.60834760896066 2.35626644459057 0.988836446921658 -1.40832937192402 -1.99383269216789 1.14664342902299 0.695564487604087 -0.202874440184005 1.86882779098346 0.480211387184317 -0.978422694786295 1.82449949688604 -0.931499468792304 -0.997912051335279 -0.31114447709454 -2.21224669531066 0.412285771954793 0.402449917483813 0.075045665633175 -0.53566997262547 -0.723355248127172 0.628656246093195 0.597733730281456 0.0588473609914001 -0.261406173666458 1.16945900626129 -1.21526977482187 -0.618359671168084 5.09057052921398 -0.279528593631302 
LDFr -0.644964727154118 1.00006198837054 1.10736472361241 -0.874436124876414 -0.802521261316153 0.799361909916501 0.660465904704856 0.163343633639565 0.655105595532351 0.160394570451119 -0.777726790910187 1.6935861061392 -0.932379083569636 -0.207480563599117 0.455614172675381 -0.915219470776826 3.02235664025444 -0.365302172571719 0.0328310612593784 -0.478780836070905 -0.282481059289727 0.0578807260073353 1.59360573183595 -0.0647584807034181 0.206657055702229 0.493273598048557 0.0774207182413367 0.0540308230371151 0.344194310561024 0.587669063181678 
RDFr -0.671850899447251 0.972664922952936 0.928939942460723 -0.931064034719868 -0.815754809767867 1.19147553572047 0.642658249667408 0.0623617069158446 2.07235092204377 1.07657155002235 -0.49821704685385 0.989464285400298 -1.12710157477209 -1.20663042466269 -0.162739357572307 -0.957872344857816 0.0904575368671374 -0.0515503305116904 0.0394684596034944 -0.307231197884828 -0.553443779010173 0.0272849018752226 0.44160748137952 0.403547231238584 -0.292021307780015 5.00773034643855 -1.37630196366713 1.69987548892206 0.353840271304758 -0.567759532130503 
