 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.356126145000579 -0.110505091427692 0.216896065870071 0.18255346250948 -0.590830071312807 1.75716878421362 -0.552146353698615 0.637561980232668 2.76316756367603 -0.307819556026126 0.101763053699232 -0.0961663099530759 0.323899718878976 2.65715997829117 -0.161071008675389 0.567888549846849 -0.280075924704011 0.0754532401479755 0.207237328759 0.781046350334741 0.512971633075145 -0.818713643979785 -0.0529766927382766 0.483619095571587 1.26777987568433 0.540378703492267 -0.276523938533321 0.314813549182073 0.315711713481779 -0.0474402621542285 
rhe 0.470199065240768 -0.840102807551379 0.245146365555254 0.337852946763232 -0.20038904339314 1.42894469689457 -0.726378044498448 0.0519726072205168 -3.14765070787811 -0.417592215377208 0.130451792383214 0.949801612446536 0.718955483959803 2.89268233842143 0.096571527205113 1.39355380722434 -0.157644003589338 -0.0321911305385862 -0.309368944988657 2.33693808779359 0.445029590324557 -1.18757568471404 0.100156689073471 0.292509453558324 -0.394644697253442 0.418807834068877 -0.119123089450912 0.223597646088535 0.515446099840279 0.404961207504737 
LE 0.302986792036749 -0.402859688411757 0.185724028885104 0.211184516782907 2.5580415921183 2.70838623073132 -0.547741118261892 0.328934912289391 1.06040974406379 -0.318634024517555 0.0754977811070237 0.148421412446495 0.302221576739618 2.44231530513561 -0.118922975361265 0.944288265754902 -0.335595772963208 0.143179443344116 -0.181338306678972 0.9403408139474 0.318309211736782 -0.920314649659461 0.0637487719249678 0.222632356916101 0.473610170479319 0.562841093958408 -0.0208137602898561 0.250473451827516 0.310120689409887 0.871814117749915 
MiPf 0.910450963425042 -1.01154182876222 0.32074347052339 0.280150862750218 -2.51863773680495 2.16321094969328 -1.19488080279935 1.2396014005874 -0.808109319115928 -0.635652418666454 0.10560757366175 -0.735510301643028 1.75607273773565 0.236105194988291 -0.49830870948589 0.585732609495455 0.0693132203424336 -0.0708691703975073 -0.275879248307007 0.537432106853396 1.52752317209166 -1.02953373900612 -0.0352718694727708 2.38829090995643 0.00418668111512947 1.98253496047086 -1.02243679614284 2.20976212516914 0.240458000315186 -0.477596913691068 
LLPf 0.753764621200872 -0.581481074525899 0.346891289862831 0.242715632268566 -2.22348942270773 1.82574013251955 -0.969988150246728 1.95094550709945 0.551789127502758 -0.450147437775197 0.162004288810354 -0.761827498090808 0.866606423775891 0.976527204742117 -0.351266790179074 0.503258105045917 -0.152648936782324 5.41902078415345 0.327657464609167 0.541252148435205 1.01571546767749 -0.83019715480703 0.0869907285861902 1.36486712611252 0.78983076278314 1.26202620223638 -0.436953994242162 1.27923646930965 0.424553375382618 -0.122830464224662 
RLPf 0.915582305645573 -1.13769216526844 0.333233744184121 0.346002604641581 -1.70306840078928 1.49571176955251 -1.18510997593735 0.773532942819786 -1.52135400102564 -0.615521349062577 0.175849386897206 -0.181008902745899 2.48954693700877 0.666082353781527 0.0784058335350981 0.785410905381084 0.281875310027847 -0.0890543731370774 -0.377423860442386 2.00365879746135 1.2452302061724 -1.30137209053322 5.40402310745882 0.960666578394704 -0.304164295725041 0.970732368988572 -0.568194858503267 0.218704592926233 0.537003654108154 -0.595471968922766 
LMPf 1.18455518819119 -1.04803743026645 0.394439989327898 0.273809032851903 -1.33259273778429 1.17970074430666 -1.32754059971611 1.97846473013089 -0.37274317238088 -0.550604035030117 0.26328738157941 -1.27773606435377 1.50760647424332 -0.142690888136844 -0.48468425229578 0.396634586984739 0.0708508056155686 -0.331612293371729 0.0580915973577736 0.0702624238743072 1.64343551205671 -0.991775211290761 -0.233259376431022 3.42359759071947 -0.17604294741924 2.17305167402862 -0.812570096618084 1.59079243302594 0.608222934154395 -0.129236894933401 
RMPf 1.26082810874368 -1.22819346969364 0.379958033672475 0.321952463818895 -1.19939353562292 1.03797496518328 -1.40870962273784 1.2329157341903 -0.725921254234647 -0.638585094991452 0.320515323841488 -1.11262989542694 2.36300253876805 -0.191748859788858 -0.249940503972393 0.475153936054502 0.245590362212181 -0.161228081672738 -0.354935225750413 0.256946715037153 2.09482764057005 -1.23729818341771 -0.322009905123109 2.11750032081823 -0.346514460587855 1.98275790761709 -0.929459838235824 3.67678853033587 1.23929751952451 0.215439333232448 
LDFr 1.08294677606483 -0.76850149527453 0.50022274347461 0.27707208716955 -1.00272746601472 0.947211223539665 -1.14712847670891 2.42086429531024 -0.082143579351605 -0.245988975865496 0.412619783094356 -1.16940239045061 0.938036630906937 0.00472824983048604 -0.269339931268459 0.373904199275935 0.0324501664914313 -0.559892914004488 1.04590053234065 0.157854758821716 1.20385344713118 -0.583118591936282 -0.248821439792733 1.0256013072379 -0.0243827798282754 1.35902188448234 -0.570650439286043 0.715468009834786 0.609960772184047 0.0500000516989355 
RDFr 1.22037636354936 -1.26689384347347 0.448224385186599 0.485821325943999 -0.834813382190886 0.756968265474081 -1.31517308328869 0.812195945302398 -0.870565447619814 -0.465726414424225 0.41272918403608 -0.641467377931091 2.17095783627866 -0.135964935362074 0.88491375634286 0.557567571336775 0.651224691218955 -0.0881204982384935 -0.177695360083198 1.16600803195817 1.44986121458133 -1.15052922461645 -0.610141647639355 0.704300930820492 -0.313069669528709 0.948180471223132 -0.702695325869467 -0.789612294744172 0.94170219707638 -1.07132935581782 
