 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 1.0009128212106 -0.32337947115628 0.136241470879631 0.65041587564426 2.97053897373389 -0.670015656877575 -0.83714925722498 -0.315824116680304 -0.353729223943272 -0.0403951677028953 0.513132773238541 0.370123103762368 0.159948979228732 0.583969735348434 0.428444259615481 0.34204273386639 0.998012557485618 -0.397777433174409 -0.086199091197853 -0.335247394746758 0.357313190660861 -0.166247410822842 0.630284704556215 -0.338950751542925 0.831425897444917 -0.80987336747624 -0.166799431478842 -0.582160151170228 -0.868410610095626 -0.251955643694216 
rhe 1.41912503060734 0.0319057537409347 0.0810351434985114 0.455745847477127 -3.01042793724833 -0.622822001895927 -0.656139930710305 -0.463203697709126 -0.426407306152323 0.40845216714064 0.394717677463449 0.234857724599448 -0.361043703552061 0.260937044363883 0.607747965548891 -0.253892630568321 -0.239680642027747 -0.73275994764268 0.441610092567928 -0.00753951399439091 0.473892857438261 0.276562668369034 0.350513132049967 0.187960614034409 1.34746237052629 -1.10812102377198 0.119943175655488 -1.08668394828935 -1.73625206328975 -0.239027942348612 
LE 1.25654343060268 1.5725498775118 -0.0201777868443526 0.464836938942494 0.835929189965242 -0.582234416912894 -0.789763133172015 -0.424330903579333 -0.468110279098904 -0.0475415068407139 0.409079897604775 0.295224863605252 -0.228745992238817 0.377135916303071 0.363375960003502 0.0320627544597309 2.86141098208218 -0.383365246791183 -0.0745878670581812 -0.322225768294462 0.150851177166904 -0.104725966551734 0.436321982921022 -0.128299207708486 0.810803220780689 -0.903555423074702 -0.16361960682816 -1.34094540740892 -0.798851798699054 -0.508604513689719 
MiPf 1.11992385753741 -2.41047492779231 0.942153621863092 0.576911551737111 -1.02117864317821 -0.585767285610029 -0.957191998680111 -0.42657140547054 -0.0926343474534177 0.403375012374551 0.39601348042162 -0.216798305368285 -0.00785874120302108 0.695318036937897 1.50918416107884 1.3065527106339 2.44680035881225 0.242325533415351 0.278148581537129 0.171146145554867 1.44638952851182 0.150790273348586 0.480886992931727 0.416791922516099 1.25462622657035 -1.12326246758472 -0.663424914949063 -1.48966902956797 -0.566135333450573 1.10624883445417 
LLPf 1.0741569883959 -2.3877163018439 0.811552024664067 0.724377157176248 -0.0241276126644848 -0.588021241698498 -0.95209511472729 -0.341292878818009 -0.122687581593828 0.190301810070322 0.621266037289315 5.31530678636728 0.348157712905962 1.09668520869193 1.0194516535375 2.23012010630643 2.47096893033837 -0.979471450112711 0.0869149845673396 0.0730600491518254 1.12177734343349 -0.0934115905344532 0.562778653618874 0.308797842484194 0.765781765939899 -1.04451278470658 -0.752835860653558 0.131612363955077 -0.814155143795182 1.25372720530916 
RLPf 1.17058439645543 -1.69083397360824 0.869140721995468 0.514726472849602 -1.65821161336285 -0.570105631506975 -0.75859075065843 -0.429902060503927 -0.0154213527304873 1.01194677725484 0.343575680675339 -0.127731359021639 -0.137195116474071 0.542414585886811 1.69705758402387 0.602925460126892 1.3052850946025 4.8865745873455 1.33210000729772 0.258673035244507 1.04623054812426 0.504035463504152 0.356432449272128 0.768019622477465 1.14945780586629 -1.18237375642971 -1.36782984445568 -0.580713825159459 -1.36522728484205 0.685450723608733 
LMPf 1.03195659668272 -1.42880187848437 1.32396271080396 0.666051211242802 -0.542792615479222 -0.543997234337233 -0.840212937562947 -0.286960622120822 0.166180512992464 0.408419623209716 0.370462630868851 -0.40799138475649 0.31548937647631 0.965783219475506 1.58471431662538 2.16248842258032 1.19695519623586 0.540183871920346 0.343689754206682 0.249727423691711 1.38913356085249 0.133032726745691 0.504911918542866 -0.573734159657848 1.02006604777022 -1.25402358641638 -0.228345085172561 -0.859741131348358 0.284271897589598 1.0448748925483 
RMPf 1.08178177232882 -1.26557250818104 1.39113696513347 0.669332954536001 -0.793594565268237 -0.511798843784544 -0.763754351550159 -0.323852627902657 0.285528363939966 0.77079845810288 0.380949930528514 -0.178760168227673 0.121449209613651 0.765827973992709 1.87644214709682 1.34476939452082 0.93455276463793 1.07159021708937 0.583704389548675 0.466312430434462 2.12444655586231 0.425417387821485 0.394252140755555 1.8170728686992 1.12373447477304 -1.30268414681084 -0.208661189914575 -0.724453336598906 -0.900081493492729 1.47002592335606 
LDFr 1.0103363201361 -1.13591778483302 1.2210045237144 0.806251367585086 -0.0934063083014848 -0.539684475792339 -0.775070431949418 -0.0975550785488616 0.279809864348309 0.341801760748065 0.37603029447556 -0.342491443605948 0.969837589302746 1.54916748095241 0.934073494125414 2.33487260181071 1.03812124082657 0.158544930269934 0.256854210084366 0.237099888237023 1.11700323177633 0.00427677645284538 0.651993446589794 1.70501670146557 0.986378701537823 -1.09683408766354 -0.160635387097133 2.88027037359252 -1.5409650806749 0.916315775687594 
RDFr 1.07411035459663 -0.939948610969383 1.25195147422623 0.684231765128107 -0.913285986859064 -0.450342408244185 -0.392913929721525 -0.179005249364037 0.501714118865938 1.7403573727864 0.399727968705904 0.00169257714474866 0.175305701228978 0.714869807246423 2.1407710627963 0.6733569757533 0.541803467922536 0.908899496400402 1.0691823661895 0.908210573142079 1.13073240613436 0.937835847448444 0.331629656429271 1.15804049109872 1.24053746527582 -1.22079568478122 0.867225347210847 0.522584952265917 -1.08482627364742 1.04021504074756 
LMFr 0.999838648979862 -0.943463658105081 1.56162329906035 0.813885846436935 -0.381505346576834 -0.48694565761381 -0.65384049800291 -0.0719231398016759 0.563356241236481 0.51291416967188 0.437012467119828 -0.101416518392514 0.818927105134988 1.14068731462899 1.1106273341577 1.47838253907754 0.692261380136563 0.226848443423835 0.444538767735898 0.435694285852463 1.06614968901054 0.240103489626595 0.48578357409877 1.54730571617495 2.21459035413611 -1.2368100679807 0.484002740427537 0.768016378901197 -0.878490045508263 0.877783998701753 
RMFr 1.00975890685794 -0.848825379864263 1.62297747513879 0.765690538946956 -0.604581068557478 -0.450463840717698 -0.452969830500539 -0.096688960575141 0.766788560214089 1.01992439522327 0.42624483130649 -0.00191328775077003 0.391697643354374 0.872471627097836 1.40144928129047 0.721611816423864 0.446699528326885 0.409859288309809 0.727457960807607 0.688525378222535 1.0253264799395 0.730671393826375 0.381070809682215 0.563202891550541 0.872791855224758 -1.23495404970007 0.996553996398954 0.268595938416098 -0.983245297699302 1.29669351862918 
LLFr 0.939075773958822 -0.955529888217136 0.635441013948457 1.06135377009805 0.838364019940631 -0.538722962908591 -0.749010524390476 -0.0213713772808333 -0.0206447869121016 0.213599423457992 4.97502953239143 0.65317585750301 1.0072784447163 1.80404819390284 0.608453917813386 1.6729524142535 0.992577845336329 -0.608425609114521 0.161262843551051 0.124944417389733 0.771322801820869 -0.173392059061291 0.730802743033035 0.204367594243909 0.662564166891574 -0.843610138490728 -0.868525863434697 1.49452966554424 -1.97164367702731 1.19142203035115 
RLFr 1.1243620378437 -0.706033649292368 0.744511556264294 0.645052822520294 -1.22671611944744 -0.418086035951475 -0.1006007070844 -0.134376986599001 0.1906493103324 1.91123891136374 0.410892649893778 0.170844908883788 0.0419951240240934 0.561753051340947 1.36370822962457 0.393988667105911 0.231628765435835 -0.921022775725267 4.06981352288659 1.5881817814405 0.974120904524086 0.945016725051711 0.196025812059663 -0.266728410993657 1.30183005898612 -1.22641295097911 -0.016923166451899 -0.498677999147471 -1.8566634142575 0.665013862916872 
