 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe -0.699154700311767 0.422539461629824 0.693314720625278 0.410242927134208 0.0811396464481397 0.0884793818753057 0.140913702120077 0.198867207379774 0.100353164616593 -0.109924695749006 2.35247350258629 -0.402703419925045 0.177884510174374 0.609345305180545 0.0890898370304461 -1.90225021738853 1.33170501115619 0.0836973066481374 -0.0107182887408885 0.338861344371114 1.02702363912748 0.453471187775807 0.0843522944859526 1.00214597578898 0.278818258627214 0.565242336738869 -0.105333266511688 0.27069177453726 -0.18880487690192 0.0603806140669495 
rhe -1.24628140714527 0.450844083396755 1.1899084879772 0.361892164251504 0.0629804484514378 0.109205998654517 0.133070175480379 0.104256799976487 0.066027758340429 0.114677112222573 2.13536714483871 -0.851537321858471 0.100377200135571 0.777710304787451 0.28491269969543 4.34344149769927 0.506871159631595 -0.26641971090313 -0.151613002566498 0.323991296254704 0.391095894700127 0.91356986219112 0.582217924119366 0.25732012899587 0.351122689474536 -0.367438570374442 -0.303886837345261 0.483456850247402 0.114933734164835 -0.738275562504299 
LE 1.93001290899437 0.32540943054097 0.845026065635588 0.366547008903024 0.0110510911084622 -0.114874666364944 0.138549335423809 0.151089218327994 0.105356449061423 -0.0890388195396074 2.6134622908294 -0.52280831978262 0.177962805270027 0.527562104093612 0.0592660534422865 -0.345418925001507 0.959225490405533 -0.188293273707479 -0.0603874855585386 0.323720843845854 0.964360266406615 0.425822561106621 0.0997722175778121 3.036826250683 0.337141533452365 0.264568727037109 -0.181511445980334 0.440435371482019 0.640813961685313 0.978935160472327 
MiPf -2.64816365626235 1.09726664841194 0.979636492486588 0.511488978550642 0.320508743682522 0.162590126175296 0.27552110656987 0.402578835244626 0.133806033555501 -0.0473942233158562 0.57438596059011 -1.02597902458503 0.22795934192191 1.7464076535411 0.34627201910471 0.644166559811321 0.861400526397917 -0.190795909708379 0.170489005679611 1.26440456719114 2.03816687087434 0.127762320379688 0.409942910696477 3.25360186190881 0.355684207396084 -0.167901578003144 0.184533818525305 0.886612896419098 0.154765044243456 -0.80398432226672 
LLPf -1.89321709090552 0.881518568955055 0.804971880599205 0.545717178699576 0.301710242403079 0.396306299260882 0.24848922087407 0.391285826113445 0.167357911897296 -0.088866713660527 0.92458842075972 -0.58110255013968 0.341849883669759 0.988069303255885 0.209758821532934 -0.477733525125221 2.29656027619797 0.261251000041259 0.217220687015465 1.04039779298324 1.90521740525613 0.318825784897509 0.250766338881858 1.62692210213416 0.14594909808049 0.275447798151045 0.121910180650647 0.471598906334859 0.028430865035227 4.57739536888425 
RLPf -2.13391401549976 1.0219641773643 1.1389515470032 0.479476785029279 0.279836801551464 0.121373780484537 0.295412261784983 0.307165853607926 0.182114402279752 0.275349911225631 0.802196295337387 -1.05546816421835 0.220264240513522 1.72677212294869 0.863942094093121 1.68873685622238 0.458684107508494 -0.285266284832488 0.0110538116612263 0.875176787909548 0.906739111083767 0.755280538414467 1.04566988920134 1.48775985682606 0.144928140167415 -0.410530238685614 0.264310912209984 2.6440658133537 5.32515550676895 -0.819220329637285 
LMPf -1.22607082831027 1.55268106678265 0.922975960771781 0.61966143465932 0.625656858604886 0.261037529447394 0.360578770712419 0.758666541873729 0.271157476322913 0.0948584639476477 -0.284336677118208 -1.11121038005935 0.407996821285853 1.64725011727018 0.306817000100704 0.275187655573887 1.70579008294989 0.216032824581397 0.607858854032098 2.1431100697543 2.88410870646305 0.0635756139115427 0.346050118216336 1.04353129736912 0.0397626129566701 -0.131811850704717 0.256016777193794 0.719984338963821 0.0788631225024279 -1.16584905936895 
RMPf -1.21995805521884 1.70730431048589 1.00614171410166 0.589372589861766 0.583921938541973 0.159327118968621 0.40185238419742 0.671309558909119 0.297070709308837 0.335278750378791 -0.274398005481735 -1.24346825344791 0.299486095748818 2.44853661973255 0.554750156028993 0.582455650877715 0.586315159192634 -0.154045181164222 0.348608986974476 1.51193614923812 1.77798014872915 0.308109865664234 0.625136033127076 0.963458803349895 -0.0118133369035562 -0.308339280925504 0.479376317240947 1.64129694747135 0.511291979382283 -0.668274918446141 
LDFr -0.842841690724514 1.2533837933141 0.818501436778663 0.710373700297369 0.701774531541882 0.621850196581317 0.366163698702516 0.845650552185437 0.335114580548814 0.126203443947615 -0.321604405410814 -0.581857039988419 0.548969632863843 1.07368973811655 0.229789214822817 0.0544903720805237 2.83288167475103 1.35872866775358 0.785122733805426 1.9994436818645 1.62362094601819 0.264896143613261 0.247273964817149 0.784659815852168 -0.201140512051162 0.170339171522498 0.177802992831478 0.442944843075108 -0.00529893651403197 -1.34256217677764 
RDFr -0.877147294488477 1.51260364656279 1.1228191526796 0.575221799124706 0.563769385397161 0.128858313907933 0.506237949468042 0.589982844524749 0.430745379332847 1.15809200734802 -0.265174659447116 -1.11406759340192 0.356657278051426 1.81688502722164 1.32047672605703 0.721903577062759 0.348730500214027 -0.11663495492212 0.236007605104069 0.855843281322708 0.670332684456748 0.913531039792917 1.28903370654354 0.38763046811392 -0.294567163553242 -0.46918363657039 1.62161136444191 3.83649590856556 0.47244048217876 -0.453201522410333 
