 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe -0.462496116380707 0.576605795048025 0.43018294666547 0.219651340975463 -0.022652792863074 1.90128897032148 0.0886786004681285 -0.0253026761150725 0.207793018241438 2.83375072284659 -0.0119214744525444 -0.228555704000701 -0.139755483456489 -0.131067744592401 -0.0315704060125618 0.879643142805382 -0.102222350574734 -0.537531658423851 -0.660409191740869 0.212313841408965 1.06012168149455 -0.098078016238498 0.206160821751794 0.335879969930686 0.246532716250965 0.406516208369257 -0.201374301877094 -0.167348283667078 -0.0320876056815596 -0.944751501643252 
rhe -0.26787322508802 0.417000907548253 0.633760670378444 0.326844492115468 0.0136201228402771 2.15393467651047 0.596680749579865 -0.00651487036837498 0.252792723730001 -2.49684891335384 1.1971618311383 -0.08642008267352 0.272951552374694 -0.200922037733188 0.257956429679359 0.211889338300904 0.043720380988698 -0.784174895557614 -0.609039976019085 1.05098098906712 0.0864708124109335 -0.831681517690274 0.78269353275575 0.163667204831557 2.58970364719606 -1.5282776107504 0.194631826837866 -0.111946922105999 1.1607147758217 -0.497658947002353 
LE 1.54509778759156 0.441631745047385 0.414479531166563 0.218398743637331 -0.0492696195282076 2.2895073365019 0.138663464107653 -0.0208387561029285 0.162846536014795 0.972300838795412 0.21722893841459 -0.138882171269997 -0.0812989724896946 -0.234080940092488 0.0505817202765275 0.319976841074952 -0.0953045003712475 -0.647192712837426 -0.663848444547887 0.299449772278812 0.433983931910106 -0.490987028575739 0.189864415150838 0.208483388185745 -1.20522547632309 -0.131827530825965 0.0563410207974498 -0.00766652435486719 0.156418013915319 -0.830730266050105 
MiPf -2.97208824676316 1.24972243120646 1.16699614947581 0.556977997941709 0.102541073883205 2.05952331777444 0.239938255167128 0.0817948685666064 0.569499807826688 -0.732199147697201 0.354316845028602 -0.284370316651227 -0.0378801247078418 -0.170394029501334 0.186553064949678 0.75421107078833 -0.0160409850881156 -0.796997931911702 -0.52737906527626 0.57246242424013 0.534644634603711 -0.283004153196288 0.381399838422835 0.506828838932724 -3.47868381927713 -1.77415656225114 0.214850964879376 -0.504841765491292 0.59196373153743 -2.14715653918425 
LLPf -2.36326674823165 1.24571533764389 0.747972862946976 0.453873317788266 0.069200490175245 1.91752560118007 0.136074187591874 0.101261965106909 0.383748781367362 1.1563027277965 0.063215600472429 -0.266930343081255 -0.129851603079297 -0.0323372635082177 0.0748095721545168 1.07772509775183 -0.0294432651121224 -0.576074061892573 -0.532952715926012 0.278569859490828 1.1072638659288 0.328917340295324 0.304479076319831 0.520030389473195 -1.56833586160614 2.57476574173789 0.124039990347543 -0.128408301057197 0.279468404701985 -2.30930345365352 
RLPf -2.17965350336009 0.914510236708688 1.42687406977224 0.519842505776965 0.137757539429891 1.86316623903243 0.40183156775728 0.0791261739253075 0.57962601574059 -1.93519750628714 0.966652947783448 -0.213456760346535 0.294557225593482 -0.0814064116763464 0.273664485725525 0.572655355444126 0.267150729613991 -0.89157483080708 -0.474605629206468 2.10393827659927 0.306794008339196 -0.769478232049437 0.57174339761599 0.529910074721052 -0.19331710453291 -1.92534196751933 0.295120753274611 5.33507881297951 1.11512840553275 -0.891843699974682 
LMPf -1.4244688433809 2.05422066262988 1.44684084757384 0.781803066724113 0.322094979484425 0.890123178367319 0.22374851260808 0.2394998815375 1.09763403023833 -0.348808626918372 0.299462146159417 -0.321413453069422 -0.115348946462323 0.124869866577982 0.256951499235704 1.01114019851209 0.210762329836685 -0.725211231805142 -0.16850337851912 0.408418171076162 0.836230304037152 0.116497591495755 0.169541983535416 0.99872250850633 -1.35145805304266 -1.00359981085782 0.536281048296849 -0.538467995804104 0.351884751367468 -2.86083515007495 
RMPf -1.31263094597123 1.67814684746749 2.10231027520027 0.803085285091905 0.348596006943366 0.812772868841256 0.295279980472457 0.235187435559516 1.35325661374823 -0.772453733062426 0.595393488527686 -0.306206079690953 0.0746377156928123 0.0257201914972251 0.336293116247784 0.83479981468508 0.431947737983736 -0.877504800832781 -0.163484647688892 1.02340719353904 0.584265885805547 -0.28791555271278 0.227236910948455 0.627848609667335 -0.995316801459287 -1.27667228112256 0.436919667639354 -0.501516543424004 0.423576125729627 -1.35409422687637 
LDFr -0.893167627105444 1.69889637825986 0.890305747306602 0.708649049815621 0.342726880036893 0.647487823361326 0.155984499472747 0.279757017501661 0.87830152106568 0.167860840172262 0.0749032908133521 -0.289096377571824 -0.14714697128062 0.669915621250896 0.17967074298889 1.63919120275485 0.227138145726294 -0.423944512868086 -0.15028134921607 0.428385502437839 1.80800759420592 0.634039339918991 0.111534903579343 4.45196749089718 -0.419890114231289 0.458633974694669 1.20889848584344 -0.367680967160921 0.185835521204807 -1.36970558478833 
RDFr -0.857766869166261 1.22248057687283 1.86874831492412 0.840869049021045 0.401355714952985 0.677625547982059 0.439040545863395 0.307954542344465 1.30081022726767 -1.00341555264011 1.20508969168073 -0.116063120172406 0.658366325781459 0.183864465269666 0.432572122622681 0.717509521410095 1.14096878851333 -0.883621732603996 -0.192330684116415 3.18545992759579 0.465651477260284 -0.440316322373874 0.897466370953566 0.532047650738062 -0.135044741545425 -0.989696872606564 0.45357951868709 -0.474513779114731 0.156628268590615 -0.926122731789499 
LMFr -0.717319828682522 1.95872145040104 1.27398719236287 1.25906316310023 0.748930103407689 0.324064739683481 0.218631305549931 0.436591792682125 1.87242089216864 -0.357579934459806 0.318176987356964 -0.308280148361897 -0.078546408913852 0.994619935098014 0.427560909155994 1.11718449771384 0.635707757566784 -0.589371593828682 -0.0102619595167681 0.48376713931592 0.926311715734459 0.347637553975204 -0.112834566921656 1.3513330789811 -0.547980837614649 -0.542861329518552 0.954997070803875 -0.308341291607741 0.236984860252502 0.481098427677395 
