 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.268857288140106 0.7088890914192 -2.79706613287909 0.247813334992308 1.91232559130954 0.585682595454326 -0.000778975358392487 -0.0139690622312749 1.69119996418588 -0.650885111280594 0.0903071183762523 0.0187450904549907 0.624403157339658 0.198336648591493 -0.128488897420437 0.119950734752811 -0.404106832887952 -0.01657329867245 -0.0462665631938485 -0.0503809213016389 0.187630725705891 0.0719489101042174 -0.364609193890364 -0.485942397383893 0.000848381262806384 0.221998918845037 1.25705609972204 -0.286576982970045 0.567271566189705 -0.342232084921965 
rhe 0.37531825778578 0.834804202755876 3.46923027486893 0.595509686298495 2.39588942736664 0.689931050795891 0.274120024413383 0.314334890225331 1.1711442724756 -0.530890158547261 0.299780582440031 0.368688411761383 0.795585943792828 0.413150410746216 0.23965436008724 -0.205693992123178 -0.0285070407254064 1.34820358611943 -0.135436364864779 0.657714199714636 0.834607983381542 0.232276807987579 -0.344417382752436 -0.928442143420901 0.332099357926257 0.366579569928604 0.411203846661293 -0.619338913241624 -0.322196111975879 0.0329726130235244 
LE -1.8168857643136 0.720353190078597 -0.286909865651418 0.3893204702343 1.88145124178372 0.584891739540156 0.0661525971990138 0.062971725389179 3.45246284481675 -0.516067431908661 0.174058365567389 0.0986275153192345 0.691701863330049 0.313366686393323 -0.017686363430144 -0.0684294949442014 -0.0358816987724873 0.59966932397185 -0.071609215105541 0.185988511849556 0.441813309766416 0.143161298161395 -0.14631911257247 -0.625705556616189 0.22235073779678 0.261092633553832 1.12012814148789 -0.394638360546843 0.281191802187769 0.237828521369135 
MiPf 2.81029910054679 0.919713222244455 0.448495985306237 0.793819904399567 0.331723020181324 1.92279054165857 0.341824994390941 0.124873423338149 2.48610274564384 -0.968505843200647 0.532246671071668 0.0334577867025313 1.26559357019187 0.395337087471842 -0.139041747088456 -0.256540547781614 -0.716354631641252 0.0416621670572895 0.127361180397749 0.256930721969485 0.544890319411124 0.559384255066491 -0.1977357167807 -0.69435858893116 0.102103682158986 0.560672932156577 0.734706597689504 -0.870520121071679 1.08227342341405 0.223159176952906 
LLPf 1.93280631449307 0.928161506360317 -0.626625195607714 0.53620194962927 0.10841717887721 1.26756973453301 0.217795516626199 0.0097669765627105 1.43610875934191 -0.963241618188148 0.282641392104293 -0.0330265418743723 1.32986677391054 0.313780069034086 -0.265483449129746 -0.123496645874481 -1.05776612326954 -0.31271565262513 0.248653555494691 -0.0214686338827267 0.0449759162218017 0.376726279283526 -0.167192268573825 -0.486389568094514 -0.10682755682747 0.576407343369114 4.25581282713437 -0.819862920755945 2.3704202445394 -0.342952061707752 
RLPf 2.2104892662919 0.95934290655512 1.51402063347819 0.871412260192267 0.616560221433833 1.60710505676621 0.503925838574786 0.322875422678636 1.25786756394465 -0.911965302963627 0.541489567235385 0.294269486043354 1.03751009260251 0.414968637669384 0.242577771742909 -0.258930897292823 -0.538100823431161 0.376136928747476 0.00715906329068749 0.818776022338754 1.96798669702511 0.760580594688242 -0.412839277971719 -0.768716869501252 0.321959915379869 0.622821620485886 0.5321059609546 -0.913785492196002 -0.588690984946807 5.15881870422946 
LMPf 1.30220197573024 1.03260908305655 0.243969591316795 0.874271997882736 -0.679698260823589 2.20932916372124 0.429526906218136 0.060661110744833 0.374931960373182 -1.14245128200754 0.779238500901394 -0.0870736556442965 2.01027132256125 0.515083265384388 -0.224584033009586 -0.553214783791269 -1.29990582960088 -0.39947391927619 0.657451603279661 0.0456994521853815 0.169763176691262 1.17638737321794 -0.0390114238298652 -0.551336367049132 -0.017187099292566 0.723118171061271 0.687746858168913 -0.982492622322043 2.66848591242245 0.152203198329123 
RMPf 1.32778493423802 1.02947812506423 0.585604449792813 0.975076149955634 -0.584854422592411 2.61358143009448 0.56091980133635 0.174996420491644 0.324838381723339 -1.18521571341198 0.89979135821286 -0.128524502281482 1.55648730459776 0.456811003231341 0.0301408981481684 -0.368559528871097 -1.03378402602348 -0.239986979932202 0.377297722160606 0.339532810692494 0.924299427077422 1.49446747852872 -0.311226123469174 -0.676806343192166 0.143619754041597 0.508443854977491 0.185412720706025 -1.0196400170722 -0.217279352944771 0.736431793315165 
LDFr 0.879943334641332 1.08893901756262 0.00401801106342352 0.573987209059551 -0.901357021604712 0.92783767029754 0.256159337979219 -0.058511013321052 -0.045955637782298 -0.973015031757666 0.537549386624786 -0.126034548392788 1.90377938075923 0.913957204019615 -0.217179700951775 -1.98073173143721 -1.4147427665137 -0.673585182617728 1.29495047893249 -0.213529017490063 -0.138425734231632 0.584720617880255 -0.0576588643231972 -0.242119897066156 -0.264819883414265 3.25408054722565 1.65843495019648 -0.702321699262492 1.84037296011021 -0.114466369488203 
RDFr 0.952404038412598 1.04619335746234 0.793332083008811 1.03876834721935 -0.585075745778378 1.70317310346315 0.747125746932675 0.416023042380303 -0.0984595484480155 -0.986360836692015 0.972142005186104 -0.733028640652956 1.11092739098357 0.44669462224118 1.03947922439261 -0.325705693116059 -0.876737340035449 -0.131527334103553 0.262737447247896 0.937459067624721 3.18466519011502 1.75067941407294 -0.361795885235972 -0.726258968944668 0.468027627761734 0.661755075626611 0.149801467432604 -1.02821692112852 -1.14881694043276 0.8995247877732 
