 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.940204923945786 -0.686021832363268 0.860048386428292 0.459291338072713 -0.445948309290724 -0.610105521274743 -0.811615042790139 1.60380133955452 -0.441836955583077 -0.618258670082591 -0.0127786534909235 0.49174497202975 1.04282317942271 -2.34659935087313 0.942339848881219 0.409020847716694 0.681639616768024 -0.0851601229683428 0.927140923579624 0.0262855163639547 0.212731026920877 0.0314835277270627 0.384052979665513 0.307091832522487 0.195968323900499 -0.402125911908083 -0.259825094835312 -0.276910809072823 0.719510279801515 -0.538147927278563 
rhe 1.0115156576462 -0.877256385995781 0.993580304842726 -0.772737504843174 -0.280697338262232 -0.562205215468091 -0.932205187434665 1.37558446200488 0.200520541928884 -0.605785277416237 0.0192043727758864 2.76184381973175 0.413911573715388 3.59641615343176 0.272796733626999 0.859291408328641 0.945249470063288 -0.375364858535124 2.51922070129901 1.74826020076568 -0.40689243413232 0.7383778961478 0.899986751754756 0.367622790373495 0.473266633077973 0.0239186854248536 -0.0740560980238945 -0.184461751901306 0.319541440209734 -0.577289499195577 
LE 0.962051050852689 1.45805061206888 0.925598160327866 -0.215050383824254 -0.263709915378586 -0.450716871888008 -0.817843867023259 2.08518157483305 -0.243622589665579 -0.552500129645847 -0.0770752999224648 0.714908233798646 0.804738337941167 -0.101109572409518 0.505186721823109 0.501673028407734 0.685096438621 -0.19309316847281 0.694405601870561 0.582276226589282 -0.0989172989153875 0.150555433480419 0.485197243070384 0.18438396855801 0.422786520372609 -0.393966558995786 -0.0905259245571005 -0.172802641557651 0.467078338452061 -0.340814908627122 
MiPf 1.01434583951859 -2.72233741998961 1.09840230176406 -0.816022364326031 -0.832462267212443 -1.133972059411 -1.15347004752067 1.2869007710408 -0.875623554450977 -1.02348078549322 0.193639243646695 0.598396385424534 1.76511910105333 1.1301539777175 1.43815060326681 0.435300140714469 1.63604654508958 -0.277149263766893 -2.11241737305067 1.06528682256613 -0.377036512071522 -0.350532337634889 1.12294500294363 0.899188907550821 -0.143363017463746 3.86935143028119 1.22859399580356 -0.697755356504356 -0.0838295365775892 -1.00579064398822 
LLPf 0.992620358023075 -2.51359704677088 0.985099040361942 -0.257754534490138 -0.801066669082464 -1.01558791960947 -1.02632451624436 1.29201395054744 -0.854594121827396 -0.951808854978716 0.147858392711143 0.241127402716731 2.12296062305637 -0.149337444324684 1.99702314188883 0.440485782024041 1.13579693417432 -0.0826039636495317 -1.46024489863176 -0.634001865470935 0.282198651729097 -0.293230944628273 0.550778460041667 0.710259429248804 -0.178977050602824 -1.14258695510791 0.173435486915637 -0.566680227786419 0.573585620317319 -1.06218184546053 
RLPf 1.02261842381948 -2.25111000676272 1.08834558100025 -0.977036784954451 -0.814922270333361 -1.09577797913 -1.12584856524497 0.757464211020416 -0.599943302464596 -0.999593035191142 0.185860518555633 1.63982763320372 1.10223459968478 1.93763643795969 0.524145611757714 0.694440142248022 2.05104459805326 -0.431629889970524 -0.726385883486293 4.23915664890421 -0.595883818407122 0.524547232790308 1.9155514199518 0.761304765438639 -0.219304611119234 0.0476441655184216 0.845024815249715 -0.476382270456931 -0.0127076895145949 -0.768963089260486 
LMPf 1.0080493446365 -1.32619963697894 1.10708472677452 -0.88295100330082 -1.04601425574063 -1.35698876794194 -1.22545743441417 -0.155971831246435 -1.15963867409688 -1.39519874170455 0.353597144800579 0.274484861757826 2.77285258994797 0.468616512212628 1.74508281732295 0.168726693750844 1.56486147135807 0.00107306078340199 -1.33110163689395 0.253078487590734 -0.430160603794623 -0.404196015555253 0.696704680321496 1.95880705455227 -0.875557885943792 2.31262967028758 1.12526352730045 -0.987101776464138 0.0492960645035155 -1.06936985226312 
RMPf 1.01574830617553 -1.24545539552792 1.14477998204783 -1.04323546285075 -1.08125071089317 -1.37188572216623 -1.24744387319317 -0.290749248772888 -1.14377255169161 -1.41511528825187 0.375159611638208 0.589052399610084 1.739516506917 0.771705718552154 0.874791107258727 0.194196695577608 3.12931578188674 -0.26900420031543 -1.15536211318614 0.968391058721768 -0.685229419199019 -0.00854476889111896 1.50832080510707 1.79003509484238 -0.926700684598109 2.21160223477603 2.140683749651 -0.760378389955551 -0.148633865160223 -1.0242520968756 
LDFr 0.988347546827411 -0.870364155095727 0.959450314046108 -0.458189190628514 -1.01595712243528 -1.26415377280164 -1.06371327231302 -0.333607349114719 -1.11536730589265 -1.22367480599712 0.353438858511845 0.0394592633786772 1.35731409998857 0.0849526704302427 3.03396535234584 0.271355975434118 0.760840322380953 0.572925220962232 -1.09060543076846 -0.135979446801091 0.0435808942856948 -0.406108526007562 0.289446268177075 1.57341430806505 -0.725009712317037 -0.296223293670301 0.597633971360818 -0.731539523788869 1.07501893345493 -0.784998083841369 
RDFr 1.02309927079457 -0.877053591728455 1.14208323230932 -1.14580444232552 -1.0909851761868 -1.28676271730607 -1.20521414050294 -0.549512519342696 -0.917535300864328 -1.24214217920888 0.393697951914673 1.07566243809794 0.558647148117944 0.880894488433154 0.24892716491371 0.417489766028179 1.75702121260598 -0.383751444255869 -0.76194577034405 1.18993411080802 -0.714342971241219 1.16897862483973 3.87805246714798 1.28677435491628 -1.0152147656358 0.0661898827147454 1.71881271524794 0.127134823502032 -0.128943945671589 -0.978109744234622 
LMFr 1.00804061982528 -0.676451693446623 1.10995269067555 -1.00717237850508 -1.16930906723445 -1.49731267227373 -1.21625327085467 -0.797595678680575 -1.36266294985028 -1.63719920948811 0.730161508413284 -0.0573504839705841 0.790630105276496 0.322016736022985 1.1245215259097 0.362184498037146 0.719185920555921 0.721205247799171 -1.05917614209204 -0.218889826054219 -0.225277140221593 -0.551566830381317 0.0215557846179283 3.14558505928766 -1.31580093021237 0.222683942761962 1.19401748003917 -0.976308483458136 0.304718685416961 -0.658260553677563 
RMFr 1.01996612715091 -0.666147618478355 1.20677727689376 -1.19911335265347 -1.23568008515559 -1.52847991614185 -1.29363280674593 -0.912898369605874 -1.36771884512837 -1.72515176109317 0.76999367243173 0.172733663935799 0.350290697795081 0.53079691467254 -0.0977100017967478 0.324269229959177 1.01853930558705 -0.0484167813595111 -0.914690835758284 0.000742745227818628 -0.689094318356996 0.112086125147311 0.757443923165863 1.83610056982089 -1.39985768365524 0.484795844416725 3.85101917375022 -0.291909827148008 -0.258203045268609 -0.181472509228624 
LLFr 0.927856785545862 -0.53389960444366 0.614796422755294 0.993526692198523 -0.723060334118042 -0.796086821404657 -0.685875833017387 0.0896325282350467 -0.620496488382953 -0.674110825512435 0.150891509867743 0.308672347268667 0.807424930855954 -0.176820427428513 1.46326507495355 0.26634578338932 0.450689456911212 0.544196159811091 -0.656187426776544 -0.185137415222389 0.6568564838074 -0.048588599424312 0.0284598772803867 0.521717733383516 -0.267435368634565 -0.280540027616994 -0.0980940554053117 -0.331596377917674 2.44876087341421 -0.513416131784539 
RLFr 1.01391557285199 -0.691105921720736 1.0193442432824 -1.00480464497697 -0.828080017378748 -0.736344821252947 -1.02885348765648 0.0175950387791774 0.395880439945335 -0.633913203980387 0.220104344855957 3.41948830811747 0.254073849500172 1.26285544509955 -0.0474996305110542 0.931193285231612 0.955218723605191 -0.327176508872019 -0.276676619901363 1.37983720751404 -0.440626381164868 2.04969229926393 1.5420797860657 0.525723981365157 -0.343608427249598 -0.472312132953391 -0.051209505005191 0.211875036136037 0.196805871540642 -0.683137130128093 
LMCe 0.998587497817136 -0.387524392848301 0.979240962580429 -0.987793657159043 -1.1580502813865 -1.20456254822738 -0.859477742323233 -0.971467638715077 -1.31663460218691 -0.867379161197764 1.47201883937671 -0.319114880963564 -0.251976289114121 0.271762787244926 0.195800588284821 0.63871292489311 -0.0308904615036054 3.13160137916185 -0.949817359656105 -0.55585681097354 0.905360067628714 -0.357992504380878 -0.405233967399213 0.88982094006974 -0.92153397664575 -0.496657259660343 -0.141321035857142 0.50567840520637 1.07885273675327 -0.264805020850479 
