 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.866212422723142 0.648898004188179 0.326157959791004 -0.409023733750218 0.740123475847568 -0.0983074873827756 -0.341936188249954 -0.156530711479861 -0.00257940800696769 2.09839330605707 -0.87048382383306 0.138619938719443 0.121975585997224 0.448044503238595 0.197293673904851 -0.143196921092039 0.591392493561684 0.602139520970873 0.348971661102736 0.0182833117063483 0.343124622872514 -0.831032158121099 0.329390031367735 0.290558066577705 -0.479477862601161 0.207161606796346 2.90217001362433 0.34742479645911 0.612812664475259 0.201707244991523 
rhe 0.361873518056021 1.41174864422569 0.354941601341626 -0.529575338582839 0.473169324142563 -0.143165770799301 -0.272852094951892 -0.152979933830226 0.0557882963097241 2.75036680357143 -1.01990339661326 0.099996412068163 0.583103877745417 0.191367951316153 0.911573398980912 0.160038257104208 1.10275371370816 0.353107862308106 0.479871658345397 -0.296718875435067 -1.10013593735329 -1.2253482062674 0.750825295867962 0.111213990652116 -0.904863014986597 0.43147238490573 -2.20112057707146 0.388808282386606 0.309089174438509 0.495560627718197 
LE 0.496542169577796 0.947595078039721 0.241901808099851 -0.498950940454529 0.490332669126521 -0.173073018785823 -0.301859922794759 -0.175640434208885 -0.0879854972842259 2.65494436513355 -0.906147004088051 0.020108462129472 0.00502888655923842 0.190418994342223 0.33045235100056 -0.0716572020377964 1.12721498434292 0.323678580239469 0.238929017498669 -0.0551509078363191 5.20958520459517 -1.01596253757277 0.260713236567605 0.166995231077404 -0.734078553599124 -0.105712352156769 0.975547927412964 0.137618046076465 0.236247304403726 0.0408476269902516 
MiPf 3.08357667127596 0.865296924552324 0.722927722735481 -0.514867463664919 0.852539395901531 -0.0762012808761867 -0.47130817206521 -0.0942434834968669 0.335321621850141 1.59149351563271 -1.10640371396653 0.419527684726869 0.41242598001592 0.359447539001189 0.558570847107075 -0.483015828425633 0.842740833563389 0.74696542222126 1.25890127585919 -1.19384463242111 -0.0295233809586744 -1.67930088079379 0.30420232517798 0.650064219849662 -0.976235864207783 0.642766420329151 -1.01068721219387 0.829737054200573 0.534132192940444 0.470658286549392 
LLPf 2.5866372632935 0.673394386692028 0.638919883534818 -0.408888942156434 1.12533921555193 -0.058307310797555 -0.449599281487534 -0.0733693153900795 0.241487922887187 1.69602761733752 -1.01800057272827 0.380919690155901 0.44563547107442 0.377484555575026 0.128469674781549 -0.375148130214685 0.738842035100243 1.01182137328316 0.818229329731941 5.23896945283241 -0.504748773025351 -1.26755923900849 0.335435363026439 0.915231453770728 -0.758011158734564 0.611307373521537 0.534819460066626 1.08376159428944 0.632736121279322 0.383608837016541 
RLPf 2.05790998482333 1.21975040174485 0.705388025876954 -0.539226987576947 1.14920002479321 -0.0608103767089134 -0.414676999523 -0.0234431519517151 0.352547935825036 1.32593622174334 -1.14956109866465 0.382826023761885 1.10602373504835 0.296698860656892 2.05538727677588 5.27431277911782 0.896298372885324 0.603780314630746 0.959805026522306 -0.466777862267225 -0.646001781983563 -1.34562907791222 0.706356680987249 0.478948951952974 -0.902762151545873 0.96233130486081 -1.50321257393694 0.665604478444794 0.453729453913331 0.79619278763924 
LMPf 1.45708065445163 0.742719171672026 1.02711730604962 -0.410887729199542 2.20183677173804 0.0381582333303965 -0.542624593462214 0.0104718085916368 0.448846026760364 0.680716808258368 -1.02452506105202 0.618930354611007 0.627639394885695 0.321574226137333 0.894216914004628 -0.440733285799835 0.764191826819628 0.895432542860181 1.34036703836552 -0.300024094969634 -0.122524367527851 -1.31088143689602 0.234241842628035 1.29901292276116 -0.788028684736235 0.599028403939906 -0.614896218918366 0.92810936918605 0.361757353451467 0.313589433560011 
RMPf 1.33170751447738 0.893452963529861 1.05001142164176 -0.471970176024939 1.89614396320425 0.0239233440739626 -0.522417164859446 0.0248317416072876 0.601611593724757 0.579106811337665 -1.07840144717676 0.607553215417313 0.960373911332972 0.254361367215842 2.38208703777583 -0.597033186864352 1.0055252537579 0.82655774146999 1.22850425187038 -0.325917658874064 -0.220127367695165 -1.53923181886209 0.23203460731074 0.729014947344442 -0.938248384330535 0.690354278954688 -1.00295859652467 0.714743311972645 0.358372747332449 0.342797333430074 
LDFr 0.987624206239389 0.523149357487547 0.978428622390205 -0.228567995527692 1.65420576515507 0.0929230080822492 -0.45238958172317 -0.00200843408513041 0.376403017678746 0.743679956618363 -0.911164253720824 0.650026701033864 0.676837419089985 0.604112176377512 0.551724676191673 -0.382865063490895 0.438653547717869 1.15488634842853 1.50419426742347 -0.185832901493366 -0.195837540047644 -1.05318409787948 0.209279871826804 4.32259452430151 -0.0299339180683798 0.548314661053603 0.450974395591515 1.54747728728406 0.400008828924737 0.242671588741998 
RDFr 0.763449394940775 1.22485166637741 0.964930008935574 -0.394419528421887 1.22570113888017 0.10382164510214 -0.225415519158169 0.0737019338312037 1.05858855501574 0.512134567619431 -1.07005035993551 0.64515170542534 2.86174663679219 0.201185895893009 2.03671025909552 -0.550549499259694 1.09719564889868 0.793799156718969 1.00051821303987 -0.360618043098424 -0.377716331617845 -1.44794965310716 0.0787060125599539 0.444565937402434 -0.778257151356438 0.939545297774187 -1.11608561423858 0.557615871460842 0.316730562440123 0.250151928233217 
LMFr 0.757144410326616 0.534868490325236 1.50267273171204 -0.106212086383643 1.70956158845573 0.258241512657832 -0.420227488084951 0.156649764822019 0.830409636002898 0.200698024794873 -0.931168947492177 1.03658137369193 0.721291071838762 0.374374771058921 0.953406530262766 -0.358523353536875 1.13296619670363 1.15025168463731 2.40178272240825 -0.170551133379296 -0.0904936789213893 -1.53660617745031 0.257901970729677 1.37442920823883 -0.033858785522016 0.731221624612815 -0.436190514440859 1.21619292886354 0.323306236539573 0.344700198522239 
RMFr 0.660370802218997 0.738175155653064 1.53590018372031 -0.221803714806633 1.50952061608538 0.281272878785494 -0.296130791963407 0.184969611541334 1.44002567056628 0.074346736589698 -1.06435858849486 1.07898532264285 1.26874032408436 0.244133563020373 1.62342442847408 -0.394523067164747 2.23983628193317 1.05831613648805 1.48452965838222 -0.251512291883441 -0.212659643555923 -2.12355161632146 0.331007427935718 0.639823174526461 -0.670093684726491 1.06878362198507 -0.827048765238188 0.704686817867742 0.362291748943612 0.47014145186827 
LLFr 0.683307879550253 0.44106872052261 0.586740907542233 -0.179907461703749 0.970902641993807 0.0673514921357309 -0.316457146248527 -0.0528977569180898 0.170606786815293 0.992034772357353 -0.74816026491763 0.386670274925873 0.32167384222143 5.23108537263211 0.171019038771417 -0.173802545791237 0.413120325481135 1.0182874203218 0.528368742122121 0.0379330318171781 -0.0654065851552233 -0.664103968536964 0.368506709533759 0.259829297130293 0.122740187974182 0.438902041915862 1.14566324400816 0.830118532261736 1.41220958350024 0.327761624372454 
