 lhe rhe LE MiPf LLPf RLPf LMPf RMPf LDFr RDFr LMFr RMFr LLFr RLFr LMCe RMCe LDCe RDCe MiCe MiPa LLTe RLTe LDPa RDPa LLOc RLOc LMOc RMOc MiOc A2 
F00 0.0184987904085913 -0.0152125845481266 -0.196000020735587 0.22354805779124 0.104275274210312 0.0635385998141967 -0.0521544139721617 -0.0831588720297478 -0.0837384429732912 0.000261237451890494 0.0111187167225147 -0.0571058185396734 -0.00540964444172716 -0.00342595314683651 0.00366773362876187 -0.0486664238885464 0.0268086746166292 0.0218235956732292 0.0853351131706372 -0.00799203295775212 -0.00250384134747405 -0.00271540194542364 -0.000188426599469172 -0.00642840398998075 0.0143191023005021 0.00909665939630663 -0.0453993222494989 0.0115983803633261 0.0102508312404279 0.00241500045213764 
F01 0.309355117946673 -0.0106940138618045 0.0436876262395253 -0.00897342711337202 -0.115094440145528 -0.0537364173353369 -0.169034839206854 0.147140884599297 0.301066678467489 -0.128445460770774 -0.0486083085146299 -0.231903008126457 -0.085781723617352 0.525707298824752 -0.00160643236350863 -0.125142149640506 0.332524357119264 0.171341475712626 0.215615648100076 0.06302413499175 -0.487394997655989 -0.206666888135602 0.0182402019110913 -0.0735645078120697 0.754999718457451 -0.00468595245744769 -0.541123049853068 0.0904220581658573 0.143904118719271 0.050497540148427 
F02 -0.253156977655514 0.184315502889243 0.0479029729063977 0.0371357896689632 0.0031711642089544 0.00364823680890138 0.000621223731663283 -0.0400722391814818 0.0562605551718463 0.00265160977343928 -0.00237557829425013 -0.0182381895850437 0.0532245151427235 -0.0933394558706385 -0.00392571157342182 -0.0305029501800779 -0.0129846038349077 0.0523012214598994 0.0222143762145294 -0.00592718657275405 0.00511748817420577 -0.00559952908630487 0.020360228924597 -0.0211555890349171 -0.000904040699065035 -0.00276409108887594 -0.0232330446690889 0.0231996789120614 0.00125154353935094 0.00064475659156918 
F03 -0.001993283295014 0.00599422114795439 0.0093127444426559 -0.00703781459340979 0.0138890898016638 -0.000623868164203961 0.00986184356448454 0.00860237311957775 -0.00965229624328062 -0.00600284998506304 0.0255601465269329 -0.00757915962261315 -0.0729899131048348 -0.00926155767542196 -0.011190599768894 -0.00126958113189256 -0.162034393471891 0.034776243880503 0.0244540791182042 -0.0270659768628554 0.560497620089462 -0.0585559519449404 -0.0413058854589825 -0.0293250704472146 -0.248400293980124 0.0523517372982185 0.0803158918659982 0.0209747457780464 -0.0189822667164815 0.00171748010287761 
F04 0.01386078481996 -0.0107850652172665 0.0201043287623278 -0.0141853000267193 -0.00178740229347991 0.0112103654037362 0.00388446514400374 -0.0984263983696407 0.105208007887982 0.0639789666532822 -0.0168449429203242 -0.0971346781245506 -0.0254829237573688 0.0609304183022461 -0.00301393466459003 0.0391045613198323 -0.10590565916225 0.019455391933744 0.286099473897699 -0.270982641673789 0.0246535435769027 -0.0354433891778148 0.0975699140403338 -0.163330184245943 -0.692605122694059 0.131361473656285 0.71468324344384 -0.0428416203120127 -0.0192324376580551 0.00336203857090724 
F05 -0.0175281394880335 -0.0196125386003522 0.000970627392622349 0.00260521458806018 0.00151608355385808 0.0111724335296322 0.00863139539938311 -0.00666047435423889 -0.0144481726201578 0.0238985206319797 0.0258678171410756 0.00927708088424085 -0.00251199390399356 -0.0939139704610298 0.00137039617143652 0.0500524967070124 0.0135002225494441 -0.147160936970909 -3.1253367190548e-05 -0.0484283834344341 -0.0192180065409719 0.40449155628283 -0.00506762924175438 -0.132131180406904 0.00253215728685384 -0.120350470827378 0.013812957454832 0.118262791739644 -0.0348840421511618 -0.0196274510532951 
F06 -0.184432289748127 -0.149737035952253 0.279807472704364 0.21559671388692 -0.015180447550019 0.0177129377236278 0.0318734850703049 -0.196633157705077 -0.0678133939990155 0.0191609267376322 0.0115189522691218 0.0480879416801214 -0.00756069081248069 -0.0511265831220748 0.00622536900196057 -0.01150170347296 0.0317077849144886 0.0691620014382417 -0.0247870333040803 -0.00158190768592211 0.00988812336189045 0.0242154066627612 -0.00706142303465787 -0.0277856542813168 -0.00406874520910462 -0.00291945461544033 0.00527954150015785 0.0133962861515103 -0.0168210302019028 -0.008679529738018 
F07 0.334695702277857 0.357976978967594 -0.193196114058471 -0.100319758832729 0.0274673549695711 -0.00253622589942572 0.115981205648035 -0.155501901285918 -0.176206627647241 0.0728089546389446 0.0576362851720796 0.0254313693855656 -0.0950551285724124 -0.364988084664084 -0.0128046594780706 -0.0352589132246831 0.0758028426129675 0.0954302537812219 -0.0316526572738094 0.0173451313068014 -0.00416682057530157 0.052469070006509 -0.0194454525936652 -0.00218781136900593 -0.00682593879736254 -0.0331387996232789 0.00881598450407063 0.0713696322553869 -0.0589774912578005 -0.00761885543050161 
F08 -0.0377062441281285 -0.023820575791893 -0.00470025023156246 0.00507663354955007 0.00655961904393078 0.0127942785939665 -0.00580422726229523 0.00199825842683512 0.00494275568346674 0.0379220922129146 0.00229730563997291 -0.00114412229138891 0.00581340510319849 -0.0960418318848646 -0.00865450646914356 -0.00723102513878033 0.00339120456804105 -0.0136433353407246 -0.00468963320050522 -0.0202074061780849 0.0011421885512146 -0.0180380493231311 0.0142606165267375 0.0195874017583835 -0.0106178723034634 -0.0628807442562079 -0.00597282917382268 0.0628891813133528 -0.0193666635734149 0.178844308212411 
F09 0.0184996301850523 -0.0605974431858431 -0.0049272316871782 0.0232073084285137 0.00307106113143678 -0.0078922490924553 0.0791102941084603 -0.108655819750488 -0.162032728477739 -0.168054671633216 0.0339485056511608 -0.0301028244192308 0.0180221473132459 0.115362331278064 0.00568957817320616 -0.666887659694652 0.0680534283777808 0.95852207522122 0.0936421498798136 0.061816129100855 -0.00727424562559874 -0.166929210885864 0.00208937902373404 -0.164627956753209 -0.0236996144844556 0.010580636000743 0.0148109582418773 0.0647091434803247 -0.0240753468468791 0.0184379166463433 
F10 0.0031322443264178 -0.0835057732631155 0.00641219763217917 0.000360418150801141 0.00235878911738791 -0.0395726490634785 0.0477922943150925 0.113430096038065 -0.140508952053668 -0.243711627422575 -0.0191568692460795 0.174931801839367 0.00459574406087879 0.578495130158631 -0.00393346458274201 0.400038386130021 0.0858410727059492 -0.867308055459371 -0.105587068869444 -0.042381324792194 -0.00849577148735803 -0.0280662063952531 -0.0132909066146388 0.218683591404697 -0.0129326752539157 -0.00466839088302693 0.0301391583784229 -0.0407242806814094 -0.0275774033727858 0.0142050949688899 
F11 0.0384695999009652 -0.0156086780537535 0.0115189627585931 -0.0849390053396794 0.00818731109263498 -0.0449171260649341 -0.359380809039558 0.706152796129917 -0.0456174978285712 0.0157505919368997 -0.017281362849284 0.194352631171149 -0.00099708742133208 -0.0441121706637511 0.0120086908490879 -0.287688692021679 0.0335815963769977 0.0045604759283853 -0.348449150070724 0.275615549490458 -0.000824571862555028 0.0219656552806125 0.00248568813311117 -0.0129748627672201 -0.021686901227663 0.0196454198073561 0.0205416218791854 -0.086849291939482 0.00948722245160703 -0.000408743008986585 
F12 0.00819031526172498 -0.00913553232700114 -0.00704790101756942 -0.000236698743528267 0.00312275071724204 0.00110524534094024 -0.0265239475349176 0.0352324723622343 -0.0600158636803192 0.028758298601416 0.00361532636287437 0.0757729583542098 0.00251551866108992 0.00684526166442394 -0.00752807781480147 -0.128480062455276 0.0437819462529276 0.0413262639048725 -0.0038360486275894 -0.309299079751574 0.00814117279692686 0.0472276422467896 -5.69154601150848e-05 -0.313648857439277 0.000371247551720028 -0.156913215556961 -0.138866439088905 0.897609796920098 -0.0380351214995753 -0.000779177906013651 
F13 0.00366040471168062 0.00320046983427048 -0.0056841855102666 0.00353395180168512 -0.00372918010631214 -0.00134600032982195 0.000288934240026757 0.00989548053922574 0.00656062574623185 0.000698348309523515 0.00383011097440592 0.00933925657850119 -0.00676222163148537 -0.0225998150384764 0.00241092693196163 -0.0907492135839168 0.00588176187504361 0.0639276027914269 -0.026786360136627 0.133000689032944 0.00859802044922406 -0.0316293911177968 0.0108347006951929 -0.101767496287875 -0.0341117530628823 0.366412577420905 -0.046536249186847 -0.218337237274731 -0.0342047652581704 -0.0059902731645262 
