 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.503731227627051 0.960042750390111 -2.14379828546598 0.922806014243542 0.75726401923914 0.273947502762198 1.58238881991411 1.94129921043975 -0.104321916272069 -0.0490495927093942 0.36988894496277 0.955482324705788 -0.61809217637955 -0.206271894473448 1.01736715362036 1.62228112643611 -0.0212765591571626 -0.577269153246049 -0.619193945121382 0.151234969932739 -0.389786510434972 0.178538566849197 0.0569352983247174 0.159334646394353 0.133364511049653 0.207084904823395 0.314044641067796 -0.186537614332952 -0.261563488753329 -0.303495589872942 
rhe 0.462196349393974 1.00647708078068 3.37434113589464 0.700698064169529 0.897948781178988 0.8388648180133 0.635792565390593 1.84305216491997 -0.251542852628964 0.525363848782513 0.887322443307497 1.23498662915959 -0.489093879291941 0.0371924408429215 0.306783656221972 0.276952517364833 0.508085832709705 0.616106565167164 -0.499768107458011 -1.0382562635393 -0.597268171193825 0.34430860909698 0.114410899985989 0.212133850932557 0.525292940333209 0.357801256839702 0.0776051499101858 0.131713759450205 -0.398412562984172 0.0157728898740995 
LE -0.952567172775776 0.969348196371947 0.00339821094662852 0.746048374564784 0.783554720552697 0.311083174951212 3.45444285316468 1.7598901214773 -0.05682640200595 0.10535907506816 0.672806193709589 1.17211871903711 -0.517065952129726 -0.0204996197510308 0.739883824627314 1.02328643437474 0.162791572615688 -0.29538641465409 -0.60576506542673 -0.405265955516675 -0.506618084671505 0.151047464504572 -0.459640760092131 0.32973377641574 0.42271019450953 0.689249503161106 1.19038141525059 -0.109444214421684 -0.242268950515339 -0.277476466872621 
MiPf 3.02676651328861 1.00929373310913 0.789898775651486 0.782381123982318 1.0782703327168 0.439247734110326 2.09597946662438 0.456094669909308 -0.142278600582675 -0.579277692619321 -0.091084285224473 1.58255760941126 -0.837053354810403 -0.577592903433049 0.682822963183933 0.639519687543561 0.327228276884254 -0.2412626283901 -0.669111625652944 -0.519524271881311 -0.762286034924949 1.35731085827566 0.63938528364542 -0.426592294642157 -0.751551003243502 -0.727468316859899 -0.703079511442488 -0.348771118330465 -0.854384855079728 0.257368191376967 
LLPf 2.4647553786502 0.984684768042285 -1.31532710071758 0.886766814056872 0.990826358107572 0.316309199286857 1.47039603533573 1.16493714890377 -0.146626149123438 -0.544756170591475 -0.0591694307209085 1.06529664860185 -0.893047735444671 -0.573097116122091 1.36649282314427 1.28237525391245 0.114817174614118 -0.918749429348632 -0.692967947460787 0.246919757880692 -0.476866834516127 0.849986082447412 0.383789312904139 -0.295055025023684 -0.223127829125343 -0.506876016628727 4.78792170317991 -0.272957705732541 -0.329163926829092 0.0625582550020552 
RLPf 2.20955261478853 1.03282286018357 1.94890416738248 0.740875974421171 1.16158734097058 0.70317976047101 0.565504452252616 0.155060240403616 -0.210246157574951 -0.154098621641338 -0.195626877472648 1.81334472169165 -0.747925571284275 -0.553461669787016 0.161890551459311 0.151534204571043 0.678208956980438 0.944057945320058 -0.639541305216108 -0.898573890863093 -0.923390235936982 1.00433816829988 0.575372703641408 -0.583841935472393 0.907713925590521 5.26044030495559 -0.299009598553537 0.00907417928047416 -0.55454373075628 0.534080719878653 
LMPf 1.45318726926352 1.01686157257547 0.258393020742706 0.839617724878567 1.21006102589458 0.427191223990777 0.182844458139213 -0.429750199630358 -0.154680799194907 -1.15979381235758 -0.883828717085606 1.33717762751982 -1.18387482519141 -0.900285283691513 0.696056575611999 0.513767781659475 0.151361075138621 -0.841425096215823 -0.831171526023939 -0.168327000683322 -1.04392175688299 3.22472410727005 1.22216070846982 -0.955516718785244 -1.3969493457282 -0.105628312142301 0.578866930634005 -0.45971905495033 -1.18363567787484 0.69923879926208 
RMPf 1.37839263842649 1.02906959108437 0.743653610511144 0.790432345067561 1.2696677512889 0.5535575647577 -0.0406486479350296 -0.648946113487352 -0.175716461269206 -1.0156990255527 -0.901737342656234 2.07197974446345 -1.0534356748953 -0.867124558986291 -0.0454225053339678 0.236888969285853 0.566954537221408 0.131934613153965 -0.788044234339056 -0.550252950563759 -1.26869057116875 2.06737056693611 0.652635152298841 -1.00342447277985 -1.16720786611675 0.119245964414997 0.244507374742193 -0.316662436633037 -1.02464821458701 0.681649221767649 
LDFr 0.833973580478618 1.0032563389685 -0.183605507871012 0.996084433291465 1.08833028130126 0.376854799976007 -0.22807959864285 -0.495814440050388 -0.138085215983902 -1.19448721223201 -1.03717678564649 0.539529497465828 -1.1480795504812 -0.890239422772908 1.30261400392373 0.870935454986952 -0.0518857075140245 -1.30324790018806 -0.549625384694517 1.02592212787942 -0.603023372165479 0.908378335557324 1.30312838957166 -0.927331330072 -0.784736016226517 -0.24381133165386 0.592767674608807 -0.301224105091837 -0.840955158173792 0.721618238960275 
RDFr 0.918141267290244 1.04426507764402 0.957810785275261 0.766794290801768 1.31285669203044 0.821388249998333 -0.459773369764329 -0.829482006475282 -0.211058710273403 -0.517602288746485 -1.16496162972273 1.72421246522864 -0.902619692092957 -0.746366009514123 -0.485239715053404 0.0149338202638059 0.86161320131968 1.26913470939964 -0.61609159917625 -0.789733547547958 -1.29206241567777 1.52293049409488 1.07422362584933 -1.01898262290914 1.08015666137307 -0.266951712836134 0.21754292487034 -0.100611297027346 -0.657868886185262 0.836029178613577 
