 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe -0.20447194826684 1.24017094287196 0.146866380771536 0.0545846822842925 -0.704662246131272 -0.643778101694647 -0.127250501943092 -2.57145744895674 -0.410043158612811 -0.379613357698905 -0.05995591044382 -0.200108329363932 -0.423469800358559 -0.227929113808246 0.268839157590908 0.447480203629907 -0.0641225985387455 -0.215714543380174 0.100754237353343 -0.453121741579408 0.0383275204740292 0.182209967922632 -0.364740698405071 0.320720473958219 -0.16391083584946 -0.665128608894668 -0.010520794074356 -0.0891083617764215 0.302722962705833 -0.0669424107135552 
rhe -0.612669145701142 1.62219998409126 0.118910447802981 0.139483890826549 -0.808952675627539 0.378459681258225 -0.237206359736991 3.51067929363631 -0.228135464654206 -0.829499888910212 0.00102284219694185 0.245450298515951 0.24062257774876 0.447890787323554 0.237656900133379 -0.0235716758147685 -0.123987621757385 -0.305517525520325 0.52619879861668 -0.973789759507498 -0.0448707095640939 0.127411597931011 -0.424009903856748 0.701738687527288 -0.0341356145598364 -0.354044200434201 -0.695406101962109 0.4545612472158 0.229621771342748 1.21396014149037 
LE 1.86834942447187 1.55254515105197 0.0507858973684948 0.0129678134681402 -0.734142410993523 -0.554583910556843 -0.220160433646526 -0.368184717358192 -0.264841317579111 -0.587683174020843 -0.12665020857766 0.104995256926129 0.00348642601568813 -0.0875874200985838 0.181298193827043 0.155080363716427 -0.220805845780098 -0.304385803619695 0.157732785829098 -0.794045506638095 -0.0427510248432452 0.136081812734007 -0.484705905509846 0.350691674842621 0.347853121662201 2.2842363954758 -0.0579654208071922 -0.00456148927079531 0.105776865621926 -0.128929487624331 
MiPf -2.71522084196901 1.34233770899575 0.523176405270465 0.393835909077318 -1.15669484724729 0.12973631709772 -0.0900481198684275 0.312423632841245 -0.794110903372236 -1.08315043447733 0.0711740235732685 0.305221040719553 0.48216361249005 -0.511840248605121 1.56045858186108 1.22794337883862 0.311694799363239 0.0639263579358046 0.765674747947921 -1.06621868161326 0.388870631089658 0.263158995347556 -0.485561829539033 1.13977311296755 0.588167888092366 3.11639481790629 0.0702794021982098 -0.0362985359667501 0.507974548616103 1.0183099089986 
LLPf -2.1713900681424 1.25790353564756 0.524121640901015 0.319735761703655 -1.02407255308201 -0.305652001138695 -0.0710974937162297 -1.25506159535552 -0.726105123189709 -0.62837444313863 0.0881811093905584 0.206926950215197 0.395549640792518 -0.540646121147703 0.794646311278636 1.28952304568449 0.218900077384285 0.721894854817083 0.421403896527637 -0.634719773470093 0.179847837119671 0.32897306412206 -0.39829279032146 0.590535429353778 4.52593875931926 1.07511645395425 0.0937981393134889 -0.376254318357813 0.479839066235053 -0.526706274051972 
RLPf -2.21721903186643 1.38491653713126 0.547419687625657 0.412959156263337 -1.14172052623288 0.489649171358578 -0.117847748136187 1.44029780284886 -0.668654572009182 -1.09894379239308 0.192780335975897 0.302153947963904 0.410516455457715 -0.0185861525789581 1.0824473761504 0.764605374648736 0.442495480893331 -0.112424951346164 2.10765076804324 -1.1787494271935 0.861917549276161 0.226248611321151 -0.455896224948819 1.48157916435012 0.557319305671126 1.88717406961289 -0.0134640408534471 5.42710360152885 0.553686946652368 2.03782209391116 
LMPf -1.38334957427653 1.08190964429978 0.915085785358978 0.606694996971079 -1.27475718026345 0.599320381345449 0.0915244044228924 0.09685697057406 -0.968419088313606 -1.26856870562273 0.251203192369713 0.575905079589601 1.11765973775059 -0.860416830162437 2.03688373439315 2.12202998240497 0.601343545080367 0.589478464295808 0.796693439293321 -0.942333285800475 0.513797837507486 0.426768244534804 -0.443015170227694 1.36542013955757 1.20131368225306 1.31480863589777 0.310216108563384 0.0109908673501495 0.416015458360713 0.16229097210254 
RMPf -1.39806878468677 1.13039401292185 0.911073874517144 0.605371643917105 -1.31434663026761 0.777628529192045 0.0675040081121337 0.506321090053919 -0.93679853222566 -1.37052516443458 0.323823656843389 0.446154790320403 0.670733101643085 -0.696925316953411 1.85865954090905 1.69530621819702 0.75477113995171 0.202824627677765 1.34313525836425 -1.15160671308619 0.791923507125623 0.373225249913147 -0.466420485299929 2.06276533951162 0.705535797796966 1.46538709937196 0.48045812666556 0.0506824226766731 0.490929664235583 3.40034220507443 
LDFr -0.833376034206976 0.962673753127742 0.993822143649638 0.627139637612786 -1.09238248553688 0.483369795704358 0.201489542199876 -0.270264934484091 -0.930685449531862 -0.721146164218691 0.327709739535569 1.39469106482928 3.90701108059935 -0.754172052434525 1.16214745022811 2.07750077973427 0.674116055057498 2.05358124799479 0.709573557653507 0.0714310227416155 0.380213144763484 0.674080290918399 -0.201041754236256 0.588917839572953 1.81379944226786 0.572888120484975 0.298432648842934 -0.123118419478261 0.337919996330786 -0.393258278783268 
RDFr -0.923860281098265 1.10913696205539 0.993294237892098 0.669541558252602 -1.2877648615084 1.11492560998664 0.114618711343295 0.826800234795537 -0.728636692729038 -1.25129070017422 0.545863352289642 0.393430107519552 0.484268048204175 0.0200921001928368 1.21745019387467 1.08397278835884 1.15917886421209 -0.000216221816981094 2.73371654238938 -1.15089202147508 1.77132663658148 0.371694061551399 -0.338351936396902 2.20201634711872 0.520343148446315 0.875048426805892 1.67069935218335 -0.3018276371985 0.716285664026217 1.41279199068404 
