 lhe rhe LE MiPf LLPf RLPf LMPf RMPf LDFr RDFr LMFr RMFr LLFr RLFr LMCe RMCe LDCe RDCe MiCe MiPa LLTe RLTe LDPa RDPa LLOc RLOc LMOc RMOc MiOc A2 
F00 -0.225212357373769 -0.0875631271106519 0.28774059555966 -0.000199925709009487 -0.0128759644447823 -0.00603012332574328 -0.0350053586281639 -0.00520016208471573 0.00188245423661338 -0.0256453267862759 0.022221543222106 0.0579172046444194 0.0225469468699012 -0.00128443340846195 0.0068396734646869 -0.00709613606367617 0.00427479445419992 0.0169068843333369 -0.0134614312183876 -0.0488392753014149 0.0320137351004553 0.00545154125360675 -0.00343476300947779 0.00310720487812536 -0.0292593023168878 -0.00659237781144286 0.0447525307389486 0.00752215775872384 -0.00504578248430483 -0.000909151757615596 
F01 -0.102581592843602 -0.0667983317583607 0.0863560909713533 0.187781117486147 0.00418086040512813 0.00684308588789437 -0.00307212517677221 0.079396664217539 -0.180357608803596 -0.238039097764092 0.0466283206406015 0.0262290947406366 -0.025437142892652 -0.00969573677970257 0.0461340556935818 0.0341646665110728 0.0579805336213473 0.0920711972597512 -0.0595026200044054 0.0602260740850708 0.0666459121741778 0.0112008468484834 -0.0876465831286838 0.0218305501692326 -0.0493655608952986 0.00813411718155794 0.0811969291855086 -0.132651192438434 0.0313340856977798 -0.00152858241290822 
F02 -0.19355256622267 0.161734592808935 -0.00659647638263107 0.000161931001308782 0.00518549121375908 -0.0021853127761693 0.00828699824609829 -0.00876266559548941 -0.00736381132762959 0.00378428485050012 0.0240970834337949 -0.0351477286450232 0.0527898135970312 -0.00502621025910801 -0.0182105710248222 0.0117348097912888 0.00464774234351122 0.00927024284600084 -0.00032960591400968 0.0143502295220947 0.0321349890687229 -0.0215417742617941 -0.0134596612965377 -0.0163453651065094 -0.00963758150650837 0.0115589688509109 0.00442851635037269 -0.011484300682187 0.00288559741503865 -0.0170515214577224 
F03 0.0579277589262633 0.002108423695845 0.042950054117933 0.00346072212613168 -0.00686862440414373 0.00473589135476214 -0.0106796241502803 -0.0462462173161384 -0.00107605921195005 0.0338304302607831 0.0745904124435493 0.00919147685978413 -0.124223205878819 0.02114265858592 0.469252609239968 0.11409151526608 -0.317435263330803 -0.0399224897039652 -0.135992547165985 -0.0353983151741759 1.41860774746416 0.0482665657781121 -1.07664939168759 -0.107355575644282 -0.302466113701693 0.00121676468173193 0.46525835867968 -0.11281758502034 0.0780362946713963 0.110184789690845 
F04 0.0618795368579281 0.0357194184133164 0.011162868207767 0.0245837026699321 -0.00628296109818144 0.00688548860623519 -0.0213464250197794 -0.764716513175031 -0.0118467814729432 -0.137095544192159 -0.193391541526808 2.38796871090293 -0.0794048075183413 -0.0196901249197263 -0.486315553130665 -0.818424408368949 0.151297753912198 -0.132259377075274 0.201410643629649 -0.348713156965808 -0.411381767038265 -0.29610015655866 0.71804605353033 0.654312119153602 0.306357529466854 0.116553473795657 -0.580131966958835 -0.177299955092648 0.039489962209576 -0.0868043509222681 
F05 0.0199132090025772 0.0124379944486686 0.00322638353755873 0.00104984491286639 -0.00209031182083532 0.00519963923132392 0.00164319483907012 -0.0363223168253132 0.0169193436956916 0.101299682483827 0.121435442244921 0.0875361999274802 -0.0346416454702873 -0.000992537504148489 0.0365447787759634 -0.564491835175934 0.0106308903670848 0.125668241468827 -0.309607162451925 0.119405921787865 0.0445434672646751 -0.0559966064737126 -0.315754547920953 -0.570558350932268 -0.0552189424349217 -0.0698387245454004 0.148248819604411 1.45900575666865 -0.247232889897893 -0.0350131507335496 
F06 0.0355042828493536 -0.0373349872869116 -0.00228704373417541 0.00151441538343119 0.00343306640070298 -0.011907424362583 0.00617164893724678 -0.011106309762102 0.0152863610446583 -0.0599434321442839 -0.097696067277117 0.112338788376919 0.0866152757548591 0.0253728847773561 -0.0016400672473374 -0.0499051927601843 0.187738474392109 -0.094677245960047 0.0297455068904209 -0.241678201380267 -0.720072282135512 0.630532752790922 0.250169914036742 -0.441382833295841 0.259787929006968 -0.242376658703705 0.0351333525664729 0.449466798481183 -0.128964371184086 0.145212519491345 
F07 -0.00514547847720653 -0.00276026659073582 -0.00896921976747794 -6.30939604098069e-05 0.00193873894720789 -1.26755474320167e-06 -0.0111369622562894 0.0157287972422823 0.027051438821956 -0.0124089726351682 -0.0149965581170056 -0.0316275941616264 0.0106036312059497 0.000990442676633573 0.175298127464715 -0.190256231700278 0.0467458097954427 0.0630475724370762 0.0902180231189031 0.0112971368732986 -0.0659849716040391 -0.0457864715668747 -0.360615806171375 -0.0367685948201944 0.381018476961948 0.199836313495567 -0.131604786820742 -0.00663363542055295 -0.0651782219864991 -0.0157006506428958 
F08 -0.0368534608885741 -0.0532947511697478 0.038541872757462 -5.96346088905631e-05 -0.00669781434493713 0.163356085184197 -0.0202812526439941 -0.0359306594045519 0.00817567809852681 -0.26035300101549 0.0439740285279752 0.169401855213326 -0.0102841737955491 0.00107601639108093 -0.0640588692503311 -0.0495450183849615 0.0362814356765145 0.0929789339779865 -0.0881331770574896 0.11882442007304 0.0152211926280986 -0.00253509446465829 -0.0473746495120593 0.0193067667677416 -0.0165192481959124 0.016365929977095 0.0767542889679094 -0.114982839636278 0.00154374501437762 0.000570924306612774 
F09 -0.027976275246944 -0.0495655578441253 0.0497607104082722 -0.0534033472806478 -0.00966085115658982 0.0048378576415378 -0.023587961700565 0.770334213833806 -0.200484554967602 -0.0725279412252708 -0.133028943907409 -0.364418673848451 -0.0322825509110644 -0.0114179646570307 0.116943235168827 0.0224408887749668 0.189365049280099 -0.0791633775603652 -0.030747867063237 -0.0639795698505228 -0.0417241743982624 -0.0297249917491482 -0.130507066082408 0.213135684843177 0.0450071387266289 -0.0093228223384329 0.0650024034131239 -0.0742169860729663 -0.0114764666506263 -0.00965365340385502 
