 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe -0.973130263619881 -0.0694188581155028 -2.43791792805843 0.909302148006281 0.418291343450818 0.234006286716984 0.571608594736197 -0.795950984745201 -0.0629339803750442 0.33704461170051 2.36616077829884 0.610793967156865 0.246256763572486 0.267445827200106 0.426484744446585 0.0274398095997396 0.024350820010856 0.161578456589 0.33793858652461 1.40700221969921 0.211624380854015 -0.142796504503679 0.530430997384001 0.26041831529498 0.163946772887119 -0.46853062530977 0.409927375509389 0.156838809756059 0.788448944805688 -0.311151149803685 
rhe -0.847090135644327 -0.0796799299830327 3.63376016802356 0.931618051566874 0.513962115078907 0.305367010324313 1.13455906412601 -0.829000774813053 0.0211872435961623 0.594142585335732 2.83016072038666 0.251537129515177 0.654226281131882 0.327547577339999 0.123871491558252 0.276574563054897 -0.0828444084353848 0.325496079660617 0.508609019664218 0.605107502146199 0.668234858063931 0.0486239755499063 0.520755386748826 0.423901980534037 -0.248627095048323 -0.6774800386527 0.382010172437356 -0.0525107146652292 0.333121123199775 -0.499808285079919 
LE 2.33748387642471 -0.0185275139998858 -0.756504376998999 0.863022149775966 0.4146605343469 0.206443334457388 0.792735530115164 -0.750427333108876 0.0433390304790144 0.562699779814746 2.8669790378466 0.645965150756032 0.37747072576744 0.282747297146076 0.17257748783972 0.0184407640870879 0.226508296870176 0.263290155947077 0.498862761339574 1.10188960436999 0.536677047394884 0.166419285208685 0.578577848670819 0.222526400955673 0.0329144470771534 -0.730802943641976 0.763063251112757 0.748352391828245 0.50481912827397 -0.882306105857566 
MiPf -2.60019746832088 5.36471665475139 0.622826609655983 0.926929409830165 1.00411232774613 0.54628245542737 0.936424896346736 -1.15960750364136 -0.846154477776222 1.16056288234816 1.16263270007858 1.77891902883345 0.193106795483081 0.484916612790245 0.381879285290536 -0.0342428899295964 -0.746931467172146 0.976250317856443 -0.0145886425683344 1.57932918031578 0.317438035959338 2.58347520623575 0.441306799087056 0.555973433824528 0.392944517664273 -0.803830176666642 0.227784523717812 -0.634571784943352 -0.0156073172346729 -0.0420632328041222 
LLPf -2.20615997171017 0.201675560150499 -0.355433785930079 0.962616344977604 0.833775569144253 0.459741724025092 0.688738896669154 -1.09999571613177 0.012164144911525 0.871144547249433 0.954541339074236 2.60877978091083 0.103346957146131 0.698711866797369 0.676171343693558 0.0385459752213268 5.36687333625827 0.288198463342295 0.376395308083307 1.81937548415646 0.0381024522493654 0.422314101201288 0.724923392835189 0.482889658813423 0.262724647518547 -0.950390169719461 0.750743633082704 0.465255912026437 0.00427878511396369 0.159191450806179 
RLPf -1.95472740145221 0.246649726827916 1.53757921794689 0.971143273653953 0.900363758693204 0.552144021565015 1.04603665050905 -1.10656295707515 5.36091826679318 2.08382237986947 1.00139757060915 0.66462841143929 0.536517407989373 0.694334130693074 0.168438999939529 0.294022405306087 -0.0185072446289753 1.10618115270332 0.383454417230462 0.976517360666142 0.134425111197591 3.52478883651359 0.47244350057983 0.883912856379642 0.113027323436212 -0.817985485320717 -0.532083897191316 0.185995630362329 -0.137917662136985 -1.47192634538046 
LMPf -1.14574204562972 0.633858147368604 0.367710138575305 0.962458243435159 1.22592039587274 0.696198165162044 0.791175622005612 -1.17462212965219 -0.216550741940564 1.63801755465888 -0.106401410650282 2.21216268917634 0.08730107652146 0.811932026134895 0.697299743456821 0.087009700465446 -0.358471998879394 0.375391269862394 0.259021391843871 0.967729992746241 -0.216126664099082 0.243890749211492 1.02208420771185 0.592778365563825 -0.64989366358522 -1.54722500729748 1.62989636917063 5.3132205930551 2.46126740563776 -0.0103209362678692 
RMPf -1.09029315061081 0.598934656210595 0.650221482464595 0.958481792485505 1.26030259647829 0.729301010283211 0.873417955337531 -1.19450575148403 -0.278984543338101 2.52467019374474 -0.110068080806957 1.1822891825845 0.304494528568342 0.900129994949791 0.43825894531619 0.199173232058385 -0.203788779687183 0.564539277773663 0.243296844899426 0.873014805671688 -0.191084943268667 0.743992442058334 0.86194818778757 0.838073644335857 -0.763910415897657 -1.20228665397419 1.06908005008623 0.0809733076030151 1.07982083307842 -0.236273779579856 
LDFr -0.87560547091702 0.26533425900848 0.156453720961817 0.98870411783627 1.12302657531585 0.700403080055354 0.696665892656442 -0.993089287855746 -0.154196443052971 0.989298749046542 -0.187201073022864 2.33501957909384 -0.077977318189105 0.846158938763577 1.2195721629325 0.184752397006472 -0.531586907884463 0.276847638344073 0.237556398579897 1.19050388544301 -0.274186558756534 0.274074067072821 0.985627736482646 0.548591514047546 -0.328238540257209 -1.23612136552777 1.12942384989021 -0.0673527099167711 1.12995608470833 0.650182423126186 
RDFr -0.757054000211395 0.210828832972184 0.839700764053588 0.977519849133606 1.23017240978112 0.768077813778766 1.06478254452316 -0.988519088173104 -0.535487068772474 1.73659392305238 -0.193440730951129 0.493480753389826 0.620106437292529 1.03503239488105 0.341388742570133 0.801848280882121 -0.127941315828282 1.16031322952515 0.377233200973271 0.641005194810395 -0.31480913927619 2.5738998121385 0.495945577126107 1.65034063997491 -0.517435501476068 -0.822541681992698 1.20392346508483 -0.216104839316 0.290856478585436 0.961286250632357 
LMFr -0.638603995652724 0.238249916064001 0.389433513499802 0.979439355017186 1.39626495555932 0.91713762451138 0.816009431051516 -0.989779456356158 -0.0952093798492373 1.0397906529789 -0.479331253220071 1.19936177730602 -0.0384388334996065 1.05630649656853 1.09678304259996 0.381198571197328 -0.157562006342588 0.266377228562565 0.19304378667589 0.751269483251746 -0.328132028644734 0.104879677244459 1.36631622783324 0.601388004699186 -1.24035560516297 -1.56150674963922 1.44234770564955 0.207117097040265 3.67035075071995 -0.0215757649965323 
RMFr -0.610842763321286 0.227663085683874 0.557720954531655 0.966661731437912 1.51072188253321 0.95008139637647 0.928920401398952 -1.03142801473791 -0.16077255930196 1.30481711892341 -0.496768725683059 0.634685230146665 0.326764901440115 1.1604225558003 0.559468368986732 0.615316443430866 -0.0795584338303299 0.468044370608995 0.286082403071037 0.612775958177806 -0.352179334280375 0.447936164327462 0.888384448016714 0.929670833321544 -0.997746229288532 -1.19872920008873 1.11153197749096 0.110739816181628 0.678460402316177 0.487675973151583 
LLFr -0.746625711327036 0.0424788862231529 -0.338831576595218 1.07910654932618 0.623268161117215 0.407627715389831 0.422637829324384 -0.736879298098404 -0.0818254178850441 0.341663895092132 0.153230452325999 1.23926188508743 -0.0929115308279766 0.462131559905683 1.12406559790556 0.203927496644436 -0.180951533604413 0.172957538837698 0.155427968131493 3.19807014669212 -0.322357722375108 -0.0508203631819588 0.665438867569296 0.387639449784262 0.444026320082977 -0.232393836338459 0.405430372930415 -0.037572243462647 0.845719161119245 -0.04593190929919 
