 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.743401085842215 0.472375584578363 -2.07886352188275 0.776622041635122 0.939831315637472 2.59010289881852 -0.338781686204071 0.0298391735476731 -0.909199296527966 -0.106569270328062 0.0217761916059768 1.12320241636449 0.0264614238908547 -0.15609306733862 0.488208577226076 -0.239456367784279 0.00127032838866241 -0.384384596406214 0.220786556560703 -0.24008193504907 -0.139841183136717 0.849158230567958 1.00126018222963 -0.158573083815812 0.385435498987779 -0.149465098513991 0.517082420810955 -0.498797332666967 -0.4951022994216 0.48013674849107 
rhe 0.55173714610891 0.446650243447293 3.24011061052001 1.31157274586031 0.759281972444117 2.48246514396896 -0.178009199672443 0.0986144793157159 -1.05725261039822 0.335176148785568 -0.124667034491063 1.05032085776528 0.218630974501026 0.371923722385995 1.12579780035883 -0.724797127466197 -0.00388084092356635 -0.134459891720812 0.886027486606826 -0.557958791408594 -0.154455389017457 0.204173476174435 0.694601523151928 0.266687250182728 0.139719362847142 0.201736912760316 0.084017289328998 -0.827778729704502 -0.277529240637485 -0.0235068693103964 
LE -1.3505452949744 0.382636494492406 0.0429966756289168 1.07895860203031 2.53847902847463 2.52711640392716 -0.405298313260076 0.0347372075706053 -0.976601701693645 0.0261262748753488 0.0208375736811287 0.128553325766788 0.0891379706321644 0.184370709648214 0.547663475847475 -0.492245348695691 0.0181834927769685 -0.361782212212383 0.306366636635422 -0.229031835296866 -0.152574310583491 0.529785663832464 0.764579577790121 -0.510390485486943 -0.101470496939213 -0.044021872301107 0.291243162831571 -0.27984829946545 -0.0232083996375652 0.460611718773445 
MiPf 2.32415105893808 1.03031552358327 0.972926343322447 1.08727135313329 2.37372745171893 -0.029944545987448 -0.726661583098158 0.002733718005861 -1.25845954823953 -0.182634337044182 -0.435988828791972 2.08896951995843 0.175474949057232 -0.0836899685355231 0.71038285305987 -0.905203569717714 -0.599727996967001 -1.20249592218108 0.441647171231988 -0.385461223725402 -0.346761179212317 0.510091746686313 0.807724394787242 -0.260505120625605 -0.75392750405867 -0.488220837095651 0.0262149977065659 -1.29190065278697 -1.22215879980786 0.672762608279451 
LLPf 2.65894824800281 0.861047985087759 -0.277389770240607 0.928396134890935 2.1047812333979 1.2740950921256 -0.570828480083707 0.022649249373252 -1.14127323772461 -0.239066111849222 0.126693832813732 -3.04484502580894 -0.0558732471288519 -0.244152310976145 0.462846667556301 -0.456911631961923 -0.0850797557292249 -1.04657402703291 0.19968430766574 -0.182626405972069 -0.241265003306318 1.38718860648198 0.818659613642624 -0.164618145271391 1.92918583122744 0.0290588308590993 0.369922689597633 1.98330824186399 -0.457502411676141 0.595737790755464 
RLPf 2.3084143390744 0.823776074724077 2.33522448664725 1.14384121403555 2.27959813396629 0.652171029566557 -0.396656517503642 0.0641337196082855 -1.19684804493392 0.166916236036937 -2.765426551366 2.27120117834606 0.784332215340406 0.156739665718644 1.3374919584435 -0.875873941200114 -0.777608109848915 4.98101099564504 0.687331986663872 -0.599837543650905 -0.2715434070993 0.400788617264333 0.926236259540074 0.489518622415147 1.92620955719323 -0.171323912799544 0.158123380274143 -1.6018651923956 -0.977938435763406 0.739314604783218 
LMPf 1.43035314914737 1.38064488871156 0.399144302414527 1.00266711569188 1.35793159308645 -0.364259663991127 -0.824359942540158 0.0703115892858789 -1.23561069170751 -0.235996725360556 0.123767755955854 1.2549007249496 0.0184365952873935 -0.308324039253424 0.569060044749188 -0.754397752755492 0.00976584820527208 -1.00897207450389 0.18524016983225 -0.197356070006062 -0.398338532895688 0.821632819402233 0.767472550167073 -0.259073155628765 2.6886197470331 -0.626994215160279 -0.263506006272225 -0.0750015562121825 -1.19287640625602 0.554926030890717 
RMPf 1.41260268673252 1.32989698368828 0.941294125618845 1.08071161024121 1.39352532415482 -0.436616806530163 -0.680321390899412 0.0922498651850696 -1.27236631109355 0.057317354991122 1.02352005143065 1.59162195870487 -0.0350393080206676 -0.156962023547029 0.862412579268407 -1.01045749558676 5.302514257647 -0.316592939401657 0.260039518510697 -0.408286011251786 -0.36961350607806 0.399425856280494 0.704116595788684 -0.24565628205724 2.28144049292753 -0.221368329488922 -0.138234715766817 -1.4716847249494 -1.49061160955435 0.330468091806223 
LDFr 1.05288483954206 1.2809330615403 -0.0419434708169922 0.90130164675349 0.85775146724056 -0.151484814561188 -0.551716142141153 0.151293713750468 -1.06662762406086 -0.221672035574431 0.130607740715893 0.817756713771066 -0.01017306023798 -0.395826227445207 0.459230773710108 0.0401350847278505 0.0312592263979518 -0.53240143517283 0.105068835924926 0.0973281186710753 -0.319487725928585 1.70475956357823 0.738039176712114 -0.0552478646768491 1.44789976589968 -0.384534475571155 -1.21527948870584 3.35842963233664 -0.712277760911912 0.485335845136587 
RDFr 0.984276105118377 1.18832570521058 1.15196669537743 1.13400624694825 0.880065320137409 -0.392390813176551 -0.137396360657932 0.327106459900614 -1.13946763387303 0.808001136978009 4.1499758855785 1.23188967171848 -0.390135679154681 0.0859353085428961 1.58112795547247 -0.952873720212995 0.562842235907006 0.642293059336935 0.0679352690657739 -0.515909673993152 -0.257417458376066 0.244073395974178 0.537737125095712 0.112944384242045 1.5158330073356 0.212365397794531 -0.204628852255389 -0.985077460918664 -1.22797936372246 0.0725377856543262 
