 lhe rhe LE MiPf LLPf RLPf LMPf RMPf LDFr RDFr LMFr RMFr LLFr RLFr LMCe RMCe LDCe RDCe MiCe MiPa LLTe RLTe LDPa RDPa LLOc RLOc LMOc RMOc MiOc A2 
F00 0.146884951936906 -0.0410374190549891 0.0256419385793959 -0.0272752023523158 -0.00864024528809523 0.00405395472839417 0.350473188251717 -0.110947703707513 -0.0358977842133514 0.0763799651167849 -0.238286413333098 -0.087098986345596 -0.0219573187719334 0.00737480450939283 0.319750623384198 -0.0191044131698247 -0.304025762131314 0.0095982326720621 0.147978728605826 -0.0676777221289084 -0.360943196537087 0.0230008183922857 0.319647703054977 -0.00947810474549378 0.0795240307523857 0.0881410473485586 -0.0176193979509877 -0.225747324012131 0.0762631211508952 0.43625070477696 
F01 0.00445534181489616 -0.0215540725421297 0.0187146068507607 0.0175897212459833 0.00631228107731936 -0.00236984567547341 -0.144955791062726 0.0306378754062739 -0.0399799022555551 -0.0532339520423025 0.00602752019002016 0.0645027934367552 -0.0277898860055912 0.000599945738044175 -0.331374273234589 0.0543320878690656 0.590336916023668 -0.000766820295429031 0.11120346831081 0.0294402826224582 0.365931287209811 0.00107656706236792 -0.430537654364928 -0.115276361108902 0.00483091417801712 0.00998374184074073 0.121574218321243 0.0305557577428472 -0.0163375163868116 0.326409252052381 
F02 0.0978250414327671 0.10705873535118 -0.0555105194287856 -0.00635989480559943 -0.00217269870603289 -0.00814971530901195 -0.233823239951222 -0.371188295499811 0.0280320109961682 -0.054151537486403 0.0238578137431179 0.209227540385345 -0.00498836295132659 -0.00704608259242257 -0.847090990760767 -0.160843404743537 -0.143591088512488 -0.00602244767425569 1.83382325953123 -0.948089783441493 -0.101691200370268 -0.028991308577165 0.947252638813337 -0.0466159776696303 -0.0392021014407589 -0.0452973364582836 -0.325882127720657 0.456760753302773 -0.091252386637859 -0.194623900184448 
F03 -0.143908993130365 -0.0140970561860616 0.221209106675874 -0.272664965078022 -0.00238821666599714 0.00332207464756327 0.19249521912879 0.112533755401777 -0.102199280736831 -0.0393741779624552 -0.0110802815432259 -0.0521915141639507 0.0066518255835704 0.00335867416262081 0.0118694787272591 0.0272201012569226 0.0457734413932367 -0.00204619785821632 0.0871034423986839 -0.0742858651672902 0.0218849570140599 -0.00226906352924495 -0.0598806647391038 0.0188183583072179 -0.00541374713248786 0.00197829510549304 0.0499190276903423 -0.024120156589678 0.000170762334319181 0.00645260991683813 
F04 -0.000103675414913625 -0.0332699354903234 -0.00296904561855095 -0.00124132253195502 0.00213493256177541 -0.0227445197461819 -0.133890172868698 0.25172061753953 0.0853505297724327 -0.299823802671226 -0.0481533857559729 0.0339746536730153 -0.00631042931358359 0.174311610231974 -0.000822225133790665 0.0822934393322451 -0.0190351555203352 -0.00585235234440179 0.0127262376714515 -0.0116887263909737 -0.00578632317360518 0.0116978633065773 0.0376797304897554 -0.120329158412545 0.00319082580090295 0.00856544322980698 -0.0438533622688955 0.0727779649184502 -0.00666156147659424 -0.0166894984357603 
F05 -0.0103731039453558 -0.0551995092517858 0.0192310151051554 -0.0959743760862919 -0.00532463154780619 0.180042413988558 0.130048208566506 -0.117867707790148 -0.0423072518718861 -0.058912915064393 0.00587596102481513 0.0549873905857208 -0.00269598356116965 -0.0118257812002831 -0.0248063139072176 0.0291087126076782 0.0242093046271111 -0.0013591683007136 -0.0242346069782305 0.00310749109399606 0.00010962197738325 0.000786790496139986 -0.00674475396436494 0.0108766501868742 -0.00236233101453311 -0.00175120530603524 0.0194606400985668 -0.02720338238888 0.00447178798492654 0.00482111427416555 
F06 0.066787463983123 -0.00639065179250322 -0.0278050744234589 -0.330685843098835 0.0047852553405474 0.00888086992971455 -0.458077123542399 1.4079875564674 0.047571207551561 -0.434567882616262 -0.250972122532599 0.136404091245309 -0.00219533126753409 0.00121778154424728 0.090190097824356 0.185751194505826 0.0463105209957977 0.00960613823973201 -0.437586084605176 0.0946272213538029 -0.0109640416709282 0.0116701744083149 0.0665267068226928 -0.140103640099443 0.0115498791211699 -0.00815050450588626 -0.0654055815190327 0.0665886128806983 -0.0168749239087133 -0.0714468505546272 
F07 0.0133574717513867 0.0199354371553701 -0.00666845913386518 -0.0229895637366858 -0.000456426666481579 0.00142267596172447 0.0318994556548438 -0.0557923305479087 -0.0343129316261167 0.0597397388527762 0.0720647658489255 0.0106830393306236 -0.0039425109433948 0.0009631375724731 -0.218813802769411 -0.250467899388442 0.216209086910004 0.00109454681950816 0.0939678643256458 -0.014554191455367 0.0853449537497349 0.00443773816615806 -0.676113053962316 -0.0237713506151136 -0.0834308160595119 -0.0789123917851253 0.851463527028006 0.221903856806049 -0.213923518273222 -0.0240501383973036 
F08 0.0582265561096496 0.0750971702348094 -0.030081802748456 -0.11702330756497 0.00171984671418634 0.00045469707266487 0.0592436918873743 0.0305007341431579 -0.0104524956544738 -0.00239187097282136 -0.00153668970553778 0.0372279412794204 -0.00214344523372498 -0.00207158693459524 0.0984077167363842 -0.156578871310062 0.0500072419160547 0.00454793322618181 -0.180383361872609 0.36577382744513 0.0184025812758245 -0.0120091527539267 -0.204163193036966 0.18904671882391 -0.00419404331668434 -0.00844942502245401 -0.14923335102216 -0.323303714944487 0.507762822609162 -0.248647091616027 
F09 -0.116399484106795 -0.0313780703406012 0.226764394679775 0.431385692664093 0.000793460728396926 -0.00632795760092437 -0.313656049903888 -0.129522064883448 0.15021076117288 0.0465067040284891 -0.0410953294939809 -0.00272778895947378 -0.000286002165274584 -0.00302401813804857 0.0680332426894923 0.0734652113296485 -0.0875465329666053 0.00112929931102951 -0.0327813741613721 -0.0588588042631945 0.00352162920818159 0.00266540071574432 0.0937941400898601 -0.0757227206814066 0.0127542853929246 0.0429475127336097 -0.0820918901136331 0.0855965994631022 0.00183637234043143 -0.207655491193644 
