 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.360486667987492 0.791843380413176 0.12397340135756 -0.450667305927483 0.0300599584762547 0.0220796146621347 0.209782607852639 0.147470957947669 -0.287485792377105 1.73017820419331 0.368148824887466 1.99994207270882 0.479150064201389 -0.550417155773692 0.0331459061626726 0.195307452338493 -0.0433615811743168 -1.8635825733401 0.222055657237629 0.022899427040464 0.194456727150492 -0.329117298970714 -0.15402667745416 -0.666930751602045 -0.0453097867378645 -0.324749451445333 0.452690813678148 -0.183336094243156 0.027668085880972 0.487352612596978 
rhe 1.11007501085327 0.77840552085884 0.0269016032493024 -0.845710090788778 0.157794068313175 0.14545084022731 0.573673436927334 0.108517761827367 -0.395010409334401 1.1728948681004 0.259851845264557 1.45955776956244 -0.0683389613684499 -0.750465679688136 -0.110558307733433 -0.0296627206141924 0.552268123992069 3.71602589790228 0.827318320158884 -0.257578436490977 0.928361252664564 -0.200372268690219 0.181505054619444 -0.746868328259717 -0.0515689742794868 0.146595547470161 -0.35782998295597 0.397603793469323 0.351149170760422 0.47488608527492 
LE 0.640840239094993 0.636725172892924 -0.0886080941568035 2.42774341326895 -0.00208916053770399 0.0320409289840097 0.124140430019005 0.0588823700578795 -0.552326953056647 2.70185904448435 0.174005429466478 1.40892789571738 0.176204601564586 -0.606916815407858 0.0376062163021993 0.132103781592337 -0.030467424949638 -0.558319518011976 0.241742087204891 -0.251795721046364 0.243546754863801 -0.57567096213059 -0.199189495750453 -0.687576349462282 0.0226543334054683 -0.202041164360772 0.311177070926581 0.863077521850925 0.0993562296028312 0.29465739382571 
MiPf 1.05666153495352 0.845479546238287 0.671341481195719 -2.41190762305525 0.0405784199693848 0.0579818077063738 1.27259708153236 0.368651393545188 -0.172888236404603 2.13900336796648 0.227279915440702 -0.674634288881673 1.44090648860241 -1.27546692603164 0.198750997557195 0.000106072786974835 -0.0682737565580802 0.700747548749598 0.272184667248975 0.185742454912849 0.446573110920783 -0.172190449949437 -0.212166071224084 -0.760882957351329 -0.226571598947344 -0.398335977121199 -0.95120079753874 0.961998955035036 0.956075102396725 0.587345638522886 
LLPf 0.719561576039528 0.990983562359726 0.593837413266346 -1.8879049592995 0.0898409681275791 0.0667345176542639 0.667356878260057 0.353932686086939 -0.0346639489333425 1.74974730946287 0.0950248109258572 0.170254070886034 1.89526597111568 -1.03833556268965 0.62954454946923 5.43317997173993 -0.0496370677957912 -0.434057161991682 0.434860964694946 0.402632403135129 0.169797877362501 -0.117455702455127 -0.223578595877329 -0.746749519373255 -0.126092966622457 -0.557044378285439 2.39963950150662 -0.507403392832798 0.28887645121313 0.846294117855343 
RLPf 1.15871932930469 0.825060404492796 0.500627788318281 -2.0969934909683 0.303323512289676 5.43858772108076 1.6078635984774 0.337166213378947 -0.162106804099315 1.55615596505273 0.29759405263019 -0.0058679855561656 0.37522589170029 -1.08924570408955 0.0338165191951062 0.0373742705118891 0.160807016043697 1.95144165372102 1.45277672355613 0.0312861314700633 0.949755839078038 0.0697000130429924 -0.0208717195521588 -0.759908079884478 -0.148843871809801 0.00630382159617354 -0.254424527775487 -0.0862216433980938 1.17699312305161 1.08993476438948 
LMPf 1.04104880474602 0.960305523871621 1.14628298596958 -1.24641046359771 -0.0390646000777256 -0.0628220049009298 1.45761365358567 0.577119638255865 0.191396543574659 1.19486761313882 0.0760100227940527 -0.863224970515917 2.40962244495221 -1.33885478263147 0.459191690646743 -0.12065751528931 -0.0300918050188873 0.250577262484906 0.455231767735733 0.75820873590442 0.326466887520471 0.123624979451611 -0.2270613823827 -0.67043893726005 -0.257133251137669 -0.588491814621289 0.0576065340591143 1.11854487981958 1.28531367474284 0.608896765527591 
RMPf 1.17182767486721 0.878480254982821 1.09571260429049 -1.24534458719303 -0.111259718436387 -0.189224957654625 2.18042066701859 0.585226400141821 0.176968291854841 1.14164001992349 0.13031731288846 -0.925351144209201 1.46138707063207 -1.32264216233142 0.181493693859486 -0.117655169075171 0.0250194127941116 0.68247222694042 0.952027013527175 0.451015997214877 0.666601524134656 0.234723240313895 0.0175811700153896 -0.711338863001297 -0.258767383419475 -0.318324911131876 -0.327723084183224 0.97989063491109 1.41426144773425 0.689767545652224 
LDFr 0.788602686187664 1.16869766514078 1.20982603008164 -0.901484334854811 -0.0432838669326187 -0.0754164466307921 0.97028375771187 0.621953067186658 0.344364238290001 0.932612163791625 -0.0873399473518618 -0.641086184050128 2.04307874044002 -0.889062491388587 1.18836783898689 -0.473347575185795 0.0152007936856899 -0.0644745246957481 0.424824503749596 1.25107943415892 0.205089876747203 0.173088144419041 -0.123266474736727 -0.483412608693059 -0.16127624888613 -0.77832393173566 2.59162292445005 0.630645059797856 1.59604636847872 0.44075105576213 
RDFr 1.2111490575332 0.855448098248707 1.03342682676368 -0.922899223324588 -0.312041781835157 -0.481693954437639 1.95484904188218 0.62388597724226 0.286924177054549 0.823930912735023 0.0899777176665047 -0.769816923984803 0.672682914863595 -1.0200542599467 0.0988070335404056 -0.150994091140903 0.189253555915972 0.951991444529623 2.53352028938755 0.347175185074236 1.25356338007308 0.549001190373168 0.747054469205177 -0.654633744386869 -0.203126938820384 0.012520416199064 -0.15473179671446 0.596663423879839 0.960076186922453 0.531783063180582 
LMFr 1.05917781358802 1.00622591608181 1.64238428335228 -0.752494552672428 -0.0346903426269682 -0.0590471138573316 1.21228155690118 0.922858771121664 0.500357713615772 0.693334908668016 0.113889511419194 -1.08124274934284 1.60865795461721 -1.00429813263978 0.453945213618459 -0.151943655616807 0.0569713014559272 0.200539746185721 0.422432342438634 1.32662365981549 0.290789785582941 0.313100204153354 0.114750967361014 -0.430729257692072 -0.146088287920795 -0.708096699629807 0.454535590087043 2.16560928098779 2.71194148039351 0.246331323220267 
