 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.950672241385267 -0.761775292802467 2.26836062531844 -0.0118523815070997 0.325960520056506 -0.269134923314234 1.48190578816084 -0.107096441769992 -0.0221599700305502 -0.231975400611604 -0.27259314208199 -0.782080921599818 0.291775642737698 0.0835133424362233 -0.405462572348499 -0.597897314983609 -0.712933986273372 -0.647356035131797 -0.439355274086185 0.417363777140022 0.0148769507549303 0.0584309732533568 0.735640137727027 -0.831268846460807 -0.789017471314154 -0.341278963602904 0.0507513849868077 0.530403158882581 -0.752482023181598 0.0269066081934881 
rhe 1.01824171567816 -0.609570651713556 -3.10290152164404 0.0242149410895756 1.00771546540467 -0.338878782772111 1.82671519776298 0.0483128894739456 -0.129895769974976 0.105571710608228 -0.670348518460069 0.187418339889799 0.0332647177218723 0.142310981833144 -0.947297104062972 -0.175583426109868 -0.0877648727499019 -1.37033490922452 -0.395576411105457 -0.291598062024789 -0.319821860351745 -0.0462053275827746 -0.0100063131412249 -0.490934830341944 -0.908163187783738 -0.3099313772422 0.468188329244053 0.103002252712532 -0.370780796660345 0.294232821574338 
LE 0.984269807778993 2.19354884066292 0.356067928879919 -0.0882101495581266 0.527124057013925 -0.349574098108298 2.22986896323157 0.323799523690526 -0.0874632732678934 -0.263162285367403 -0.849430383527428 -1.31364653407827 0.102934401612415 -0.00175156711843735 -0.761864267574522 -0.305057843667201 -0.481492803816198 -0.890450784729479 -0.468912756253023 0.325537949449236 0.123482037506046 0.0801221450347934 1.09413133221655 -1.09150358324556 -0.630350084845347 -0.474180543347833 0.148337606517456 1.21656705907251 -1.16749257860065 -0.101922758769606 
MiPf 0.989928742648982 -2.2587042387675 -1.01175600136461 1.30950040390078 0.893210653160588 -0.141164416802294 0.974976682325673 2.18377594932938 0.355682412761875 -0.538944740961951 0.28695969096902 -1.72002197577259 -0.130004546519407 0.111149760253737 -1.35418652377045 -0.930539720942536 -0.470425026210553 -1.36649417554361 -0.513039819651019 0.491894257317144 -0.264252928866871 -0.053092337112415 1.46793651978201 0.251430632000782 -0.542106805783623 -0.0978587140576951 -0.171991200921535 0.0897558808041244 -0.842142337545839 -0.0392104058544505 
LLPf 0.992566829056653 -1.92508826189276 0.458540341760534 0.884320332748932 0.564475402587745 -0.120492295047737 0.877975613036689 2.89380473008044 0.286895132634789 -0.482072984315681 0.254314265153007 -0.807298533547031 4.53849836655392 -0.367224113589551 -0.962110921380864 -1.01930960256153 -0.570572734546454 -0.685918788347525 -0.497275106679807 2.17772166846053 0.329991903492216 0.0402857396872292 2.57867746264856 0.0261069752662978 -0.883227924067528 -0.917076006917391 -0.421983814072129 0.513192229995813 -1.12495986541535 1.97115792843198 
RLPf 1.00128262519153 -1.20484773755941 -1.5286734900023 1.11698660371792 1.27722750637837 -0.191289035920696 1.01454066442769 3.42480247129942 0.215932810792026 -0.107919541163199 -0.389294062336679 0.415746512913427 2.23205501400598 5.43547418657068 -1.16166638288758 -1.33782945987472 -0.258229401219465 -1.45850261778822 -0.340874849282146 -0.00503507156966385 -0.151863008580101 0.0355606585904348 0.281983405786672 0.222661355924058 -1.13133346489073 -0.168394505657048 0.460359775359633 0.27266238740012 -0.348445554758196 -0.554070471154124 
LMPf 0.989632886609944 -1.65313902356787 -0.812710628174527 1.63902575166778 0.918652680469202 0.0929424079522698 0.567035746286682 -0.0658860610712446 0.747565480628947 -0.540911265117814 1.18053472783886 -1.30459504705976 0.0486517617579579 0.0730550858856108 -1.25340839551053 -1.16208441652958 -0.581641240329526 -1.1005757575493 -0.437146070182686 1.14658753838319 -0.0925707896740721 -0.0446531188221908 2.21645852967872 1.14859187844461 -0.372589470703082 -0.0642619776019123 -0.61229588112578 -0.374785535104667 -0.885687412956246 0.133261603613385 
RMPf 0.995288299315249 -1.54249621018963 -1.17037851719779 1.86019846588955 1.07909824194092 0.0713591031275432 0.525237701065613 -0.130137813630125 0.725718204323298 -0.348110875370264 0.562723912044115 -1.19769499070821 0.0649016393263392 -0.00396293608080411 -1.33827678324942 -1.3097692948097 -0.531110777582358 -1.46094917277733 -0.205144199947239 0.555128121453891 -0.151888705633954 -0.0225283091908875 0.515008587264125 0.052894778739179 -0.451302955200794 -0.372856870783781 -0.222659514376006 -0.523535956323402 -0.0207654061170517 0.0409175191414812 
LDFr 0.987959751002177 -1.25096109820538 -0.288086087959526 1.2091667730115 0.680145882435091 0.260277917162613 0.355818652572289 -0.1903593443061 0.828035223647145 -0.31159966102257 1.45808843063222 -0.999958287819612 0.023364064094384 0.0580204606911533 -0.0693234481993227 -1.15713785627124 -0.684984439181127 -0.451368411528226 -0.225947143640799 3.15909162541428 0.221564852553553 -0.0219265344327698 1.03958572265583 0.56755236398273 -0.469851771151175 -0.105316655162402 -0.721153626958309 -0.422193800463735 -1.07192991608553 0.413925459923787 
RDFr 1.003587151579 -0.879492000184045 -1.1097351642824 1.51661566497994 1.38782519779951 0.157021444087851 0.470076943291084 0.302607957303105 0.670960719131247 0.864917986874231 0.55763701524932 -0.150234708683155 -0.240848188565029 -0.424395128755653 -1.01469481175198 -1.23184507047007 -0.636563920470228 -1.21027022335526 0.10668361105817 0.231722680860723 -0.307047043886709 -0.085800952446597 -0.561211935598598 -0.07551274877092 -0.992098725161885 -1.19171395007411 0.380083068349182 -0.52702202455034 1.21430164977703 0.558889978364266 
