 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 1.10253100071394 1.1420719179654 -0.636314632385936 0.27921399296826 0.62986139667821 0.661923981995751 0.188174547394493 0.372345879276157 -0.0938236918332776 0.407335627331939 -0.163123074697634 0.216259105730809 0.148831238659177 -0.520768549916818 0.100069805422304 0.737882719168673 0.196036349187573 -0.0371351293417849 2.53147896493616 -0.80836913739947 -0.233705370291595 0.615778444690149 0.25151235503673 0.528104169467726 -0.283282106835764 -0.0835636801062752 -0.0434702311928106 0.175582563871063 -0.680032054671414 0.750156955673698 
rhe 1.00942591455968 1.07366337982407 -1.05830996732809 0.759380153975779 0.671245714738031 0.755493250816199 0.18497215756849 0.314957261013197 -0.0398768804878078 0.104694465956533 -0.342997493005118 -0.22541599369091 0.256117529588331 -0.847423652539403 0.171128490010821 -0.561215800536692 -1.09716280853858 0.251023391332932 -3.07815533855799 -1.32355383041901 0.59435936184084 0.896345975155125 0.322468919445959 0.46719629281909 0.968200306563293 -0.0869979503202749 0.563099203843126 -0.215593978937739 -1.27034786304511 0.955301744476949 
LE 1.03189033483325 1.33461573089844 -0.826962304635496 0.322433076555981 0.741206058070643 0.567579933580783 0.128311725927116 0.278180711869954 -0.103825926396688 0.141792192181502 -0.135452926410081 -0.184868183187597 0.227232324177553 2.76233617111931 0.0702488454698888 0.484924133697515 -0.461407619625933 -0.0486441597811779 0.100732314926912 -1.2051997600952 -0.270670444140733 0.945058069063627 0.279795440887989 0.552786116918769 0.162684818382408 -0.123035292248364 0.263956971753752 0.956860908910584 -0.61249646279469 0.699658711079975 
MiPf 1.01124021145058 0.337732164814537 -1.22184215902984 0.79920002701296 2.52036191825012 1.28218838254804 0.832041615279196 0.979792887717346 0.0142137893715986 -0.0613199249166523 -0.162711764434599 -0.175812147378431 0.0931446205179624 -2.28758627083605 -0.203313933862374 1.12751174667158 0.0816126713101842 0.0512115750809957 -0.651611442297405 -1.51639255341529 -0.343041596230858 0.828342421808503 0.341302068480331 1.131298992981 -0.473649647668001 -0.0787547777822198 0.245387973727385 4.0812473910053 -1.02039218430655 1.57635914578933 
LLPf 1.05123161790373 0.585521972024429 -0.878790034284598 0.418286459767013 1.65094188538914 1.01109040793658 0.528932635175768 0.950057358277739 -0.0109314538178488 4.97187748473773 -0.149570325976562 0.738011608006123 0.151440666689436 -1.90572490013477 1.08180063420576 2.84337484488054 0.985611564803201 0.204600672984229 0.516204925214703 -1.10668938422097 -0.0892930462702323 0.381708279945004 0.13809560557824 0.930768132100712 -0.48034329886701 -0.0459500822198315 0.996236627050886 1.02745296751066 3.31073977664971 0.673952454119089 
RLPf 0.997006443550386 0.471848857221535 -1.1771242641543 1.21135171719447 1.76281692465985 1.11597291975187 0.713073091844161 0.676632640882861 0.0368949684459492 0.105306403133515 -0.256413691414446 -0.0582667334807803 0.185296002275792 -2.07934124740393 4.88702194569961 -0.916114123471385 -0.880764009157767 0.0867732015520204 -1.61711459133521 -1.30688043238849 0.506118367140296 0.678909123382166 0.373302063654328 0.864653274382898 0.0266566723150729 -0.0726460417724992 3.42944460898633 1.04278788213107 -1.09051240442532 1.49904284359634 
LMPf 1.01267580759419 -0.609625887809346 -1.18706237616136 0.625329931946667 1.97042858678703 1.72296581573601 1.20324224207199 1.45254680651665 0.213820457780031 -1.00571118847961 -0.192826055984628 -0.62043606695275 0.162477885126439 -1.10361206616265 -0.68668367626 2.27197996985302 0.351040743966296 -0.10300920703802 -0.50887211165257 -1.43601519474596 -0.232334595889686 0.612073571203599 0.421943495921905 1.33668650621311 -0.60304154830749 0.157257995501449 0.724713352282958 -1.73439030472524 -1.33824084109614 1.59895644823471 
RMPf 1.00047233125951 -0.55914533451011 -1.25118714448373 0.973966478728999 2.35749734598991 1.72028501578299 1.34125833708601 1.18507767351168 0.166393179597395 -0.433319298883158 -0.19392670021627 -0.401348122194279 0.128752189101188 -1.21039712308349 -0.85380283369326 0.43502931370049 -0.318722312520439 -0.132776464030926 -0.729281843016692 -1.53356099558083 -0.11831350835925 0.603660265690856 0.453032511181922 1.23887303335515 -0.607146835161737 0.049513178279327 0.642808546961996 -1.54150103304251 -0.99772022410897 1.64486114648011 
LDFr 1.05763180146837 -0.517986332669116 -0.984887884990462 0.456893394706942 1.19859931990289 1.47103046309899 1.03510352144134 1.71036884945012 0.268913301378603 -1.69342892862539 -0.203158847982316 -1.01786033863282 0.307588323847544 -0.911898811340856 -0.697121148198766 2.34978142292684 0.959924537886572 -0.109179746658019 -0.260123082713457 -0.445239722175144 0.103942608776048 0.37444758117929 0.418320705313119 1.15629464609207 -0.70326375795012 0.413066827784343 0.796442625742709 -1.3264911208084 2.04981575141855 1.82674569591262 
RDFr 0.991950220067125 -0.576618228618104 -1.19444608659122 1.3696397263271 1.40287533046007 1.50002341718083 1.55284272244135 0.939847555074728 0.260437153379903 -0.311434920367846 -0.280482777658259 -0.391414187293861 0.387771187910125 -0.903455263284443 -1.46455765380746 -0.433394219927153 -0.79204494477245 -0.358197916083448 -0.945123051506028 -1.35687277027582 1.37689838180924 0.663647272083553 0.578886811360371 0.99772710674076 -0.203297696585139 0.0172555569526995 3.02251775087937 -0.850324565218407 -0.693465616542637 0.976601173668867 
LMFr 1.01253327670968 -1.0447906518101 -1.15571064959376 0.687551318756618 0.884829000032587 1.75899779899862 1.42690912497868 1.78531898109047 0.675988541277285 -0.585551938438911 -0.205456632121021 -0.498867972873591 0.342891269354261 -0.730609415159478 -0.425939892760538 1.36816062564721 0.188327154452205 -0.0725869213240979 -0.511431975188419 -1.1899841908397 -0.0443983039206098 0.411916222045222 0.449620051353811 1.64125094754348 -0.758314870358412 0.418090893345716 0.454727694887729 -0.667438194322315 -0.619118975140332 2.64240358232569 
RMFr 0.994416386052921 -1.09877586573625 -1.22965650736783 1.07351325917879 0.880811247220787 1.81034604420901 1.90272047420352 1.34924940089066 0.730859183954067 -0.277983649539594 -0.219485661983255 -0.376249282515224 0.421320728985435 -0.692966093926528 -0.505523273609897 0.527509293537596 -0.473547982877406 -0.0912822145385234 -0.666535142834192 -1.54525230096252 0.413806684058106 0.583060433977761 0.543364812567046 1.63684639332733 -0.594382263268602 0.194245122580836 0.670466924610258 -0.485706235056861 -0.928806220655892 0.909562966412628 
LLFr 1.23802135285244 0.150609141948015 -0.187757056679297 0.21668132585354 0.698870642644106 0.79292641874005 0.436120184894312 0.737211268937646 0.0481486380857305 0.317875393101731 -0.123570189988782 5.08666320953935 0.237458185596696 -0.558460427391264 0.123187805256576 1.40143959892727 1.2023146142631 0.0693241127941282 0.38743931406929 0.434690795648126 0.167019306594717 0.342751037892193 0.144976109861669 0.831991552205861 -0.432811617708105 0.145990947954802 0.423253619978796 -0.0788521628185461 1.14589923634983 0.599747760230473 
RLFr 0.992048431967073 0.159999912595537 -1.02428138382351 1.11685428554142 0.844568765155154 0.915362145193534 0.439255344209831 0.476039079867042 0.104361919198237 0.122246208608685 -0.417726022177568 -0.163012204720525 0.382360799164203 -0.769875725176374 0.297799085201185 -0.762563174041549 -1.09996245528053 5.44516683651471 -1.55880706636433 -1.17315346632142 1.95756239042353 0.835956379112477 0.416806647881989 0.618676153024817 1.3148629054852 -0.0968702696006984 1.64287660555511 -0.204797925225787 -0.938627922812004 0.803521315046612 
LMCe 0.997607590874806 -1.18031725406243 -1.01863005239872 0.872066591718931 0.147656074436017 0.963489130497315 1.38547429491276 1.87597447892735 1.73071948478904 -0.268030635962195 -0.188410986691131 -0.351304615426994 1.08413267342503 -0.463115480687359 -0.207247543539078 0.633243094611034 1.02994200183989 -0.0396018370601395 -0.500438014550072 -0.686304609060589 0.275619247692568 0.890614058281091 0.463126812347294 1.4366183442407 -0.817181047161639 0.83099431991952 0.325932833215085 -0.0361607235290598 -0.464147520993975 0.617613774456435 
RMCe 0.975231605880138 -1.17475926680411 -1.11148700671614 1.79109072710831 0.185691558128727 0.824215234845231 1.87896237089981 1.09486954487925 1.54925841443215 -0.109224679614614 -0.217432755741244 -0.292402677520921 1.22279236279939 -0.453222001881048 -0.273722205827037 0.40071450838042 -0.289789437741335 -0.0326467876292381 -0.65472008289556 -1.0803545277315 1.48563975596968 1.31026417494277 0.832527787904167 1.17675088957712 -0.281682730251243 0.150319275494953 0.524377323680171 -0.0200545404717106 -0.684405483604631 0.826098160088088 
LDCe 1.07229790104358 -0.754449440339687 -0.661928483954034 0.485610782728372 0.404353113837278 0.886113140804022 0.953094263250931 1.6869479634449 0.617655530014949 -0.39133678507114 -0.180985360648568 -0.325011164558959 0.750053432536693 -0.492857621011681 -0.192004876864333 0.997752025030406 2.28205666214089 -0.038338291596588 -0.30196710116466 1.43249548791736 0.739887418102543 0.512623945132571 0.341881226439411 1.02374539275637 -0.8205036420393 1.01961136227356 0.381970507028684 -0.21817323133803 0.310099754260431 0.801673580274685 
