 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.252426364122991 0.280246989986363 1.6388358589448 0.291350067214174 0.0281359464146005 0.360739520737849 0.559568848317803 0.114243025267262 0.233658217130722 -0.16844601771788 -1.77124789756796 -0.201205872578309 -1.17914826424142 -0.748555354820227 0.533918097333639 -0.303638660174121 1.4007164181937 0.0301542966120471 -0.052268370831463 0.315369456785879 -0.135111375438104 -0.142681648305824 -0.0253045493316484 0.233469154199906 -0.100314605474218 -0.409233985642403 0.0105747866140286 -0.153639067212794 -0.502907161418396 -0.483142551325797 
rhe 0.395288507774031 1.08084205179548 1.64563603414368 0.307571361264403 -0.0496486543957273 0.596494852441836 0.239509179023785 -0.0337402270831812 0.821094576566431 -0.101309562890433 3.79569556047902 0.205060841450155 -1.32889284582559 -0.549862505612192 -0.105338795362302 -1.08523695548949 0.209998466624012 0.224414285118073 -0.630420550484887 0.470247206077115 -0.457927884244865 0.110161316416007 -0.489656744959269 0.29826302146473 0.175561085971158 -0.280283893710724 0.811108083676315 -0.743985521053101 -0.451753735675338 -0.255170581535255 
LE -1.61308964640265 0.428291787687711 2.05510372550799 0.20962959013528 -0.0798626244076026 0.39631275473698 0.433924833890059 -0.0335416435574338 0.2803704166741 -0.0721273405510148 -0.193507634601877 -0.223473082952613 -1.18840022676233 -0.585737160729814 -0.0414622740654342 -0.684804813380317 -1.43167373432585 0.167893228277538 -0.486579051735051 -0.445079802191575 -0.249330510786797 -0.110032944981941 -0.416448567848064 0.331319251912628 -0.173301492034588 -0.177058746525506 0.529312888669574 -0.319252478251384 -0.628412138079584 -0.489745347528255 
MiPf 2.66469516420007 0.708538392431841 1.99509116078568 0.996964078366536 0.356006351233237 1.57852066293442 1.23400313617058 0.244958234840618 0.802504575097882 -0.0414556393311685 0.522626799365394 -0.184241479341253 -1.15569838580932 -1.01953968772429 0.300786100759582 -0.657418704167792 -3.33526595727313 0.321995275574847 -0.30891830880785 1.19108458522217 -0.0862432669651708 0.0209829500580573 -0.233927398034942 -0.874710420449879 0.412230461186728 -1.3194303799334 -0.112575031638217 1.08694217313994 -1.73372225619346 -1.29879402621194 
LLPf 2.54005672499832 0.454636380201564 1.92096738871935 0.686523553017646 0.38429766070285 0.896849369733771 1.47915354685956 0.406282195417876 0.599041161898121 -0.0616811354702188 -1.00230718555325 -0.23315192257512 -1.20514491338555 -1.03295109083268 0.758341561934575 -0.0752409848954363 -0.800719926057597 0.206915206038282 0.0434384640332167 -4.53003937779109 1.12112307525959 -0.110406173225316 0.571846994957883 -0.160987676908892 0.16746206070364 -0.946868840753996 -0.271472027153516 1.98077471512567 -1.24793850769866 -0.661796696784049 
RLPf 2.12761502701518 1.06654776059506 1.57348062706785 0.987295143038898 0.265215278487596 1.42247591682705 0.69403681443561 0.199434275782472 2.05258351139977 -0.0162367609623544 2.10614680227009 0.260715036884646 -1.29920685543432 -0.945494673353058 0.216909807999152 -1.01775103333713 -2.18526337442178 0.279097308430696 -0.380480010226353 1.22235134284215 -0.229386306391826 0.458920697251151 -0.325302034616623 5.32780768215653 0.6149679075828 -0.667238326026331 0.125743994059212 0.0134254101033178 -1.15066731563085 -0.682758151990593 
LMPf 1.48004717384651 0.77588815613083 1.26971189247978 1.37636248059258 0.678108257299875 1.9259145117567 2.13738335846827 0.845219264220642 0.91104084779008 0.0623734315415608 0.0535969248055891 0.0134012536454342 -1.13480092640733 -1.231862827781 0.73440191003526 -0.326784826844234 -1.29111398297508 0.601726078406882 0.218711367165975 0.792339089564219 1.00297262167231 0.00415184449571024 0.172816502443572 -0.199244004405044 0.578567988850832 -1.60051581347512 -0.00867285132608394 4.40111281094138 -1.68879358696394 -0.816267433691912 
RMPf 1.29374201909529 1.00730498146219 1.08575282226954 1.70722185019971 0.62532712968804 2.32093385086292 1.55157388078845 0.783147812869237 1.5227967177602 0.0676442469358023 0.506423216885502 0.208019114722278 -1.17441614864597 -1.24980182369425 0.553463974619026 -0.722094953978479 -1.4499503752818 0.449576082006752 -0.0458210408986115 0.77710571583486 0.42511336164751 0.043523704852683 0.0740367450329763 -0.0533095473482541 0.77710090692922 -1.45715745570394 0.122626719130379 1.13765988780141 -1.75134516466004 -0.815044478529482 
LDFr 0.985162479591125 0.613973655030925 1.09510218754986 1.01439547751533 0.711120384273816 1.1705796161984 2.21802707525553 0.951899202538999 0.786767455601281 0.133457047967746 -0.40203547640152 0.0908700728757737 -1.05513698459271 -1.14374014947696 1.00155857789633 0.206461848216545 -0.350386414597878 1.36307077985793 1.24396563240651 0.707280272526771 4.35541283281064 -0.030289521513396 0.0409314362578634 -0.0620352101828168 0.482247062774017 -1.1666752928909 -0.045916183596087 1.29501571992189 -1.08894781897653 -0.393846186512397 
RDFr 0.898538485455701 1.27655731339116 0.885901127693784 1.62862649418995 0.642047321117857 1.41362348342646 0.955803031845032 0.733297620856915 2.60088948404586 0.130604462680427 0.838652532486407 0.526361321274086 -1.14046942018961 -1.05922460126584 0.478860582825728 -0.900869738852008 -1.12763977833881 0.358933326870561 -0.151648144444097 0.763648806079768 0.140361723102039 -0.268059380875735 0.000952005312348786 -0.479802522072091 1.27577515159705 -1.27321001362532 0.0244552701923339 0.741165273624095 -1.48858630724971 0.277912679546896 
LMFr 0.803618473249532 0.887075569788995 0.764507198023248 1.56956427332095 0.994072729115016 1.40384171780979 2.3255040795159 1.49766075721308 0.942472624105192 0.364879703305124 0.071768356246494 0.327902569316532 -1.03755585274024 -1.19910178233695 0.840907864856618 -0.159885425447445 -0.691492772288243 1.05209967942121 1.29794787622263 0.735943267052204 1.15213550162572 -0.00475648676575948 0.246454665014709 0.0197175980502516 0.667588046927274 -1.39524004437618 0.131670988324913 0.410583537613772 -1.29926609441114 -0.24192427534794 
