 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.38309387516035 -0.363678220979573 0.191262635344151 -0.0817898369058287 0.45899447258828 0.908515962187077 2.20479370064465 -0.728894515350711 -0.0591420778290391 -0.265303410721965 0.0677555186665817 -0.155033497976309 -0.0412583732717031 0.363144984551755 0.717587706140253 -0.086137843413928 0.72156868547153 0.144600221581036 0.487515557527026 0.126569138206258 0.118549723679558 0.486324928222899 0.245765885089228 0.845915201844415 -2.06293589871864 1.14008402230547 0.213939698778288 0.273925767025831 -0.331319390371346 0.133312585455531 
rhe 0.471849954636645 -0.6057474498187 0.396771124245014 -0.0231218598442156 1.13002776291726 0.825899839592369 2.30010571693453 -0.889848723620454 -0.0280628188270669 -0.150004332474035 0.196798294772958 -0.58452921010233 0.0173492592449762 1.45924495164104 0.368100013074335 -0.0077879780796865 0.114617164749274 -0.0827029586214264 0.351144300507855 0.179548317270053 0.260008907242651 -0.175023360256875 0.776030579037537 0.438684318602217 3.86203387822204 0.998453222821684 0.239173857254479 1.00376088818359 0.221634783165115 -0.681897625472808 
LE 0.365327123358152 1.58978572114865 0.30474067804437 -0.0785512142172951 0.582771962405159 0.743634503561728 2.5240295120344 -0.757605914971479 -0.0599479900071298 -0.082183191170147 0.0185613881141269 -0.385304469713939 -0.0261270932605009 0.686994128592669 0.567670421611241 0.173768869631937 0.313206891497063 0.149959931753813 0.230505253802616 0.2673754802357 0.131675842181102 1.69638782513717 0.190766097099937 0.387071354192579 -0.0266257546107287 0.97355996429468 -0.35450063063115 0.232234541183709 -0.531029320021282 -0.552129827297281 
MiPf 0.887698905284873 -2.8583988311373 0.572884385424196 0.161616159913641 1.15962653519512 0.955752491575407 1.31257253393988 -1.06613378843178 0.0222776543192703 -0.432081504784872 0.46261098708229 -0.0801832316398343 0.0864712525821301 0.580200685877887 2.19005445834575 0.00658478527545478 0.647521422527077 0.0204859566550208 1.34017267675533 0.0501165831287804 0.497620324760918 2.99788593575291 0.417663669899312 0.835367745346304 0.483229006604237 0.970369764275554 -1.56928634496159 0.533259872529684 0.369947373229549 -0.96592717762682 
LLPf 0.748168237225912 -2.20489934623198 0.456494733954851 0.0803696576977091 0.60156039965894 0.989814195303642 1.4388810774599 -0.917429732606491 0.00801012303878056 -0.435738400510499 0.289953705872318 0.301399370360674 0.0442985894808149 0.280832477217846 1.31372055837662 -0.130184531796432 2.48145890132536 5.17163114538729 1.2610392917019 0.054879668237827 0.281677636580754 1.98019812402457 0.257550582594417 1.04101464190214 -0.890027637898376 0.960539536068877 1.27868494267283 0.454958401385153 -0.126495459865632 -0.00366692097918351 
RLPf 0.842410989735795 -2.33408208900678 0.594447490092135 0.128382077542726 2.13432876615635 0.892921633985764 1.25607454638543 -1.03283205125567 0.0488583060053867 -0.378482004797637 0.521132386365468 -0.324239765534862 0.118879099399043 0.824635376617491 0.967823944914235 5.23650754038863 0.641013035903983 -0.134817016310328 0.962273360935831 0.0919382124003118 0.583949493123201 1.26950173378968 0.769875733986528 0.611339183850772 1.64500042393101 0.924464921310494 0.337105412328359 0.588657239430025 0.613416892377532 -1.98987633434694 
LMPf 1.20323416583578 -1.42012729894437 0.7189959660444 0.275571420939805 1.05136569061809 0.929909527449424 0.332025514461965 -1.11982237463127 0.188944010395877 -0.505729826173218 0.695152056090115 0.130994854361284 0.336646898447622 0.325173782378741 2.33674254561761 -0.446897511773066 1.55416673790632 -0.926465243989849 2.10306598570068 0.0868710533874819 0.378102193193442 2.17500838585766 0.147731294690652 0.799258201007039 -0.146033852670155 0.790401643064481 3.64656861565122 0.186229014811622 0.507832307698937 -0.705329525692864 
RMPf 1.22823135576386 -1.39497269208192 0.770983504831889 0.314909819281924 1.83973725165375 0.909995512148207 0.223230977814812 -1.21791466846482 0.234404648356238 -0.506674445404059 0.91740351319248 -0.0799192467986947 0.266392878043737 0.412958518082311 2.55294611634497 -0.600320544194253 0.866349855125963 -0.433191635778492 1.67402601611894 0.0906045887251265 0.607685420054496 1.62739975554106 0.304589940956582 0.663849526046655 0.141368801005658 0.73783921598693 1.4509241920998 0.0883815872995313 0.702240571368075 -1.11921453396692 
LDFr 1.10508853141889 -0.820514583039166 0.70488859208986 0.23797985227812 0.543893006865443 0.992751516094273 0.0855874380574862 -0.891837272527147 0.296209787615889 -0.461135721432761 0.592682878695088 0.541721230011381 0.783348685188431 0.162130638576142 1.36451062961667 -0.332884204496083 3.21956081804274 -1.12262877827667 1.76164629212802 0.109187170463433 0.227500407871888 1.17727110707275 0.045837563196685 1.03171360055824 -0.537063748066799 1.08718866585258 2.16749999781429 0.0984033471047829 0.526062157504473 -0.0790771515608754 
RDFr 1.18599109994134 -0.874661919217739 0.827288506094107 0.331260810607106 2.36912473164519 0.895563968517104 -0.0289673919525076 -1.21262947746802 0.381125139266602 -0.440152798377839 1.33329919888135 -0.122144707007754 0.420264428760065 0.685692230658869 0.654258117179352 -1.02592413215474 0.771130060229191 -0.269890702058848 1.38475334696437 0.1052455558756 0.871037241951853 1.03820382288934 1.12923830235451 0.562428057958802 0.24666847250102 0.616503078761807 0.99447120556767 -0.755253263954288 0.760032012474618 0.0193383042007057 
