 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 1.10782735304477 0.187567291906137 -0.645106651703576 0.359263629415394 -0.0713658245213543 -0.22932190219379 -0.124074619255821 -0.620609513935697 0.0243051279382983 0.425011497169389 -0.279078153405157 -0.0568337306620052 0.813780240008778 2.12894909567104 0.312229637593633 -0.289748531449813 0.128158383459998 -0.0229195615181278 0.190127421714881 -0.0487411708898282 -0.119684409532091 -0.085165203337901 -0.0863653132047496 0.13541184257469 -0.632803709420038 0.000921208318475094 0.319423287622431 0.432105522619566 -0.116665942709397 -0.539992338000629 
rhe 1.55975751243203 0.237839292805352 -0.537140105224511 0.221330777263257 0.0682194019544256 -0.535964779180062 -0.161306775089006 -0.518633375379037 0.0461940212077477 -0.116471519220326 0.407970302842594 0.0296110212822197 0.144908860484061 -2.75732865733508 -0.241354035614302 -0.200199472471988 0.595081125957574 0.378921573576609 -0.242580382634995 -0.0218710490895486 -0.172031039070607 0.0849936846977338 -0.20551076795683 0.317199097260321 0.020982806186036 -0.110698320210411 0.901313021941986 0.308701003809742 -0.109901791414113 -0.827291897970626 
LE 1.372291065948 0.125689159121826 1.8435850953175 0.230693362444725 -0.147149660080968 -0.428685915063018 -0.170964432715831 -0.585458730106655 0.020768593894192 1.32250665035412 -0.220767229930035 -0.0786802687394459 0.244715686221077 0.726803075374689 -0.0611316459718984 -0.232250955615375 0.0294279888559438 -0.0599171807269456 -0.19048417002712 0.0986493938792508 0.0261888887476862 -0.220295094757613 0.500164518241544 0.167875480666633 -0.195304928845848 0.0486503978736256 0.773418569254099 0.311327888773276 -0.901003758418237 -0.519554744092475 
MiPf 1.29791824446709 0.69575961210071 -2.38910073979965 1.21212134981259 0.0750647363355221 -0.356692988059183 -0.0475815897841725 -0.944386383061478 0.518049435666402 2.87065240757235 0.179572199462769 0.158949844945681 0.396497539429416 -0.736296658249338 0.274638212076063 -0.120920849104806 0.820320284903964 0.385993234241325 -0.0623022147458497 -0.022980529108683 -0.409562078069464 0.352596738058514 -0.829184046600287 0.595107925608857 0.236121966449516 -0.07541841010988 0.102410004329175 0.353396796082498 -2.24127445851338 -0.88967980250285 
LLPf 1.21064808925771 0.56232929211928 -2.57223476876713 1.05047542086452 0.03171707618146 -0.15226348152048 -0.0256221966047188 -0.857159846320465 0.390731883642203 1.83628736192357 -0.0649505394942966 0.0293657831095193 0.602399275523277 0.67563515249435 1.07530773337724 -0.223359688531429 -0.0356236339013018 -0.00108336510359359 0.293754770172022 -0.0144475421614498 -0.170844746442992 0.0301204689846116 5.19560590599759 0.399145641747371 0.154227587699564 1.8212741156083 0.336387745066396 0.70397802876644 -0.729299218843778 -0.337721127864483 
RLPf 1.35629075173012 0.687744503255471 -1.95518047721285 0.983722351089384 0.186369537102208 -0.479948191571925 -0.173264562373873 -0.889704632435956 0.83166428336743 1.62508486888629 0.483260787955915 0.654367229104978 0.265007812999489 -1.75821916827659 0.0464184809307198 -0.102293044445997 1.71246405199166 0.895145135764046 -0.242390697628981 5.45883154042572 -0.325392203113014 1.23881384316622 -0.644763995341449 0.713407821958672 0.17887604632536 -0.566205216951923 0.55338517423563 0.375885409696364 0.134112928960519 -0.571038148547931 
LMPf 1.09058493671228 0.980939147159349 -1.44120070098401 1.71937961780105 0.230587000426114 -0.111130790735495 0.0102003449556036 -0.889936888835278 0.63900669137823 1.9045311848996 0.299573917273247 0.168092027615365 0.581047101967297 -0.400965366375188 0.761469979889007 -0.0340071296749897 0.884666686811588 0.395622840936148 0.377042971807071 -0.10862921946623 -0.723959239892681 0.290363407498691 -0.446859335334286 0.545897773302545 0.625422732355989 0.509213982163304 -0.871367442817138 0.0141795380462422 3.92938620925489 -0.404776758068207 
RMPf 1.12538082617094 1.10896674285323 -1.27061908346174 1.6709943968701 0.292046289232338 -0.222735903150587 0.0113046907866669 -0.922454495409024 0.91814286169035 1.62128121714506 0.421448212013029 0.268281806111786 0.482888287390724 -0.789862703199082 0.422451824527685 -0.00892586665187467 2.89942372824921 0.68924812092877 -0.0324503988647607 0.00495623644646185 -0.414822337959104 0.592674040542847 -0.344462880913205 0.7511246085663 0.408673418293912 0.127849157063688 0.332694281452538 0.388633074901653 1.74356820331342 -0.0967906009141167 
LDFr 0.952572014316503 0.986456915511031 -1.01144475619681 1.60028218015672 0.259643971371453 0.309571313627496 0.23488252735833 -0.766179456575929 0.751148371116579 0.973624287619089 0.116506210456545 0.0930829464518274 0.892957076644885 0.0783415878712092 1.8181804208462 -0.0611186004635355 0.179529123834839 -0.123250420339824 1.05917024402506 -0.0441787124369409 0.668648507584884 -0.0981010158788101 -0.740233949163216 0.486411646813956 1.97743540279889 4.24813207093509 0.10924324700051 1.45169637904348 0.823616234768456 0.455764622372086 
RDFr 1.12628781653025 1.15929411010337 -0.866462195822909 1.37508611416362 0.527557264174194 -0.270016808984779 0.0122890248867874 -0.778883142798027 1.72977915684026 0.949771293675493 0.733309499490922 0.622144499872047 0.447345800383979 -1.05367081637584 0.257922869521084 0.0109716056454354 2.20045676885731 1.81598905344721 -0.0893289736663832 0.197316984849137 0.726442596772428 4.82061638294979 -0.315576179852252 1.17382535011453 0.315377192525106 -0.4396533523177 0.59902631236123 1.57087522086085 1.0186053847156 -0.505457542056634 
LMFr 0.940972164667037 1.41232786065577 -0.78605759441283 1.94074003699792 0.470788721481432 0.256100638000302 0.373652584351545 -0.77631843164911 0.701809140572989 0.845693156298004 0.374832349543007 0.187456592804178 0.670767620226458 -0.392961506208041 0.880120773021627 0.0237729273713247 0.706433096625128 0.439378878816525 0.881802253916805 -0.0593955047431892 -0.256476418334451 0.266359121541779 -0.324633414157871 0.601174743570832 0.925262480150146 0.155820230748187 -0.561650050829337 0.379514957893024 1.00066298973216 -0.0611122709055394 
RMFr 0.993260363708813 1.51607102542535 -0.729415060538993 1.56420119013443 0.657288450866757 0.0471298021630599 0.320513033021377 -0.742011377880014 1.12382106292279 0.809859618363377 0.573654943820248 0.273262566087602 0.543187035176921 -0.672543669001911 0.452467083228615 0.0361977040173361 1.48844591243003 1.30099614203875 0.284327593121712 0.030647567749181 0.0902802682419021 0.845625738830806 -0.253123119828769 4.60726206197869 0.444726402411813 -0.517767727543893 0.689170181109754 0.821413426930762 0.766212517010509 -0.038253340825872 
LLFr 0.897337572467565 0.428365019653914 -0.700413189516486 0.710022348631768 0.109971106868643 0.189010234377783 0.102188930949401 -0.575344466344347 0.266949802494945 0.465956602221283 -0.0472053451863158 0.00405955439008397 1.1871629612188 0.713494486373351 3.59037531152945 -0.140282675541196 0.199983643402471 0.0852996154422708 0.94787630822931 -0.0367476808512356 -0.0925756413555238 0.0477801709610732 -0.055741800564552 0.276537139284995 -3.23115682382928 0.058154822256864 -0.00210883689824958 0.0553223717904299 -0.0671060528875222 -0.00717631384627891 
RLFr 1.28165725316672 0.627574617404983 -0.653959044503233 0.610862250129935 0.432281923834009 -0.455121833151551 -0.099164675789133 -0.491586276591105 1.60698678821202 0.215336157502984 1.06302405353091 5.28010473949901 0.400172900203557 -1.55721004318266 0.144157017867963 -0.0454190964419155 1.4171249810974 1.51059418192449 -0.0298508155478626 0.325012993207682 0.0486243494291335 1.24555001495353 -0.256245481869138 0.689758148032084 0.139937773057844 -0.561012027136359 0.982865919718273 0.233427172361045 0.174786041716405 -0.584407543976481 
LMCe 0.814336548194418 1.42078454296101 -0.497400002615444 1.13386150328942 0.924046433574984 1.21570074598933 0.840028133183439 -0.319152697862247 0.59796373774703 0.636533111524232 0.428044839995506 0.175788048289774 0.876842233691377 -0.333387705988633 0.986755084417015 0.0656639256309011 0.566704163247247 0.526932095829343 2.31215516644959 -0.0409921095034331 -0.190026528365268 0.246713993579463 -0.219684557714107 0.493740829175036 1.07945329841478 0.111744626877639 -0.915293348242963 0.409834222696686 0.361929044187662 0.282645165275652 
RMCe 0.917612815791329 1.52690981734117 -0.483746593695795 0.983562956072024 1.38572411543222 0.443677282879259 0.670198404958851 -0.176136707462453 1.24238150863548 0.597410820500467 0.907805697961873 0.223626698466711 0.564298914586637 -0.680900801043409 0.402232755614989 0.0981488541288815 0.950190531772503 2.18624879884011 0.761845959435939 0.0292717267755156 -0.10483158892202 0.617103456084269 -0.204569940966776 0.631056284646294 0.382400937306386 -0.337223387252054 0.282737460798588 0.514105562615086 0.39350421993007 0.470040776106618 
