 lhe rhe LE MiPf LLPf RLPf LMPf RMPf LDFr RDFr LMFr RMFr LLFr RLFr LMCe RMCe LDCe RDCe MiCe MiPa LLTe RLTe LDPa RDPa LLOc RLOc LMOc RMOc MiOc A2 
F00 -0.0314048920457421 -0.00113960290265209 0.0849075570330835 -0.0185281522207471 -0.0210154074904957 -0.0295752625308944 -0.0982835824263504 0.331843700461533 -0.0150426832601143 -0.229028718125558 -0.194113469015201 0.0706171588438694 -0.00344012729629534 -0.00270957913015319 0.192438913715829 1.17849446564528 -0.0820108394902865 -0.237231612219855 0.196886236673725 -0.504456198664522 -0.0468866379884216 -0.0565966219718653 0.0594444304128651 -0.261750033370959 0.181409513190888 0.179993464857902 -0.0109177021928564 -0.0318633958128393 -0.173600414090341 -0.278018520685786 
F01 0.175698967672084 0.0508688082880296 0.0736999538696016 0.00093883680256418 -0.0140137655449627 0.00559608050487562 0.0360348684874452 -0.0948461104727339 0.00741987313930837 0.0758887793278221 -0.000733396578685881 -0.089315943280945 -0.0588247107198973 -0.00594467720926897 0.138172723473081 -0.259650039894706 -0.0893117660403191 0.104715773339657 0.237812615650756 -0.26649286705624 -0.143334647651459 0.00571554029900138 0.196295419293634 -0.0910046222539998 0.280013729464343 -0.154767021590588 -0.185339245318126 0.460361934088916 -0.231960686793156 0.506873233056603 
F02 -0.173815121006598 -0.0421894726082434 0.286676995292905 -0.165629531025563 -0.000721593565127834 -0.000806756687692027 0.0251886062091359 0.0414392180510501 -0.0239215392268444 -0.00220703710174608 0.0603129698712464 0.0206383418661824 0.00666324664143167 0.00619900739886497 -0.0164313639495673 -0.0160027998194008 0.0141058480224864 -0.00182236023127104 -0.0343434999013024 0.0307590947646853 0.011863195731053 0.0213980243957707 -0.00662083704969508 -0.000376222032655832 -0.00957337165663114 -0.00670263748139813 -0.00142952844396744 -0.00600178484031234 0.0105470954734536 -0.0240284035057801 
F03 0.0210526043266073 0.0166488951682783 -0.0185856523943987 -0.00409736673496194 0.000130095406056097 0.00274127441399563 0.0114130420837539 -0.0819702301952446 0.0084232329495609 0.017087443735571 0.0672896749741156 0.105278172941126 -0.00413890361499777 -0.000279478784621042 -0.241545197273784 -0.170690205609203 0.0520571704347528 0.0463675846516053 0.0508851564170443 -0.37536038133669 -0.00190323571600608 0.0140574057752262 -0.123521683570269 -0.0841575794323412 -0.0664796897304133 -0.0573882486721084 0.692006399810427 0.328899697279874 -0.163748484862882 -0.0314399875565375 
F04 -0.081571140576029 -0.0306411786514836 0.00858357240683814 0.0122901224237181 0.00300820466328709 0.00275433082525079 -0.0212739920699985 0.0368807061577186 -0.0535952188211447 -0.00428369576315024 -0.018902192015788 -0.0260978961472898 0.245922273188492 0.00542971654077897 0.00208524215048616 0.0117665552193471 -0.0287498328311917 -0.00260672787292303 0.0267160451118624 -0.0126411438044324 -0.0808490996214339 -0.0214637901479105 -0.00231970285557847 0.00600465712565393 0.0338320903822145 0.00361091251959919 -0.00296482100691962 0.00455866984746538 -0.00922966240281519 0.0265915763522682 
F05 0.00286624858815 -0.000466257575415827 0.00900758828623039 0.0020738350151698 -0.00270292358866669 -0.000661043039282216 -0.0083126545262533 0.000701652113360984 -0.00663022480527187 -0.0048148610130461 0.081527493200389 0.0325669617767927 0.00501645243219261 -0.00246994939267121 -0.132631998267909 -0.0564998276190061 -0.0140951111504035 0.0108456643071729 -0.0454241969588279 0.0968185224727999 -0.00767355859079854 0.0117323186493603 0.145996794582391 -0.0705742773898831 0.495136224410147 -0.083001826687772 -0.620109284280352 0.459607177086422 -0.218496725222913 -0.0103363244057632 
F06 0.028912919515439 0.0139898227058182 -0.00409088047638923 -0.00479418831222676 -0.0025132349444149 0.000110459714767778 0.00311696880739323 -0.0128732256208806 0.00325226284457049 0.00926668714259553 -0.00562345952172391 0.0243371999910932 -0.00702861172162505 0.000191665001001451 0.0373241138707271 -0.0444391349849802 -0.0218467067157865 -0.00882584983400846 -0.0612883370730538 0.167517965500973 -0.0251068437206103 0.0237866935672837 0.0771625844848416 0.0861425450456505 0.01158052259838 -0.101340875560753 -0.263033087056402 -0.183978333440866 0.421899490640346 -0.0417263081454667 
F07 0.0604144461657853 0.0918508333572002 0.124872001779025 0.0694453079940946 0.000118675283381673 0.0102139972587765 0.042308074147243 -0.106933960315484 0.0519158343850659 0.0580117225635277 -0.128518740288097 -0.153859055634521 -0.0110464400800369 -0.000581922315332468 -0.0142127238792832 0.0896433007893065 0.0192481470990049 -0.00803566813130012 0.0764451446542322 0.00128046972311279 -0.0203914958727002 -0.0274110864692687 0.00825133609862283 -0.016869970420729 0.0394168118889901 0.104797075773155 0.00822065186899349 -0.0600048002638617 -0.0389950152968133 -0.2244982696258 
F08 -0.0152642974445896 -0.0421034578430422 0.00664699468477018 0.00944518810792283 0.000881880091247942 -0.0163399347273114 0.00327018213931433 0.0155623729656269 0.00526711971713079 -0.0847737714616149 -0.0113600240478781 0.0158874453556182 0.000109502613951433 0.184984853286742 0.00347910935534056 0.0233054724823221 -0.0122379857590667 -0.0464621064285061 -0.00482641825006639 0.0011757495504735 0.00213802434605406 -0.107443588480069 0.00678003067278648 0.0568875452671805 0.000982063021783961 0.0173435097512468 0.000931287402299933 -0.0303853009923478 -0.00160766233170769 0.0144493724326608 
F09 -0.0155987071313984 0.00126689857852209 0.0150662683136897 0.0125580244530875 -0.00861528294550695 0.00139801372609529 -0.0113858503159044 -0.00209407555623301 0.0197005957817396 -0.00243778269900441 -0.00615572324089505 0.0174723316595894 0.040897692715242 -0.00387677541981587 0.0608766306451329 0.0510902063300106 -0.156870060590438 -0.0154008120593982 -0.0382875467321802 -0.00696868368599781 0.350398093327383 -0.028377058141119 -0.105582027861771 0.0109111161892616 -0.126456334523425 0.0245835119588507 0.116408307780163 -0.0717503116931315 0.03502632318036 0.0042378100004082 
