 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.409696782564009 0.933669306769069 -1.05873064228286 -0.473487801680056 0.48646184362531 -0.933222918584906 0.183843670364325 2.12206352725476 0.00696552874776228 0.84318871445698 0.0421922365035328 -0.622291359919397 2.37830160884495 -0.201102758328998 0.359307635473846 0.167144536074087 -0.163024813662442 -0.668078428979836 -0.70863381618848 1.01325353371869 0.199017324792873 -0.149604099115273 -0.0521262221385403 -0.457749628500372 0.0627662198826226 0.701248833191073 0.522516149528464 -1.05004794348513 0.245266866325848 -0.131046831800793 
rhe 0.254660404011725 1.48345957580957 -0.439973624016234 -0.608913131016171 0.269395654687666 -1.13489018782235 0.254821501636419 1.39582386635945 0.23137456152177 0.509980570003761 0.751402776230931 -0.423593396834838 -3.30682513508774 -0.458178824468196 0.0782900027944016 0.458146076689167 -0.0762171630500662 -0.993671682804928 -0.177106343816858 0.98999572631855 -0.125372948133901 -0.0226310857781991 -0.177888671586186 -0.251424127242779 0.0387813386171563 0.0663614842226131 -0.423024087793452 -2.02845515929945 0.717982034212743 -0.233163319224504 
LE 0.322278981948907 1.14466856429615 1.58626841251243 -0.550485384589421 0.313938621344898 -1.02846729972416 0.161720030622151 2.48252265805462 -0.0185548284497842 0.58300999831446 -0.0321936804356694 -0.498505512592896 0.65610408617407 -0.189266752883419 0.13335385221235 0.207912080646827 -0.240668120533663 -0.873958889854516 -0.59424592828845 1.01071459900612 0.212220616278565 0.0199512082133018 -0.0903882695679114 -0.241673533821633 0.0569985822963603 0.326288151806524 -0.086047577077089 1.08972947747483 0.482108381573415 -0.47995676644227 
MiPf 0.926958496644511 1.1616333177344 -2.77273177653871 -0.605504224011191 0.434806672988976 -1.28000590344652 0.282951515732892 1.88968417958577 0.146138134490253 0.655811986016321 0.507750928835153 -0.650208425612522 -0.750914316260488 0.516982690842837 0.489038971551726 0.299727935586218 -0.191031579590095 -1.16252400479001 -1.12641533198004 1.73787238447667 0.258589109558233 0.363574184432292 0.247208520736403 0.166014172660693 0.414529280153321 1.04354999477281 0.499721558394882 3.46526571049052 1.58609769386874 -0.410566161590098 
LLPf 0.704362020111434 0.980292243362114 -2.28820441008548 -0.49531611623728 0.686048484082705 -1.09611567151514 0.23636786195019 1.95187401299746 0.348684351491702 0.864356827644993 0.280181269653822 -0.712908249488394 1.05277258772902 0.281493320809828 0.825889392457138 0.192126879790818 -0.116351864158537 -0.833576025598173 -1.0128021473795 1.2905236327603 5.41049519648226 0.138710709346732 0.251693035613193 -0.0162946321033243 0.274791227249197 1.36630293088399 1.18970909488139 0.3378661927013 0.276861837567228 0.0471687507413055 
RLPf 0.809608881459552 1.29432492624145 -2.05910549059776 -0.610490882429033 0.362844906581598 -1.27290322140741 0.336726282199711 1.37081618931329 0.23630214053113 0.55193513976891 0.893186316970067 -0.598440983348428 -2.17544829925937 1.84059288197289 0.318478471585264 0.467147696564259 -0.0578556155901527 -1.17567154089025 -0.614286665986969 1.64660076396072 -0.0406473454385321 5.39118128930126 0.104326409527327 0.0510450690045096 0.436324941477164 0.368515132243058 0.430610263033965 -0.0175705403164705 1.39003396395309 -0.218628527222209 
LMPf 1.30191148437267 1.00152119640945 -1.36499160427009 -0.473343118235303 0.6049076636167 -1.23519061761504 0.307866405009316 0.598845778707153 0.0740098473988954 0.749842392626069 0.554700174446642 -0.653574050556725 -0.132578034099657 0.562723287147078 0.906264984130247 0.291418516656867 -0.111566036574608 -1.11089987422 -1.40289600450182 1.8054718082047 0.211288057617172 0.175358154799782 0.334648104239155 0.960377954229676 0.530578118206177 2.06934184319247 3.64569733277184 0.713130163884794 1.72710384958838 -0.208016207293826 
RMPf 1.41198596187116 1.09029933776174 -1.27630148441862 -0.537430853753965 0.466843618142004 -1.29064049221206 0.332746795881677 0.29071612308237 0.0845232273357594 0.655619331550553 0.749577949221655 -0.64229604916791 -0.621876007733179 1.12547750155617 0.634350025112948 0.488014005521235 -0.105523013958826 -1.23081351895897 -1.26206487184459 2.08027155354373 0.156806598432224 0.42692825985791 0.479942436414193 0.495963371709976 0.607833550909481 1.09819468213496 1.27773264556832 0.376115633062515 3.68688127247262 -0.07386100550573 
LDFr 1.01238604164406 0.852376332733474 -0.933963419942983 -0.280749962324807 1.17068874230643 -0.935369548136717 0.303224043164063 0.650460635120679 -0.118862539200218 0.963450216817278 0.48253588802471 -0.629897580637748 0.343341161920284 0.311668855448972 1.86176322380133 0.164292445238433 0.0923685587750563 -0.215032122558043 -1.05272564579536 1.01056932031586 0.171221888785356 -0.0704737447416287 0.179149267541084 4.74065214091808 0.408629500320959 2.26239245549084 2.35364332414758 -0.61148999450523 0.0707872134160503 0.377525830190788 
RDFr 1.23815536929093 1.16233212193469 -0.853325913600313 -0.418940848823786 0.41614616686139 -1.21612450514652 0.406672832293233 -0.0324120579197281 -0.0983258895114788 0.596916390525061 1.19961828921955 -0.461217906190675 -0.998017643826317 3.58997279655169 0.54781499672168 0.695782820763017 0.240424920839589 -1.02377869447179 -0.146269521683197 1.67579921554163 -0.0366937794613949 0.049020570927306 1.22746939074829 0.409562196816359 0.765362097272859 0.249270903910095 0.446710145090182 -0.923853738380314 1.96965796076817 0.226136781024691 
LMFr 1.51891505082722 0.941562581344517 -0.746001133847708 -0.161035400139869 0.665728780376741 -1.10099909335077 0.432814532981014 -0.237421207751039 0.0416868450363882 0.791767735761714 0.584050663775732 -0.520360260111749 -0.0974839473074341 0.521556552632804 1.15645064087562 0.331135113663034 0.324353200368316 -0.301789575868209 -1.24039011757384 0.967216202472021 0.195709280300014 0.111836686977513 0.422188036120099 1.27040422476967 0.607398090799846 2.55466693317382 1.33261952989859 -0.316917365472442 -0.373167405970529 0.330843495596228 
RMFr 1.69445572856537 1.01550532768295 -0.722987550087195 -0.290890959626897 0.459214509175185 -1.25363207838088 0.44487909816658 -0.518760076869085 0.0538806305025099 0.6595929201887 0.77187585860097 -0.474350897765778 -0.425577085765898 1.13603753979927 0.682569912402193 0.635440179403443 0.253084949011221 -0.996329002201307 -0.983578886448505 1.5956544310216 0.146163916110665 0.177831121583239 0.807984667328077 0.496081646892506 0.700943629291153 0.599317356457087 0.703399637293272 -0.409664315512342 -0.208668210842761 0.18327095423166 
LLFr 0.516068512028495 0.603866822500911 -0.634765480679645 -0.250011644200777 4.64137653916782 -0.522888522864299 0.160713401972886 0.874564501425002 -0.112903564724686 1.69631981251877 0.544722243637615 -0.569105503120329 0.617979021018679 -0.0413545099609503 1.33598853081257 0.0241303976051339 0.0444388160892972 0.215494225752758 -0.603202942511396 0.691611709020577 0.0618287499181785 -0.201159374287869 0.130292651037055 1.06248582399338 0.172356932473571 1.23961747348963 1.1031179430339 -1.30439994263888 -0.347216702057869 1.00468694040618 
RLFr 0.530001259860533 1.377202450769 -0.679738231716636 -0.486397264888776 0.412541737123337 -1.0706449308929 0.36791410403158 0.115062787977459 5.4375110182266 0.57883498718472 2.43600499219184 -0.224260832478243 -1.49790683169604 1.88175703370959 0.52796267317556 0.686832232660439 0.244024510663925 -0.858560621483305 0.515598430348323 1.07487617533573 -0.137453210412677 0.508685589707945 1.37551226638632 0.0505650631657122 0.674065448373891 0.0522717805749181 0.066094528152007 -1.73179858392921 1.02401319150414 0.220183018408311 
LMCe 1.33854823670617 0.829669984531343 -0.480739611909652 0.692559562469618 0.65406700660875 -0.661694350555787 0.710673761291658 -0.383724031977923 0.0455882709118867 0.923351633940908 0.53890063536557 -0.13377343922319 -0.095661848452753 0.379906871369798 1.32561402285717 0.146838360769495 1.29052503564113 1.89618489001236 -0.276072206019117 -0.223957825844891 0.208011427416853 0.0816381134067177 0.439462778386026 0.80587893102126 0.658082984584327 1.42606783594813 0.817586505142545 -0.513786382759581 -0.632153264486496 0.859359539751993 
RMCe 1.46537948410972 0.985078246931999 -0.481298533977647 0.345141206629784 0.419696463843959 -1.07563204857287 0.653655184867373 -0.591493480195128 0.0740950550958709 0.654631457685141 0.918408511496246 0.0930294888651764 -0.435770454681075 1.03892849806212 0.644732370545591 1.07664122275134 1.37618830693782 -0.328871971966138 1.26790856366556 0.0198171417704239 0.132883633258029 0.141448785890307 1.40424541753802 0.364147442614217 1.18323065141551 0.262371338672494 0.389186076524969 -0.608939835033338 -0.441377913459234 -0.0462907863268882 
LDCe 0.895174334056193 0.694817161785005 -0.555355660709383 0.236851089028322 1.33047706580234 -0.324668124864127 0.439751014898761 0.139015332597607 0.00899807892792749 1.22091534713759 0.606646684293598 -0.345271097457785 0.182901867138462 0.222548070942044 3.19211991116536 -0.0949559817716248 0.505985422007825 1.8069050692247 -0.394747130071315 0.196717592724707 0.146851647884944 -0.0413758110948772 0.356392557195831 0.901276190972614 0.385499621137892 1.64655722798241 1.04649674806697 -0.982589450048217 -0.403422021588899 2.10432585072823 
RDCe 1.02246000896392 1.15219071607983 -0.528131517406622 -0.0163497547997599 0.399957890249292 -1.00181875398979 0.536517678191043 -0.406201411836527 0.271242600122057 0.610022247123294 1.68852987126064 0.126788423049637 -0.802305120020323 1.83782973044574 0.628459864781307 1.08124017969893 0.851995918101447 -0.532040239217492 1.85422756141918 0.57197465631804 -0.0191735895447149 0.177927209058762 4.21391197985658 0.251709788076456 1.61332012309275 0.072333973423543 0.269300465616835 -1.09539644095331 0.364282731270495 0.271275287818707 
MiCe 1.69147020150413 0.938067970627047 -0.531493754864891 0.157989237433808 0.491809144527029 -1.15159570097372 0.589474456853705 -0.642259229188491 0.0610232121392322 0.72072706646749 0.636549315146799 -0.278583841287431 -0.240289881976732 0.616056242630504 0.82667531293454 0.565794448290048 1.14498842136233 -0.130198446627033 -0.693569502770903 -0.373420819874109 0.194433984745139 0.138044766973259 0.629862161087603 0.569996712098388 0.781000549970958 0.770730867143412 0.60319093757675 -0.498428654485852 -1.0871448006802 0.0933461757603568 
MiPa 1.37979705142269 0.85841087779569 -0.363700847829962 1.27424010846372 0.443820922688767 -0.850981985203008 0.928454207310601 -0.626772318258192 0.0582236352020856 0.727421955517957 0.577920604762295 0.192520190918251 -0.238850319874047 0.462033844357394 0.735688013863574 0.888163708392753 2.72366454018701 0.622739607554417 0.461317006597059 -0.629323286924695 0.189639838448252 0.134531249984799 0.623623653022815 0.40183187840271 1.04295172765884 0.482412428514499 0.431474505628674 -0.353127840929602 -0.622363720496273 0.131184207522094 
LLTe 0.362750672193912 0.323319896457178 -0.275483146891546 0.487801121534781 0.092605353036673 0.886431599416965 0.538775884613004 -0.20348917713451 0.107741578758251 3.42986251838155 0.454942485260798 0.0883614572674145 0.0596393191085292 0.130422342541368 1.44794364759244 -0.374620059264806 0.340318686746467 1.23468880656472 -0.0231120609346141 -0.204252139407742 0.204650403930257 -0.00877043133801328 0.266647987981576 0.0885345722765456 0.277729170712903 0.574245644467609 0.435023355562507 -0.540368102736721 -0.113326739542232 1.77200526612305 
RLTe 0.279281405181134 1.31826845181995 -0.288593119759669 -0.031250985092451 0.36449981731686 -0.673923018491421 0.516248648226707 -0.861714950016041 -0.0245987545395255 0.607192776565554 3.1391168538177 1.1818033848871 -0.691818077690518 0.375881688677466 0.466701331457636 1.17490894921339 0.753246912997911 -0.53196794247525 1.47834192129917 0.24885555358066 0.00671693048055583 0.168481074666679 0.810211996476865 0.204057755081436 1.69684723926377 -0.127610059757258 0.201007881760452 -0.723204748797226 0.306724792918812 0.390480620224996 
LDPa 0.962955908471907 0.660149096598435 -0.328224348302078 1.49095593225504 0.550153771430071 0.420593889111428 1.05442471064216 -0.367700104595398 0.0431050221279332 1.2437655326526 0.446596573809961 0.340179147503504 -0.102151261091511 0.244701968273542 1.32208085996899 -0.420056489385178 1.28895813712896 2.26823617421433 0.180677643330056 -0.361615263693203 0.163539138384703 0.0426928078759097 0.348784869948375 0.522408322461897 0.719205544534411 0.864287554743013 0.62238017236858 -0.393963341632544 -0.320727049833746 4.26832177301828 
RDPa 1.01707241901644 0.996866299356911 -0.322569739394185 0.95621865153463 0.385046671983053 -0.76095499661709 0.864721664244835 -0.645588479395375 0.0837850611148338 0.625222859711209 1.21386958945277 1.18229989772828 -0.440960006680934 0.677259436925162 0.550530407891912 1.97207905925079 1.62362399910372 -0.10605118875147 2.11781786698308 -0.163404280962542 0.0972698146681863 0.13278470330848 1.52310741779332 0.257290326638935 2.86056091747859 0.133893678225953 0.299980771108961 -0.508444503174524 -0.090451205350285 0.256361106299125 
LLOc 0.570606349734749 0.518149498311291 -0.117933105762192 2.12272352319848 0.304586824400769 2.1344171720725 2.3464034600647 -0.574907775662466 0.0715304762855071 0.625132282767673 0.216863186331385 1.25226494486287 -0.206215765120246 0.174283025767678 0.595533420946487 -0.794882604137789 0.839835891279101 1.3146982219408 0.474766814743024 -0.676523900543076 0.189416217819347 0.0614031332623704 0.24097487124385 0.247181464007601 0.547816256409242 0.146195021004352 0.186274073611656 0.0475585890508655 0.0984378546694555 0.177725700227473 
RLOc 0.498684249505553 0.906504940629193 -0.12513761275357 1.37219200986261 0.351052984491242 -0.447382587249262 1.25002956434285 -0.710021246981685 0.0537304623737326 0.592024543286858 1.03434579624007 3.97933551963093 -0.363418039957898 0.297381244122792 0.422776354164925 3.10026345656659 1.32931441223686 -0.0559971016180093 1.57287016903798 -0.419040035055596 0.0884757707170558 0.0901803677388742 0.655072123444732 0.171329012021714 2.15104388437546 0.126596337981902 0.151800701957458 -0.166949962859978 0.270257627945485 0.190898498155005 
LMOc 1.01832690142551 0.731959061906975 -0.224197305113818 2.60618759181174 0.415485004479703 -0.133359515219772 1.54343143380015 -0.587009231782968 0.0528803121721203 0.800089645191767 0.401006725876718 0.707220706496712 -0.204993298714839 0.277503898023015 0.725648898199404 0.0696442628694289 1.83866298642266 1.3397153448598 0.604790485913891 -0.653612675742861 0.192843317814536 0.103142662976009 0.395388699608304 0.335819656686669 0.888580481697048 0.436279612954418 0.349434722472951 -0.0552547732209166 -0.0948764028403085 0.910412315715885 
RMOc 1.02882067998513 0.850884457476805 -0.225829141039782 2.09860861001278 0.384574431545614 -0.72651522995082 1.30255936377042 -0.669179055496984 0.0576177259191421 0.651143665653272 0.644001223851102 1.12182516986946 -0.283103356918131 0.39065154430352 0.556166219056477 2.47876149108828 2.10997734257437 0.349926670484287 1.33138829831565 -0.650287062861632 0.160878191122194 0.13924143782935 0.672801009750282 0.260949779419019 1.57142174995429 0.297433695150085 0.287844147112937 -0.103174071053558 -0.146431471399188 -0.133957387748074 
MiOc 0.502995207169815 0.556760663702572 -0.0422015351561093 1.89895246278212 0.319760546433797 -0.261458273820269 3.51638143168809 -0.656228401642908 0.0447721108519726 0.588141939848655 0.22560934161867 1.52178082478552 -0.225277225992308 0.15764047547385 0.435986393230024 1.32633098703923 0.950563298532752 0.31322361404742 0.777495673639406 -0.588424355194786 0.159081812545057 0.0927521808995979 0.289997557406314 0.161425861492962 0.762804567340819 0.147006956475605 0.116816724974948 0.290492898383931 0.138819620932735 -0.240781768132025 
A2 -0.188875249669332 1.47154187627448 0.0138443202219537 -0.263073515232627 0.320273329024334 -0.674120598305245 0.255266727966801 -1.1289354302088 0.0376003149049108 0.491698525493675 0.140428561109183 0.950914990278332 -0.461864033464666 -0.108685418473625 0.246127477731116 0.590097657273854 0.27491613111037 -0.544372092016955 0.705345859740237 -0.00231476809107776 0.0923901073621247 0.0324552533693016 -0.129821996139796 0.0842268721618017 0.314486330206587 -0.343115612997439 -0.119774026641717 0.310138145238605 0.212939862712318 -0.467217373043219 
