 lhe rhe LE MiPf LLPf RLPf LMPf RMPf LDFr RDFr LMFr RMFr LLFr RLFr LMCe RMCe LDCe RDCe MiCe MiPa LLTe RLTe LDPa RDPa LLOc RLOc LMOc RMOc MiOc A2 
F00 -0.21022475373009 -0.0363055362565707 0.279509704224747 -0.102426338483218 -0.0173598896157703 -0.0223447897346995 -0.0410517434259936 0.0628021741111918 -0.0264050485793278 -0.00950582323910751 0.122780866829084 -0.0166216272319727 0.0145880213791262 0.0050036970542223 -0.0539787864184074 0.0124379735715982 0.0251138564987803 0.00993465937066167 -0.0445673248584187 0.0407207558191398 0.0221965130922818 0.00600271043503448 0.0174372188162592 -0.0161153859077643 -0.042877808444034 0.00427772493839789 -0.00149039900861165 -0.0207467335473583 0.0151009124726288 -4.86605128610352e-05 
F01 0.073486013939157 0.00726730882367021 -0.00401754530419731 -0.0342276755187972 0.00168572321984629 -0.00839712901199428 -0.0319990225666129 0.0296057075109397 0.0162781220721346 -0.0470114315714968 -0.269432420201074 0.00308696548278717 -0.00291706693326592 -0.00417652764298436 -0.388625803902828 -1.08452070314716 -0.0947612818245047 0.042083014605467 1.82194455765502 -0.311699349281629 -0.198147838320671 -0.0123612137504528 0.320331714381379 0.567107691174561 0.490431319623528 -0.0354065465739166 -0.58732562824389 0.14270098977887 -0.033809994832449 -0.00367465902633926 
F02 -0.0577603207017487 -0.056086520194153 0.259651161290881 0.232707616789808 -0.00282641169617662 0.0360956840826544 0.091019701213136 -0.234615142857221 0.0494164046032581 0.0488226690089404 -0.115994319161155 0.0156678491795095 0.00366535561170188 -0.0233455774619906 0.000684154738798961 -0.00989762656374637 -0.0491179968519334 -0.100279631966688 0.068860650923498 -0.0986416026758542 -0.0917359128084485 -0.0110903230370511 0.0735691103513422 0.0916403841706484 0.173465882207545 -0.00526059319009098 -0.0636905358017814 0.0907602003964369 -0.087883132366843 -0.00432103458980171 
F03 -0.00266496826764378 -0.0410551271323032 -0.0057042803965312 0.00358365309877475 -0.000664982991723307 0.00171848879313168 0.00308675596584498 0.00740281065436769 0.00539143071938831 -0.000348216508693402 0.0112077674685012 0.0100328095026629 0.00730184819542449 -0.0173482249992413 -0.0199051149860812 0.0309449277743462 -0.00189168105619247 -0.053182211298128 -0.0111153306825584 -0.037858376108058 -0.00249922395714346 -0.000321778229729103 0.0414837395343449 0.0288707351986109 -0.00183168172439734 -0.103169325808033 -0.00401246045509612 0.044001767175331 0.0125740930022222 0.183735555252708 
F04 0.00483014956507494 -0.00616781278959963 -0.00842893150474835 0.00248633505450315 0.00700910396893919 0.00455072549921415 -0.0052244124536046 -0.0212974753854321 -0.0107667727325227 0.0214757589872749 0.113296876392818 -0.0138104643729872 -0.0104892079971558 -0.0176298310200834 0.0495658371002096 0.183320031146064 -0.0274282392816966 -0.0781509586619276 -0.137442592515406 0.0650345062295876 -0.0640224625008749 -0.0109637523431817 -0.173723075656853 -0.111645412947288 0.501930331680465 0.500683528457322 -0.104999953443733 -0.363615506315879 -0.225324613088724 -0.00112225117350065 
F05 0.00194790697081308 0.000928660933403371 0.00195504095648254 0.00313552843151061 0.00514828854712244 0.00302455075844031 -0.019484926081367 -0.00369925144990181 0.000664607915380339 0.0251242792670427 0.0743115578157386 -0.0493457613188713 -0.0111973782648121 -0.00149983009227703 0.029143728707033 -0.039288145806694 -0.0053806467145793 0.0578454632923198 0.0687622734420599 -0.434325939942033 -0.00484168344138049 0.00429534696461484 -0.18443834135153 -0.57400705542399 0.139047237317721 -0.114079315208959 -0.0319266048672848 1.45430586235755 -0.402063509456777 0.000792917542504212 
F06 0.00433114991695833 -0.0482547444057188 0.013918718513724 -0.037140363294399 0.01838057729315 0.0565875147085027 -0.101146652414903 -0.138221946384173 0.0056995984814926 0.51832960273747 0.055210193524211 -0.0317471780052052 -0.00194976232753674 -0.0179262106933111 0.0480989627569288 -0.0320322519454039 -0.0144267861596101 -0.30902648935975 -0.15730745713565 0.0585206727395868 -0.0129500961407008 0.012926432784732 0.0251674017736036 0.227781108709932 -0.0157668804830671 0.0237492234468929 -0.00481930692771783 -0.155530578650555 0.0156650799841893 -0.00069147952818756 
F07 0.236377866520836 -0.203248800769849 0.000706298576532627 -0.0413637794081352 -0.00548122632240657 -0.00266421032429964 -0.040827834249449 0.0550242243813035 0.0014427905083553 -0.0078809877211908 -0.0307548971350638 0.00926595340634035 -0.0156407657800654 0.0226423845230107 0.00119833436332106 -0.088234917419388 -0.00488961753482741 0.0800597694904236 0.0399543325623548 0.0333706783162102 -0.0210110415258104 0.00767775277619772 -0.0305612707097479 -0.0122110082812344 0.0254300842712786 0.015922153374954 -0.00319093069525132 0.000125353543935985 -0.00577620302251375 -9.94944124923284e-05 
F08 -0.000838572644568566 -0.0120642194219904 0.0146790216631271 -0.148708611726193 -0.0102433165317635 -0.0459959509982455 -0.013084096372931 0.668517954187721 -0.0185292129316344 -0.184956225629534 -0.17684613235349 0.026546637966942 0.00137207352993388 -0.0117459559320414 0.0483365333078767 -0.0268630171758318 0.0476453952501905 -0.0087023539598411 -0.114221657446361 -0.0793697027169653 -0.00680328115544415 -0.00500479800750023 -0.159972212241639 0.083953607925791 0.0312780182279321 0.025660511290295 0.249839922315 -0.0603217694793555 -0.073593762921261 -0.000400036853753089 
F09 -0.0378754095954111 0.00531139955706939 -0.00126635562469325 -0.0187970468760871 -0.0329685102700458 -0.00176674644092491 -0.0118536576957921 0.0827334836475471 0.0254858265599369 0.0209231287434292 -0.0610409195448304 -0.101199325830952 0.133883091396038 -0.00721821660515449 -0.35956152608863 0.148821400416445 0.504070587454569 -0.0491103927223797 -0.0853376581284332 0.251852532086364 -0.0572935442460023 -0.0012523123424911 0.0217281721445583 -0.133409075847459 0.139709867887704 -0.0262190249748276 -0.49789665167472 0.283092012213208 0.04743634314172 -0.000705671459508276 
F10 0.013293859778793 0.00674831457704283 0.00276300615354397 -0.0070549844387789 0.00149087212134212 0.000104159018773978 -0.00303782726597443 0.000331299889607564 0.0203440555993341 -0.00609729899697884 0.0892493959271865 0.00773224778463709 -0.00183761252485336 -0.00382923228733443 -0.40142575173575 0.07131960210338 -0.0872674496069919 -0.0150903925237556 -0.0452239134874589 0.0276605724759017 -0.128497990745765 -0.00143004434520155 0.723849276997389 0.0677252188684424 -0.123417267261578 0.107063173677014 0.25011429274047 -0.497424967619832 -0.0274348700021198 8.69249166928405e-06 
F11 -0.00174425643735503 0.000251204430464554 -0.00330228087169518 0.00896604884822396 -0.0028334933220267 -0.00450471111029535 0.0237253299248291 -0.0212794539514518 0.00275886092083721 -0.0401411640976351 0.000884393737856527 0.0115566151018902 0.00595215382736217 -0.0059277327833388 -0.128055587595059 0.165370823984031 -0.00688530557535815 0.0086107965614702 0.015316709337538 -0.0490114110815281 0.00344940067688646 -0.00997670887554414 0.289254207172893 -0.278124235773996 -0.424037797980318 0.497048731742754 0.210503304760811 -0.217829117253146 -0.0519218085936799 -0.00103302132622399 
