 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe -0.792975236092813 0.187689860212427 1.57958389762161 0.0449055367780799 -0.834798708115793 -0.544662081473817 0.271632861282101 1.63581038964007 0.746400965355201 0.502256356110462 -0.295446481033406 0.501433083527871 0.517724803788677 0.444325665658811 -0.357652391993733 -0.123912766429808 0.114150421637235 -0.0218080025985944 2.59907119735969 -0.0270100967284279 0.122403325497015 -0.00480597400847395 0.154085753719267 0.737223981393903 -0.0701067146321973 0.146969690053581 -0.253729815592194 -0.242118097245918 -0.154263913564496 -0.131980558278609 
rhe -0.343220562851245 0.345624571156879 1.34886298758912 0.0415794865696359 -0.719702323358451 -0.499224314592556 0.599876944056369 -3.20931352302438 0.930126098527364 0.238758234290114 -0.686656326377603 0.709230797560653 1.35941991330931 -0.0708641256896204 0.0120331983993489 -0.0456726005445353 0.421992529006679 0.0937826289193689 3.2947954644418 -0.353437658000071 0.217957960731625 0.141480341281822 0.0723862111981836 0.562942025053904 -0.341689796621573 0.336246724911374 -0.18499505369531 -0.342778525710601 0.0613871765609059 -0.711206501628954 
LE 1.80555568717604 0.199185169557661 2.44844260973214 0.0641239265102537 -0.785416593807596 -0.547064974296239 0.358663880747677 0.359018880370758 0.810661782896172 0.255877428627031 -0.531858597858005 0.532925211887313 0.677612043425595 0.173206790907362 -0.322309881723852 -0.0487502692457673 0.204535617310662 0.10320431530425 2.08534250603936 0.124109736571643 0.166957909945513 0.00362844099097631 0.145603761997881 0.601305094430124 -0.279806771287217 0.130637169178431 -0.316507921913654 -0.121644474792334 -0.0417550788981833 -0.351495400446576 
MiPf -2.86906730105533 0.597084935930716 2.71313233494923 0.089102284190582 -1.15626417161577 -0.628371676987324 0.617940247685133 -1.35458047652783 1.43000128989793 0.365343188078575 -0.470231341103016 0.786533766179108 0.547877616349984 1.08445144027358 -0.481066097521081 -0.0770286691797698 0.420650363724897 -0.746367661212803 -1.17027181036394 -0.389108416816981 0.510936106329325 0.195475121316532 0.288243380891641 0.673609867706745 -0.232220726232371 0.040123800755637 -0.443006694434261 0.0664914999654048 0.056237206057064 -1.81695032538134 
LLPf -2.12615964034616 0.462922903683488 1.81045770641004 0.0503418863456757 -1.07833420709338 -0.501351906458715 0.564203759784351 0.213899332731881 0.99792084400082 0.709704391904325 -0.067794791763969 0.581632511699539 0.449209257980129 1.07167323962346 -0.507094885551122 -0.12469482977926 0.255975445005138 -0.0171567299182345 0.739268628266347 5.01866233546313 0.256994870271843 0.0865837997858827 0.394319637816827 0.796750459938303 -0.213487657337039 0.0921819535095389 -3.29403052227474 0.076122995858673 0.0644174357167427 -2.11684438420425 
RLPf -2.34405362725615 0.663754310971119 2.03396957858449 0.070731538553009 -1.06405812546344 -0.475528337491688 1.78306415204585 -2.20548633204259 1.27940418593494 0.36689638867213 -0.516696903132048 0.660347720587589 1.22203260188608 0.386782206408665 -0.282374828863534 -0.0297054314510696 0.584086451412662 5.34448513552256 -0.122700982177043 -0.569427795210249 0.616470580922764 0.433615540956878 0.325289559990411 0.631976129015134 -0.292954718248264 0.186696938772467 -0.157008317137383 -0.689561645466884 -0.0332371098542445 -0.266297096217343 
LMPf -1.3910680759409 0.979663191391034 1.11187717979392 0.0555570817906968 -1.36181390347894 -0.448361205778563 0.863767123012514 -0.633127980499467 2.27173806168656 0.728366583108435 0.120830376826221 0.76324521660276 0.404393427792768 2.06455612736647 -0.554447886821123 -0.0952974777710961 0.445495299705414 -0.104295938399213 -0.439539800663845 0.732872986578404 0.714114771368555 0.029351994814541 0.69230095256812 0.785301867470613 -0.508323243450227 -0.00933371052322827 0.425892892729851 -1.34332228384353 -0.0607888569622439 4.14715128348898 
RMPf -1.36438728640028 1.08581579282948 1.08325995091738 0.0601455144271623 -1.37602786021996 -0.462588076846056 1.47784738965907 -0.991770076410997 2.76845227025658 0.549214529690749 -0.112960154414915 0.767521765567979 0.647787535531906 1.38693691571887 -0.488783489632063 -0.0879628126203212 0.571848431841798 -0.0440196055291586 -0.529410538327607 0.0739481017061105 0.959635197526742 0.0287982119312612 0.606107910461767 0.781273982926031 -0.388047496565027 -0.0698630592590645 0.117481513900944 -1.34027042743381 0.151831204187245 -0.00828486063111371 
LDFr -0.853516247020084 0.853383884636761 0.673604357065956 0.0429742402974849 -1.25836304621954 -0.176296858443861 0.823186839551009 -0.2039568026803 1.05572245914044 1.4817705728395 0.742483486286782 0.567820020404621 0.329768233812799 2.33974622453776 -0.462568897647926 -0.044296828452663 0.284191772746003 -0.0897752131969062 -0.158847512650945 1.67453461608192 0.46129636217583 -0.00609257081970394 1.06875210400751 0.813528119015155 -1.13068978630243 -0.0184048720640964 4.12283326420571 -0.768531476920806 -0.188630048106549 1.50235077883056 
RDFr -0.836756786333552 1.18151474320544 0.633214565163809 0.0522486175998968 -1.33471484204166 -0.134131425479201 3.16293368533327 -1.0392946932317 1.63655048889625 0.618705321493336 -0.111667391013652 0.715275484898535 1.20452666503326 1.05638925251043 0.0115946053202057 -0.00198365366415378 0.718404378599992 -0.772158582095462 -0.230944836070709 -0.0810088022516933 1.48056298087266 -0.228655097793697 0.688299102343706 0.782821132816299 -0.350288691852321 -0.593607398037998 0.0391344949885412 -0.195537821245235 0.668898847686349 0.641821677753529 
LMFr -0.659475194963022 1.39495535979707 0.410474210517013 0.0514492939054873 -1.43400265268947 -0.0369877478014074 0.956012334210235 -0.480718697744595 1.22523511975513 0.884788773651744 0.623233721126466 0.720110047958422 0.304474173518623 2.49911330766712 -0.439811908757147 0.0235716734169264 0.665856728929177 -0.060145363126614 -0.5425621176854 0.393544073761846 0.981052557785207 0.00809135316548009 1.20018694558544 0.86306410141067 -0.655578881450065 -0.0807145666750727 0.586324978646843 -0.555340468432824 0.330516216620267 0.501895266592804 
RMFr -0.658097071475167 1.52244667518631 0.422799506752544 0.0541924313651995 -1.44757153411517 -0.0590963822750209 1.66194136763841 -0.693926069985977 1.4583798588921 0.718851905184184 0.0327721550750357 0.713658775805347 0.683521361378515 1.62551433152152 -0.190136641940935 -0.0255405491917751 0.757249212993943 -0.184664288685241 -0.468231968381605 0.04893625430097 1.65625235755866 -0.0227048949240167 0.828647913779494 0.765719250884015 -0.368946050040528 -0.278666652522245 0.0273056652690606 1.4704875614593 3.86172445834804 -0.0274263939446934 
LLFr -0.480716989221896 0.342991328744402 0.635635828119102 0.0384459286681975 -0.846976505518205 -0.315475851235386 0.273338708404475 0.296902740567526 0.432531849649308 2.16633258301105 0.276945657578387 0.343780187833939 0.389340332912367 0.880433546866563 -0.280047531833884 -0.128064544823885 -0.0186950290215044 0.0364448573922596 0.759524969847174 0.549092950409464 0.0417150716175037 0.0443365702838316 0.526720316522011 0.576952204949095 4.64996017437617 0.0964628747340583 -0.613964133789065 0.844737242385039 0.0899382144979521 -0.327915838197863 
RLFr -0.571777059025779 0.69529049869529 0.73396535778247 0.0165407213994139 -0.937713889649559 -0.329211551728586 1.16932011261908 -1.53774211813065 0.968231191974868 0.501714772653561 -0.510153436055503 0.795426887634693 3.18002607101663 0.257507854499645 0.490067644726974 -0.113356192423989 0.611701548362279 0.324696404499942 0.714875562207173 -0.171523968877824 0.590516756259857 0.068976929174327 0.294006568971279 0.696070599189116 -0.239497155398237 5.20060970643216 -0.18628736678819 0.921791146505267 0.700634699048489 -0.802453829312453 
LMCe -0.376871460642001 1.29513343332353 0.117806419791605 0.0432427630344719 -1.19724143451535 0.584981282691039 0.494376431939484 -0.345376510551536 0.310573844502933 1.18529437446933 1.52797793133507 0.696507624742008 0.23158724847597 1.09619733709369 0.0285489522732141 0.332831704643138 1.10752264029565 -0.0675183121170404 -0.594340322378323 0.248070646336891 0.815789515403359 0.0360548201194798 2.16679948104434 1.01701353395155 -0.77881707146974 -0.0934933367895265 0.144883003183327 -0.290707222190414 0.756584768182313 0.143674927794163 
