 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 1.21371134914657 0.645871897725097 0.178265642372791 0.124547158043005 -0.0612423266620222 0.0528793517244624 0.659680145901524 -0.0131144458870096 -0.056955150466217 -0.317513594771727 -0.0162077865387936 -0.185637591206272 2.35601805425921 -0.685408065671945 -0.0834724901042064 0.541946331407031 -0.0236278460020207 -0.315279277503115 0.0681683475457061 0.262374821426787 -0.162212780030619 0.260773649696337 0.373894675631792 0.344158091275833 0.0117359403652905 0.315367109178518 0.901788646320249 -0.0548344495896311 -0.105435068444383 0.191436100779585 
rhe 1.41514630627288 0.632685674199732 0.347662867316592 0.316243027137301 -0.0597000117657446 -0.071056836652283 0.0542516037780003 -0.83145567434182 -0.399557982123899 0.439116359646106 0.129153064815631 0.162678873388551 -3.25784261765552 0.296413746573177 0.0846282253681409 -0.455440307254474 0.466759451656586 -0.683017034863358 -0.0287314786163983 -0.516185235755989 -0.695477904319707 -1.06527477631808 -0.256334698113245 0.525066000652118 -0.115204380549581 0.248880768712511 0.0802148773637443 -0.198876123406168 0.31435164890675 0.156003300755651 
LE 1.45151331120791 -1.27461998872987 0.102575214179514 0.0688979305280057 -0.0996827667435225 -0.0758554491639879 0.324791546759113 -0.0179565108260028 -0.145714208573904 -0.224918548541231 0.0820488261115293 -0.0753595723838724 0.470917059200414 -0.504795902672619 -0.0830949521170997 -0.385207037241546 0.0212585184476362 -0.51025864083453 -0.160768602636749 2.45909151536863 -0.400115632066931 -0.7153896578471 0.411497998136337 0.746014546892518 0.684394791244228 -0.254322944169908 0.145662405612502 -0.25652788472637 0.172578952154082 0.40422333640202 
MiPf 1.33710698647219 2.55186687065004 0.964424200286534 0.285022918790282 -0.010464522951025 0.098083378551643 1.22300266432992 0.705187281007491 -0.00321194471272262 -0.016415180425935 -0.0538545840140971 0.0245611942908515 -0.52038207055062 -0.507120078754682 0.171090998105863 0.0416137861689386 0.285235469701741 -1.38037420786728 0.290310232205592 1.84739249673861 0.330554537576999 -0.67242865011589 0.267393307925593 3.17321513207321 5.04499200160701 0.877585061149275 0.500858874667689 0.148948098405119 0.123594449552951 -0.164765243764971 
LLPf 1.30153934336154 2.96048536854093 0.582229482377256 0.218203639644936 -0.0100417703188935 0.101957757423946 1.37632852870591 0.254463268942833 0.22340168051098 -0.166752354314406 -0.288225305766685 -0.369694650947704 1.10687053432023 -0.717976423910664 -0.257182926851903 0.806113908519814 0.155779477115687 -0.503275889356632 0.164628107324933 3.74333323874011 0.146014643387635 -0.162085002880636 0.231873637755017 0.558446844375082 -1.26015246727899 0.501922181069977 1.29593018927947 -0.115467549660593 0.293142266384188 -0.144467319809537 
RLPf 1.36184560010651 1.90970963362919 0.924127692254126 0.367783124864376 0.0583211269656122 0.0674939047847694 0.588280221180871 4.26006015851165 -0.279441747723082 0.740704438024667 4.81730113853172 0.0696127002465123 -2.05720056772094 -0.221622122927754 0.169001544900226 -0.0324357624559914 0.801710439088667 -0.91203994622754 0.235310923574591 -0.169346037355158 -0.0784493323948622 -1.15991081103491 0.0139061597144998 0.824062203966854 0.140445435243961 0.840181983945748 0.173869401284859 0.00799888136010807 0.177955451807723 -0.0492434306825011 
LMPf 1.13143550329128 1.370718559874 1.36401043156086 0.40339305120162 0.089313223925883 0.208546831832368 1.90650450853197 0.665498082151017 0.243062504770286 0.132956289829097 -0.222328556082446 0.314346445011819 0.0724303854782732 -0.207243307393622 5.29539475300268 0.48541341385784 0.106802959666122 -0.615472565400189 0.370523686740555 0.751733442604985 0.270463934616223 -0.639139295489121 0.406610725492047 2.23874290987066 -0.450626998499816 0.954671240968517 0.52979145136672 0.65404918011498 0.627624796713217 0.197860961870801 
RMPf 1.14709753621901 1.20572778714158 1.57287652413356 0.462024628588176 0.177488146787522 0.207256407944509 1.40563880168672 1.24010805875829 -0.0183944269283004 0.314182269335943 -0.451932958937767 -0.107097405648118 -0.45598943973155 -0.0326818686206697 0.103135621589112 0.389660392669711 0.125338994258069 -1.05227814674479 0.224927200210576 0.183086049554635 0.29054695758939 -0.836402555413049 0.176102331474852 3.37130360404642 -0.767999103689478 0.67576127074354 0.20489449063494 0.146349890945139 0.487417057242605 -0.143508760874668 
LDFr 1.05939394999652 1.02779754784144 1.07576992905625 0.395166340925187 0.229692019166078 0.301919765228005 2.06231142210536 0.371076543717054 0.468243090503459 0.0922511945468795 -0.271920843566591 -0.0504647526492351 0.400086495955472 -0.123991890005188 0.142906774744263 1.72372645841812 0.0789028801865138 0.255327891374158 0.208571165123745 0.748403332874617 0.403081520146163 -0.432787924446333 0.0826243447190949 0.559830321720674 -0.536552023741146 4.93854297718573 -0.447718016974625 0.422116460255874 -0.134685838153939 -0.0298964591991343 
RDFr 1.11712392039586 0.830494706980068 1.40897509636195 0.639945573893761 0.391590215573854 0.206984625336044 0.770200193513228 2.2745272432475 -0.126119257153511 1.16774148308251 -2.08957624008304 -0.0482834530061886 -0.990757643993892 0.144593339196007 0.0731214356018011 0.476907492097983 -0.372331559714896 -0.542014451589101 0.106318168476066 -0.666724678046914 -0.253455191451873 -0.907617929485467 -0.373767242344583 0.320490325527811 -0.501049152908056 0.573277874154596 -0.0234322336954792 0.0147752840504041 0.34597406068065 0.270228294802437 
