 lhe rhe LE MiPf LLPf RLPf LMPf RMPf LDFr RDFr LMFr RMFr LLFr RLFr LMCe RMCe LDCe RDCe MiCe MiPa LLTe RLTe LDPa RDPa LLOc RLOc LMOc RMOc MiOc A2 
F00 0.23426978091895 0.0971146380356509 0.0794735533220953 0.00802089416096688 -0.0355692474892402 -0.0649780736839401 0.0343606284834125 -0.0235911566820619 -0.0345446232908367 -0.0635630709525317 -0.056260929806868 0.0484085511599037 0.12639409780186 -0.0253834543900624 0.0050774346641267 0.125761039537731 0.0564275046283324 0.106646313632931 -0.0708410870565539 0.104852233195328 0.183575436937448 0.0280195259034351 -0.0301518001386969 -0.307250011992085 0.172733580616057 -0.0253247605419796 -0.0566951423704217 0.0757442242998214 0.00432201207609818 0.382257472865212 
F01 -0.232924488199726 -0.0774564602674364 0.311735263740038 -0.0703711510381062 -0.00306939190377044 -0.0346716211681642 -0.0336725291928698 0.0394674425080869 0.0184287649525559 0.0346582045560089 0.0441633557525525 -0.0110953849057234 0.0394110559771466 0.0179034232966059 -0.0405876229536928 -0.000713872609917611 0.011185907887922 -0.0141829950245555 -0.0204755897279692 0.0253068721787784 0.00308230916809333 0.00545076738072 0.0130517352494206 0.0222189890199859 -0.00887621028158485 -0.00442105370844022 -0.00536111343775358 -0.0178688191025312 0.00514582336444132 -0.0127593145293731 
F02 -0.0114671312874321 0.0501500968076687 0.00840443608641905 -0.0258602667324717 0.0121132062465989 0.0173668705992752 -0.0127071141567021 -0.247432762335253 -0.0145702155630917 -0.168268010927648 -0.197923294159455 1.25910229558519 0.0150937795822956 -0.00191322317165137 0.213843678330507 0.295800143474567 -0.0404458201940911 -0.228569451568212 -0.481166680609885 -0.230617791048456 -0.0445990916066054 -0.078420280122498 0.0484382396558818 0.0676458001305693 0.0351512548186964 0.159890682595254 0.106935495283017 -0.0770340491774354 -0.142898666732367 -0.275917413429621 
F03 0.00655889664766891 0.00836108199936016 -0.000525910909405062 -0.00806548113625223 0.00574972517094881 0.00809682821449337 -0.00997546875679459 0.000844689473591175 0.0191279665308088 -0.00646035071241384 -0.0154517274838263 0.0425575371072348 -0.00144610330775629 -0.000898334332564281 -0.0468796352313097 -0.0942841798684218 0.00608156136280278 0.00105893455193711 0.0180751542092954 0.00379916598062378 -0.0640404320690221 -0.00467364165053244 -0.055852404424928 0.0526874330811115 0.357862946477042 -0.102910810056372 -0.11654348270368 0.147222141501117 -0.0984932017224867 -0.0383767683798631 
F04 0.189269149797513 0.176091399874651 0.0875745716392493 0.0193799837820124 -0.0163070825489672 -0.00919376774657887 0.0491049960714118 0.00694123425171468 -0.027252694549565 -0.0629238974069734 -0.066245991526276 -0.0360487787683085 -0.0715683877011545 -0.0168313271598925 0.242340024097501 0.111144459685459 -0.096835678562057 -0.0703246362459039 0.0296900493404079 -0.190012057644775 0.00611290018164309 -0.0619198125610949 -0.146352270741651 0.105724146944195 0.0279020462602774 0.0523939528255954 0.0922271858185673 -0.0250763688163556 -0.0262199546281799 -0.264785379349363 
F05 0.00481752765207728 0.00758825810368666 0.00124013309292647 -0.00500446603338374 -0.00471613979354874 0.0100512270256255 -0.001871507002804 0.0145432311891365 0.00118440964742933 0.0301734456137861 -0.0273773831912857 -0.0687593859286642 0.00724959759024275 -0.0017187913038 -0.0396140643745724 -0.00289560074982849 0.0250769820341562 -0.0054344730308219 0.059500891500008 0.0375045624319574 -0.0134503534328312 -0.0414811990201319 -0.0485178085576304 -0.0612509679234586 0.0246175561225197 0.353523330069355 0.115157016970252 -0.158156497287421 -0.163705688665151 -0.0513127425654951 
F06 -0.238096229679237 0.209660505275516 0.0253458057473782 0.0242304330725031 0.0364799990824618 -0.0376897207182264 0.033975888736013 -0.0413955306730251 0.0384620898788535 -0.0321332218285175 -0.0799244577709056 0.0669066821973813 0.0497297804307375 -0.0293296579013164 -0.00191294361509082 0.012148271596728 0.000961737093051505 0.00040113032219603 -0.00753030081774563 0.00567399350858955 0.0132278537805849 -0.0147407875676441 0.00686470137006088 0.0028549083949389 -0.00975784344198437 0.0104019164729465 -0.00159114463239212 -0.0124317421635092 0.00544223823060606 -0.0542774827237602 
F07 0.0057309461104986 0.00961679140366006 0.00129902360603183 -0.00119901512606543 0.00396043903037249 -0.000499303814765059 0.00596671226954651 -0.00335231927967628 -0.00336027654208207 -0.00203929312972587 -0.000189659041876693 0.0313966607718607 -0.00508958007195086 0.000859371874035759 0.00592378994235543 -0.227638819141328 -0.0238392433178285 0.0524996395501808 0.0757137781621527 -0.188024886269768 -0.0144109310828157 0.00229112116403045 0.156224952849166 -0.14735311953002 0.0461042405344477 -0.161421726657041 -0.413032695824155 0.886285806265303 -0.0617491992020311 -0.0256443044937715 
F08 0.00138246127004425 0.00743217751640624 0.00119752019382388 0.000561525603991433 0.00237613998161519 -0.00133352921511849 0.0211362148114098 -0.0140690303924871 0.00640971120986131 0.00739212012497739 -0.0341863542285999 0.00715060870832061 -0.000722816466427939 -0.00131076250204325 -0.141847158023042 0.0112477481695558 0.0389351651366786 -0.0188483878707882 0.0496495044071931 -0.168780686908402 0.00137518801505452 -0.00724302463212842 -0.137017962811717 0.0941999065138785 -0.104659487523195 0.0330019478143451 0.716832271382163 -0.292346099706947 -0.05065577687394 -0.0263175066203253 
F09 -0.00871196014903666 0.0018920135102035 -0.00149102824270671 -0.0045754482096649 0.00117523272214836 0.00822621123848193 -0.0141030808434495 0.00972181641401403 0.00900809462904877 0.00250363755489519 -0.00759127004678331 0.0278057867342371 0.00238444776857867 0.00540268845192998 -0.0077752005842876 -0.0267920098909846 -0.0164905083956911 -0.034058293992759 -0.0391024829203147 0.117163210015671 -0.00151505589261138 -0.0108999602759922 0.0804084001423882 0.111946820726492 -0.073066454461085 -0.0391532346561873 -0.169021627492137 -0.194554679544565 0.368912949082327 -0.0843063866450225 
F10 -0.0352385853644287 -0.0187760455043106 0.00611138623008406 -0.177008746018722 0.0477302598976972 0.0439186647985168 -0.0657372156445841 0.624109348865132 0.0274038703765456 -0.219138503245159 -0.135645688528549 -0.394282823231585 -0.00186003872455267 -0.0127884783383977 0.10420832715237 0.186597427217883 -0.0212035549534914 0.0538507740827735 0.201305896153339 -0.180833216195209 0.00124337842895063 -0.00270525571765843 -0.0505307094619893 -0.0780509623219576 0.00913895075305649 0.00942613204154856 0.0409248762452626 0.0490538222920161 -0.0132079593369471 0.000101450036217369 
