 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.924964561403333 -0.718307722250577 0.033575395965538 -0.793042373935153 1.77703611468497 -0.450563608495731 -1.95297666138472 -0.150026360591379 -0.30871262428198 -0.303827768152134 0.155333376988906 0.0250574301970091 0.0238479586025478 0.627401283835402 0.267790505357546 0.223295330292309 0.424031656501678 -0.493827380040822 -0.373878384954717 0.686102804073168 -0.00447705390869936 0.260388980603257 -0.553142101036409 -0.09649073801987 -0.438551556114982 0.878852491175269 0.262437045107878 -0.00256871062355481 -0.0692976463764795 -0.127034505914604 
rhe 1.1293392518971 -0.720082586592008 -0.0355856994786354 -0.973276252984293 1.01308960713848 -0.294447153085513 3.63429743426098 -0.103188001908345 -0.399823489713059 -0.50249137254784 0.478711626023639 -0.329421425204704 -0.250543069270906 -0.975556409740466 0.726385556385968 0.803747613308676 1.09694530275891 -0.439592326019201 -0.87670729624338 -0.591776336336062 -0.128321926853131 -0.408291444577557 -1.26157450818509 0.457077815000019 -0.455185351178801 -0.823309419630262 0.440423253687405 0.601308103478029 0.929326152151655 -0.900188812414002 
LE 1.00332659033436 1.86702385732372 -0.0755382657490596 -0.832064561916189 1.97140109637127 -0.37061626654407 -0.256683947214593 -0.154309411269385 -0.342275166392323 -0.398315788158703 0.124943508466964 0.759164421232471 -0.110709636478383 -0.24156489019265 0.226120785458231 0.338696645037886 0.462584810768082 -0.44932499686592 -0.660005740522288 0.273252236448025 -0.115032072027278 0.273314782145651 -0.925723846277 -0.0937311397750987 -0.516006872064714 0.228548162864601 0.212999587883065 0.469890455887638 0.492545891815974 -0.123183791896299 
MiPf 1.06368345324029 -2.95112167351259 0.566274716497546 -1.05288373372189 1.48078651734196 -0.738134787407248 0.989788171121968 -0.251432355716222 -0.471453272207333 -0.267878046035545 0.745960800068048 3.78897719306336 0.511055945503674 -0.264241772996608 0.763136136362755 0.698595450900833 1.00367208806803 -1.09898191779588 -1.04401135343529 0.616186676807536 0.0625569363679387 -0.040781003945215 -1.01983466690718 -0.0858189389909219 -0.955736209386423 -0.279714888763942 0.478227955626059 0.573101097407732 -1.47788264569945 -1.13982596460931 
LLPf 0.987345538164708 -2.13797859233598 0.418383744999217 -0.924895806293663 1.4743580272162 -0.679980920299061 -0.473453648772046 -0.133186122627764 -0.298066992773904 -0.228878316160002 1.07603845841107 1.24435929883371 0.956807467217282 0.526052708614879 0.541695136242091 0.403073787526828 1.01923079894974 -0.859002665498348 -0.509155843365101 1.36343903709552 -0.029024176193996 4.03766268433024 -0.701767451498512 -0.0625362773194068 -0.692933286329595 3.7459200596915 0.411693220108959 0.423989725169273 -0.213134582279132 0.251309048587225 
RLPf 1.09000958934512 -2.01871924090687 0.514836840024113 -1.05627705271159 0.714579814018139 -0.590691066497541 1.88596639286055 -0.137174104956166 -0.383739669165983 -0.288536940464996 1.65003604721155 1.70982692311277 0.00619520849496528 -0.840869219470231 1.19001893932688 1.35297170622762 2.42505351231201 -0.789558595961162 -1.01382147608974 -0.396365834840258 0.150572785341792 -0.722277257328111 -1.15748580004243 -0.0316883916618286 -0.444707473401182 -0.718392227707637 0.503231206547231 0.536243126720012 4.35951688387971 -0.0268467882016369 
LMPf 1.00800730906535 -1.38075585963714 1.25976842645868 -1.0279274253944 0.327657484195586 -0.888267252159686 0.389712048395537 -0.108059361944261 -0.399110144919025 -0.0842940451565384 2.43934285551128 1.65067023840838 1.57170253628152 -0.109206834766722 0.666483544907694 0.378817164800465 1.07490006654827 -1.13170730913674 -1.05446023861141 0.559885858855479 -0.105271152315546 -1.63410075973753 -0.778290820407882 -0.209086389053693 -1.29445963933091 0.903198379349387 0.415916847704211 0.676765422034917 -1.45912881685837 5.17028395327966 
RMPf 1.04814436575652 -1.33816831233923 1.30376658465314 -1.08876332591958 0.157966723223419 -0.873835728026972 0.738800244698891 -0.138971151324718 -0.464666392568206 -0.0956844745704023 2.9764544194443 1.67428592170329 0.586061957845115 -0.582165666423264 0.950822706264637 0.778747239626495 1.74402355664401 -1.14083881176656 -1.27616244046894 -0.0149942054010665 0.29003905384938 -0.902430075698829 -0.919621302912165 -0.371364401195278 -1.22720258445087 -0.50001660398544 0.43059539342651 0.604271550185664 -1.5115839911076 0.423892292508667 
LDFr 0.958708993459188 -0.85906201649134 1.01070872116721 -0.819606299231067 0.107501442967323 -0.705241570957386 -0.0519691921265866 0.0743419536501532 -0.113598482978208 -0.0249107262823279 1.27507600255245 0.829313068638739 1.72486181242462 0.799069746990729 0.590422464898449 0.20508673007751 0.980632988836886 -0.610836922053539 0.367815254557231 0.810731702627337 0.233035072196437 -2.35966455269741 -0.581713973983511 -0.212181641975153 -0.79239509125459 3.22717763654256 0.360023321466674 1.56519194301247 -0.658741427262091 0.46915718911379 
RDFr 1.06747975099899 -0.813821153893127 1.18227226905776 -1.08107305272332 -0.421021280318733 -0.593091525830147 0.957374062727491 0.0892498681489852 -0.279016759446369 -0.0397289737580471 1.48022634717037 0.863955813586716 0.256411102449705 -0.964185838655449 1.66547147046532 1.41423743168611 3.11211208870038 -0.453717087748782 -0.877550672201102 -0.749175133717186 0.427904017569689 -0.621865030176528 -0.994618479426475 -1.30148688796881 0.127892884210106 -0.489759069235669 0.324236328434857 0.535612532733424 -1.00440283936686 -0.0692391868829373 
