 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.924689878079893 -0.431879334348111 0.954593482645083 0.721508459036879 1.5871048502011 0.694236192802341 -0.14388546847933 -0.142513705099284 0.327996928199775 -1.95485097242378 0.0553886656257961 -0.497324366177648 0.0843096383342283 -0.0225093467151058 0.0710724822166828 0.232430503462179 -0.0888689817539706 -0.11040642853339 0.882213066399101 0.120286453932118 -0.139972210063164 -0.384232451483329 0.115919964988489 -0.0772390382757334 -0.311326467312694 0.292317179158017 0.158861421075986 -0.363737116968 0.366429013882285 -0.406338971312058 
rhe 1.02691258676207 -0.651564893643164 1.2906780655442 0.93503370312484 1.13067883883257 0.480300263032409 0.18013399090656 -0.337055521440435 -0.117280508618394 3.91414415091935 -0.185068439630039 -0.182890330904623 0.406956064068619 0.175725088101367 0.00830864412337275 0.345004036706907 -0.679525031162457 -1.04846794441478 0.877165269992485 0.759218669729887 0.194527273011832 -1.35520809802643 -0.0131532961327974 0.079635808729914 -0.939409791146815 1.17320065819127 0.418087305494585 -0.509790034846336 0.946720390618143 -0.594713362756608 
LE 0.957370856535401 2.45659585198804 1.27515292033771 0.74297847553116 1.4106249175694 0.565043119684551 -0.0121872537230027 -0.157711462384224 0.286202679755553 -0.0500590555462721 -0.112624503115293 -0.176016875677164 0.201600081894419 0.0316594458546082 0.0321820032996862 0.166953028628739 -0.0772095811064319 0.235392101348765 2.20965098704912 0.402437556744941 -0.111257313448801 -0.723653129346682 0.365680869630954 -0.0060670826056453 -0.54907582433675 0.329260755651838 3.12975464481883 0.130008738759941 0.308288366472821 -0.208408485012271 
MiPf 1.01652208300452 -2.50242261466378 1.33326091045243 1.17852006087989 -0.3933642275668 0.593125719188903 -0.471425151090795 -0.269550743429772 1.03912955991891 0.36662052628621 -0.26747852275075 0.293965974956766 0.0181551056075336 -0.076172162092157 0.373218956850715 0.270545450383409 0.477301661080021 0.467718578003902 2.35414852910501 0.302823251195628 0.193401680620877 -0.801325420604038 -0.540297978666581 0.0925603367524932 -0.980335911959896 1.60069304887399 2.53040446795918 0.514298318351003 0.459994802176824 -0.598789462062719 
LLPf 0.974434119247174 -2.15686392700336 1.16172836407995 1.04004699913587 0.0972098092988033 0.694495927268695 -0.470121654982092 -0.154057896985956 0.955055705606747 -0.643118424683618 -0.243707399299374 0.726355140764051 -0.0513840431698108 -0.0464064165803074 0.343262347786836 0.258169231905287 0.211670347613487 -0.0115462307650119 1.65399464447175 0.0275062125075694 0.0376861346399891 0.00786961283107615 5.42527838328153 0.0463827420130434 -0.393838663359334 -0.234681865222843 1.43971488822956 2.67341084548506 0.325924729336904 -0.57935326101732 
RLPf 1.03792935963981 -2.11971184166202 1.2989301484989 1.16565055687685 0.0516621150555566 0.532555058423974 -0.173614301259032 -0.33449452547941 0.589414392883391 1.86867877259924 -0.23997023088078 0.05902544602268 0.296090607296825 -0.14225482459063 0.301839921059664 0.385164748690891 1.7308001155986 5.28194199795069 1.06595222519251 0.825757869820161 0.495936107905529 -1.2760937448164 0.0367051080114682 -0.0250167140097228 -0.973868055329278 2.40432724563163 -0.186002463659962 -0.0475373969645626 1.57581258855593 -0.510277970094995 
LMPf 1.01932318853811 -1.25576250444141 1.31893772132355 1.23717956827131 -0.92990925169156 0.627914855471298 -0.647471155426321 -0.166836331175493 1.38886595733588 0.176202378623808 -0.478624882391226 0.53547873105118 0.0149385352978485 -0.138946059995833 0.556258782300267 0.271299565343956 0.488080979036361 0.259151308677171 1.39124415727016 -0.0863288801523887 0.312532883891174 -0.743984692350029 0.219183167606966 0.120239349620495 -0.538610879529363 0.60779991494337 -1.79848007365887 1.14895590722304 0.530493320166886 -0.195132762170565 
RMPf 1.03121501160103 -1.19392878588875 1.35283724542159 1.27657723973995 -0.974733040123551 0.582820944871684 -0.52240219929624 -0.194103149784702 1.28856124333615 0.54367263673753 -0.340584856307972 0.290820369099767 0.155374308075147 -0.289895149792279 0.637756744349968 0.312721164961889 1.03440278740964 0.59307862933335 0.948223844511694 0.278739723994306 0.67358218601363 -1.17721993598762 0.129445476137825 0.118705893510912 -0.844391700302057 3.05869218455742 -1.24058037201603 0.393986582712575 1.1037541046529 -0.0427550211096136 
LDFr 0.990003199386068 -0.892298239854222 1.11333853849915 1.0810940282243 -0.666489656430783 0.751159554937742 -0.607330625775879 0.0368277849667357 1.26129013360061 -0.112497768794792 -1.32889107776845 1.47106272659429 -0.0579129914442739 -0.075629353642882 0.611253809854956 0.288294507398083 0.291352689576138 0.0517026292620102 0.328002638106185 -0.236147839287751 0.206289132134172 -0.00895211754191788 -0.0555314465941872 0.149022338089909 0.546799222824156 -0.0394813684656974 -1.40292193676289 3.98986871100368 -0.0939891837366852 -0.149575714491031 
RDFr 1.0344103699547 -0.852476807720554 1.22130853108459 1.2103335504942 -0.848531754266538 0.569692694612155 -0.131443623951529 -0.14298962779281 0.855072521162431 0.873818298103779 -0.293298763164868 0.196060097759665 0.457291032052738 -1.06611363456077 0.751229793074538 0.466240984068738 2.82110769972594 0.411708678217154 0.120834422900194 0.861504193907952 1.46351522819088 -1.20288133437594 0.0553164047785917 0.307784186734075 -0.559754238626881 2.38367916104711 -0.873580026536096 0.158348947603394 2.29063770499167 0.0995364726164843 
