 lhe rhe LE MiPf LLPf RLPf LMPf RMPf LDFr RDFr LMFr RMFr LLFr RLFr LMCe RMCe LDCe RDCe MiCe MiPa LLTe RLTe LDPa RDPa LLOc RLOc LMOc RMOc MiOc A2 
F00 -0.0582017356735754 -0.0756518719334806 0.0922672633403024 -0.0147039275994214 0.005447829523365 -0.00111731185641296 0.267108287145319 0.0269501025849685 0.324423946973681 0.00724020858847011 -1.40252533230757 -0.450214476533066 -0.0459991993754687 0.0156153389150557 -0.0327763821497429 -0.197917177540737 -0.0987921147349254 0.0975232443444272 2.38354303885924 -1.21967112692233 -0.053841563720866 0.00576547514395141 0.0914917141044811 -0.0856737926289054 0.129732490170641 -0.00120152314616028 0.100707791238693 0.505270999038726 -0.124337570822067 0.0197182979621037 
F01 -0.169921233688558 -0.128446843492362 0.401905507120069 -0.0788039293801474 -0.0114804557943743 -0.00715531403845044 -0.0240371295515079 -0.0300913273660182 -0.0086752896619379 0.0316349957268936 0.088008708965956 0.0295731483889198 -0.0137354906107605 0.0136285504547297 -0.0188675466705479 -0.0245138629833649 0.01741177213282 -0.0131404839380928 -0.0347839529640619 -0.000199553263337196 0.0468070308894876 0.0193741459000455 -0.0324118581601258 0.0236456250062639 -0.000434675744598338 -0.0159462524966994 0.0160329151240177 0.0129381454322492 -0.00595838654312622 -0.0287514113839254 
F02 0.45218547021482 0.321760544886251 -0.0984886837118795 -0.0526390573123828 -0.022807436482972 -0.00773520349172066 -0.0829962827666472 -0.0216229797857576 -0.0678877963200019 -0.0494231676332188 0.142940474270434 0.153555453532093 0.0767858848498733 -0.0166906838386605 0.162481884272812 0.0801776107583944 -0.0579412367758569 -0.0247038373077044 -0.304463100017158 -0.0414593189551953 -0.0399201052605736 -0.0329209373744959 0.03803891586134 -0.0635521279916233 0.175667726104246 0.0299572492827964 -0.171895907597418 0.125980337047614 -0.0309736232621641 -0.0233623128100882 
F03 0.0220905859651524 -0.0054834300318861 0.0110306299552513 0.0154749864023449 -0.00252417860952028 -0.00195149093132569 -0.00302648691000269 -0.00484173601103469 -0.07888978782995 -0.0379591155746179 0.114088107020609 0.0666711999653009 -0.0133409516569322 -0.00490810093361288 0.0377392136150358 0.0475217215233793 0.0903462046846071 -0.0273899393144182 -0.258429362369141 0.330441104026519 -0.0507322536374849 0.0075193130264869 0.0571147585039877 0.0872845926756942 0.0809545478241429 -0.0807512871291037 -0.451732642755805 -0.315204091738784 0.584102549058211 0.000585205440408359 
F04 0.00758090560117598 -0.0211802792046983 -0.0078752124890183 0.00674815846934497 -0.00991541702602986 0.0019720314869456 -0.297054383286343 -0.0233523292270143 -0.340822561693693 0.128510152895864 1.47889761734254 -0.510125714876308 0.0316175717859866 0.00780992179208736 -0.488685248272981 0.0766437331988536 -0.145420688453551 0.0134887444687959 -0.156180228286262 0.0817973806216065 -0.000865158846859701 -0.0144504353803248 0.314813800390591 0.00760910278132007 -0.00560439252511206 0.0163482887138337 -0.0702512716671435 0.00728205122996542 -0.0345369921115598 0.00687071897613855 
F05 -0.0020913156780561 -0.0095678098537373 0.0132152078873019 -0.000170217476881295 0.00093880641924077 0.00100170884759594 -0.0438686428765691 -0.0136337294892261 0.0165075919416218 -0.0559005192193132 0.109985543730237 0.275275830608513 -0.0161425468787209 -0.00406978442564723 -0.0876844442815572 -0.153733314376767 0.0712145726790122 -0.0114227579207305 -0.831241054726873 1.83735611193195 -0.0269283371807711 0.0169203507802004 -0.123457559299825 -0.0111955146398461 0.117306688669036 0.10322065213573 -0.340000119419725 -0.713571708159855 -0.0480499565301853 0.00840539241775992 
F06 -0.196231808475587 -0.170353084207155 0.229959825894524 0.0586378794240469 -0.00125453049332064 -0.00393140776710074 0.605532679757295 0.00175752480068663 -0.102527855860798 -0.118572082230956 -0.159941647441436 0.0406948341842351 -0.0621450060807805 0.00060348981755654 -0.0142195316189899 0.0672363607805482 0.0167932362485186 0.0377658099464417 -0.311896729493066 0.137389605009253 -0.026518744807843 0.0299886119781498 0.0825647131754039 -0.0705283325090005 0.0499554338848129 0.0102022740577705 -0.0610130603618611 0.000302349227539857 -0.0326132874606913 0.0259626990575087 
F07 0.00470006201590485 0.00657385766455216 -0.0215085799198752 -0.0134089558374878 0.000843776402436889 -0.00243853187203693 -0.0946967880176866 -0.0960311328920313 0.023488988729079 -0.201871711494818 -0.135178756701756 1.06954843258854 -0.000168410362961647 0.00425002907261088 0.0804270487396075 -0.306580980754827 0.00928793341385384 0.0474633101094109 -0.491390116136647 0.0616030595427244 -0.00653739727146776 -0.0195788497105004 -0.00065387200281893 0.0534315808755703 -0.0227164108890985 0.00356860891870202 0.0216864415310888 0.010187122875022 0.00642326930696437 -0.00388713423742744 
F08 -0.00503476951241899 -0.00266829178917855 -0.00569291950821714 0.0040365518149672 -0.000943205168805026 -0.000825051007584427 -0.0100254713676033 -0.00762271828744444 -0.0398610772858052 -0.0166431748436431 0.0676678058769995 0.0948089021495598 -0.00421365959388249 -0.0137956412160224 0.0432203484499548 -0.0351285986997187 0.048011245562307 -0.0233452924222591 -0.143659988277043 -0.270994486121141 -0.0161823142019439 0.0507924606189911 0.0383342946871636 -0.320150240535214 0.138720731441856 -0.19907560174246 -0.495116282249895 1.33026918685921 -0.221739666052033 0.0211643372625147 
F09 -0.0469113095021855 -0.109321497530928 0.0613209788848837 -0.0170073448872953 0.00473023602598733 0.0123325107509553 -0.00902813556263299 -0.0195011830830316 0.0125121850864157 0.671728433886955 0.0950133700285707 -0.61965619995956 -0.0280906477434712 -0.0292699246925492 0.00428003458907193 0.12952596902569 -0.0010343039755559 -0.14012680621424 0.0830433896158952 -0.0409730426108839 -0.0124596348351555 0.00213616899007498 0.0167729739848604 -0.0350653972672134 0.025586224787511 0.0174552541635448 -0.015757843140213 0.0293178705953589 -0.0187885606404284 -0.0106892711677468 
F10 -0.163384161044659 0.233905105282345 -0.0170247566535463 -0.00884633696672987 0.00724483542034287 -0.00540714760112772 -0.00781427147504637 -0.0198432014850822 0.0223897922165504 -0.0242635080971302 0.0021027836490102 0.0358366258424893 0.0279748011566221 -0.0353227618301675 -0.00684357877575269 0.0172921594644763 -0.0128548626866621 -0.0187325295982985 -0.0193629984525993 -0.0103807791598014 0.0353539040660097 0.0121299898234194 -0.0105058829957116 0.00629109425625689 -0.0114146305663337 0.00727066813831869 0.0156089230998568 0.00420534153752414 -0.0106069010091899 -0.0853340851217198 
F11 -0.0143255293801263 -0.0563045768711224 0.00417384778547345 0.00079789700005348 0.00507566059729045 -0.000825791654341875 -0.0390021736030523 -0.00721712978908476 0.0446338090866831 0.00279674365351482 0.0185407485374845 0.0400887367854818 -0.00806850415115696 -0.0378715815766678 0.00835068089531091 0.125782163836004 -0.0224835354337006 -0.130900824457047 -0.0710456984302834 0.00524430061485381 -0.0133652361947714 0.210453262023027 0.0307433891990504 -0.1170378827996 0.03527156235967 -0.036595586691314 -0.0206875365687859 -0.0341337362567605 0.00431127238861 0.215489992953801 
F12 0.00535159451912244 0.0117228265821464 -0.00633039499209596 0.00166950764135508 7.35656723578015e-05 0.000169945858307711 -0.000757425250912441 -9.1772556611856e-05 -0.00115709028615214 0.00308127099490809 0.00670683703086279 -0.00235287580482616 -0.00024014859913723 -0.00263939107815871 -0.00319882005827791 0.0665092026183808 -0.0101791817016976 -0.00615438768609272 -0.0233156033810248 0.0331847394041556 0.00686751530851577 -0.0730026365389879 0.0137622098698808 -0.0658000538575363 -0.0132742778426273 0.337971236980351 0.0746711978043935 -0.180585383920106 -0.149545463007443 -0.0254690794999912 
F13 0.0078649557576414 0.00347220041149792 -0.00794603540569641 0.00537831037887582 -0.0064031125842641 0.000987211844879692 0.0559339743823017 0.00310987424272108 -0.267810556688733 -0.0109359468610947 0.0637161880828595 -0.0109392789706861 -0.0776870959098607 -0.00719836304611107 -0.145703160198983 0.0336748135327393 0.704674519801759 -0.0324698178874027 -0.0444534278897419 -0.00396804109421251 -0.156413129376957 0.0103200707922086 -0.216350166486887 0.00824842916659765 0.0641060977118631 -0.0115490562813498 -0.0259747537130986 0.0490100108667746 -0.00528293820398291 0.0071357182328937 
F14 -0.027444712454127 2.35080942553896e-05 0.0129316260096744 -0.0149622646996607 0.0327311722152198 0.00158945778442106 -0.261317752828177 -0.0108136546842816 0.588287570274933 -0.0127559216963534 -0.105703473963046 0.0528659093704481 -0.0411406180412277 -0.00295032526199145 -0.0713650585568243 0.0217551908470563 -0.232444766843738 -0.0100506256339732 -0.0709287021578211 0.0244876216763296 0.00950499221170168 0.0087896650212516 0.179003578419232 -0.00431540626308574 -0.00826999766972341 -0.00348482254006261 -0.0670448220320551 0.0242054759951716 0.000225274857351055 -0.00364987830134484 
