 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.23984846088031 -0.105897325865162 1.77038847306243 -0.325041861576015 0.121696044342357 0.124872582560434 0.46274441229364 0.000858550609246216 -0.191212242751138 0.0494996400540914 -2.1300317014622 -0.405279974513221 -0.201073351652147 0.23771244733277 0.340698123496289 -0.0639266552118439 -0.00551499355851714 0.224459872383492 0.086753770425212 -0.133603080838539 -0.672412996853875 -0.407529789003854 -0.134055379809653 0.323928600892122 0.046968238913067 0.418506351973275 -0.293212360179447 -0.297820013842826 -0.0655719553867096 0.666586080486106 
rhe 0.407185913385349 -0.142848096652383 1.72477363499027 -0.158633386734713 0.24195956995487 0.258019434953206 0.626022629955319 0.202487860565242 -0.00328939723283537 0.703111811235735 3.61728133328747 1.18509212481089 -0.233400944906614 0.0945114858165231 -0.368372750988065 0.274988365663635 0.175635817657562 -0.0447991682485996 0.354629669257782 -0.122067504379991 -1.1528038528851 -0.641425244008276 0.777527229516396 -0.287949587486139 -0.512757909118823 0.651164015021309 0.776549066164645 -0.13261502140527 0.454797553123349 -0.797909324475191 
LE 0.310243064596525 1.92175698350991 1.57065014066642 -0.231990472153662 0.0444201218565203 0.14656661311336 0.874893940766055 -0.0505346797781147 -0.184992559118295 0.275009587751017 0.332227621412692 0.232163436689656 -0.127397205595404 0.0872326323933793 -0.0392476322059832 0.0372502711505673 0.165361094841109 0.181032750301775 0.1264396368319 -0.187217139471095 -0.970464996456927 -0.592550929583096 0.102744729210658 -0.207540326455856 -0.0174702014090029 1.33982607663945 0.0567233601760134 -0.136826338926524 0.213813516938121 -0.328802617264181 
MiPf 0.79491406527911 -2.35321267126148 1.47848779810963 -0.134245708199665 0.814597655422422 0.47202865250849 2.29103318606338 0.668498618128576 -0.171187011420392 0.920112697073238 0.554954125626658 -0.226681821477243 -0.401523678377446 0.607216856385395 0.295792380995373 0.0901710714151613 0.019275606443286 -0.334552178539911 0.477486068249372 -0.171427679684792 -1.07474225017353 -0.811440474682894 0.0559562584444616 0.582274563953706 0.626725287498674 4.28786558028078 0.391058937314919 0.360888163441611 -0.393388760502313 0.364002507277164 
LLPf 0.806652340102775 -2.02761068138991 1.43577425496079 -0.139346027729337 0.647631546380521 0.499958515477705 1.90022251121885 0.4772630231152 -0.220417286115317 0.693356064764911 -0.147425218443962 -0.456391782900253 -0.376978195904873 0.842411311707901 1.88307417541325 -0.0232880792537756 -0.031634424438713 5.44076229809734 0.206988760118569 -0.0572139458110948 -0.991927948618551 -0.642568811380264 0.0570081779187897 0.835948430950469 1.17036119994808 2.10109846211066 0.199633726231335 0.370886410087922 0.360909052020518 0.522852499109451 
RLPf 0.754722512437706 -1.91546152607232 1.5674458711622 -0.128084567407406 0.685612489204207 0.487424937911309 1.33212710404884 0.912191820930168 -0.0202615859522144 1.99584104393763 1.96407802914337 0.359152099937449 -0.4171151553928 0.351302049534416 -0.132689614638442 0.326737099393776 5.46712199540636 -0.0904211916161168 0.722833574661466 -0.114236534198149 -1.18302652458212 -0.734059965677657 0.716961603983287 0.315401437752751 0.28977057365082 1.63195414189223 0.947544405125149 -0.0123818684435296 1.05020656339407 0.228831312157589 
LMPf 1.17265705654742 -1.38666130304059 1.12908096092406 -0.0484353454726533 1.49494217578331 0.717389390957869 2.37119415505695 1.31829333061261 -0.0943157825868292 0.819156670203013 0.334008820692003 -0.397624651603778 -0.467440799735448 1.15348186648026 1.23580386343092 0.160962744942094 -0.0480416295597069 -0.0365430172263148 0.16288056334725 -0.0637684731230176 -1.10637115577464 -0.84354241050118 -0.0276192456401474 0.789944254193772 0.799533850140351 -0.767222325891351 0.256660282216498 0.905905358918164 0.625726362285709 0.272646299456973 
RMPf 1.11784216073805 -1.36981187962138 1.16297676876776 -0.0181352722763062 1.36568606945187 0.784510407871392 1.93973149212796 1.98641311581707 -0.0270559747163648 1.53567802326874 0.668995093026843 -0.159705776473337 -0.457255693045381 0.838003450619965 0.514001304493491 0.392487512553457 -0.0162248237423177 -0.104085248946369 0.471306939954061 -0.0657636958043963 -1.11566000029255 -0.807181887016177 0.107139945332552 0.659024824154194 0.598506934437032 -0.051585324363268 0.401573621167809 0.759452437605179 4.68521809095824 0.189225182430759 
LDFr 1.19802033829162 -1.08517023848556 1.04761973365479 0.0329061392801752 1.5021429044194 0.867886581275463 1.5255773786834 1.11199160320979 -0.105179211332462 0.665280130608789 0.10698592399668 -0.464113516934583 -0.470412902582922 1.95900345117833 3.1804887896336 0.0868105566684344 -0.0790357947957071 -0.350280332873557 0.0858649910078977 0.131179126342883 -0.974410891349362 -0.614073960923918 0.017679396979158 1.06100910761247 1.19971534161304 -0.507239764117494 0.190634442469873 1.33564551476259 0.547124712909445 0.234613062885285 
RDFr 1.09666448331855 -0.966559345370471 1.08846115365031 0.0891214692908364 1.07266708465705 0.888971071101743 0.919828545561395 2.19783178450826 0.297977600452176 2.81179356668235 0.943432220658443 0.399748523048886 -0.35032251859392 0.538477535049589 0.18674943370593 1.18975564079163 -0.097737197944615 -0.076915483660468 0.785144908483241 0.0527810450735157 -1.08410515627917 -0.527040306790907 0.914083469296058 0.545106186005324 0.493735660228576 0.0805145886448334 0.254918165617316 0.445033704781508 1.05357703559809 0.297589469046741 
LMFr 1.37842658302775 -0.96235539657701 0.890567917626656 0.15754716630545 2.22567868977499 1.06615873361539 1.32336774655237 1.55102789794433 0.0271406332903025 0.648060132750989 0.311449238466667 -0.3811148335334 -0.459583410068478 1.57918024213874 1.52120228142667 0.298753290440419 -0.0454569218106789 -0.073572977387015 0.149309582541469 0.165074114091302 -1.0628733193603 -0.596820242817615 -0.0501113847406148 0.849837962695048 0.789704931671371 -0.344854993284099 0.179479848102522 1.73512074559647 0.741662902640489 0.260550611254039 
RMFr 1.46428707834964 -0.908020079631431 0.889440662889526 0.204485158241827 1.56003816890813 1.18095652704486 1.0562544584179 2.61324279393856 0.311062250322111 1.25687146515803 0.525244907713294 -0.0805253682633111 -0.361260559212128 0.885568357673823 0.569636102290815 1.16893382720086 -0.0228271702356631 -0.0357370742226156 0.578232400427916 0.150710758347995 -1.06964745815201 -0.495666728942823 0.234472112593853 0.677365329386823 0.600794051364628 -0.0709643878662695 0.186655703076414 1.0229030565466 1.10235299885168 0.350865071388398 
LLFr 0.618879997051728 -0.784459379234832 1.36490016083208 -0.0605698038338545 0.601350957237298 0.519883215663924 0.601597159886613 0.379135296836137 -0.0871731893098408 0.33024900746185 -0.535456459402201 -0.611726842546851 -0.352959485046614 1.32076377311699 1.63617919455174 -0.0217030359826417 -0.0933263362153343 0.155417916722188 0.111655150062257 0.211456762346053 -0.441083624772504 0.0935301042211143 0.0234303715869256 1.55120878732519 4.14695014199467 -0.1604667158717 0.0255592167070809 0.118218275188338 0.13884740409617 0.541405210989524 
RLFr 0.679534864187253 -0.671175007686983 1.24774320410809 0.0510449947991629 0.622404330178352 0.574628098547758 0.506987477955162 0.737772626488998 0.385905979156722 1.44149889901449 1.54219786080045 1.59380539575081 -0.217263487710084 0.179540166395926 -0.228879206630833 1.01445599936547 0.100806725134939 -0.0791976619544493 0.836547149994973 0.0869760263886743 -1.08566517638241 -0.401177870766913 2.68860738388802 0.28064649171569 0.165080614795255 0.185078495841165 5.12439111725985 -0.012471053976602 0.468820913722608 0.712000452885173 
