 lhe rhe LE MiPf LLPf RLPf LMPf RMPf LDFr RDFr LMFr RMFr LLFr RLFr LMCe RMCe LDCe RDCe MiCe MiPa LLTe RLTe LDPa RDPa LLOc RLOc LMOc RMOc MiOc A2 
F00 0.101928683469711 0.0603409288858613 0.122895509785379 -0.0512844890688908 -0.0179014010911141 -0.00303472893638596 0.148030019061385 -0.000658592053142255 -0.120239550397946 0.0506028230873623 0.0361972325312756 -0.153737166923566 -0.030821189400748 -0.00136305187648829 0.276514177725121 0.0307020038301164 -0.115341547497153 -0.0174875394354309 0.0826648027908089 -0.00439723312905 1.08045701147747 0.0387230553769188 -0.65776019002491 0.0341642175390993 -0.084606620084566 0.0191396954670415 0.056969537519241 -0.172508995944281 0.163366128245894 0.0802538736709171 
F01 -0.281201590536293 -0.0772055180777564 0.346561264638245 -0.0912645512332933 -0.0053259399047684 -0.014629156784504 0.0672231177613832 -0.0237317301358217 -0.0103404393226118 -0.0158944624198672 -0.00488480023503523 0.0791163456527782 0.0532593438457814 0.0139182463039236 0.0103478591627618 -0.0404928544793282 0.00745344487254633 0.00680179733308692 -0.0239033600922573 0.00281873458482613 0.0113332383050482 0.00742808364048408 -0.0142329825427305 0.0137861247698318 -0.00294158715631349 -0.0113304983019629 0.000959359399965658 0.0184687124139322 -0.00773198486717092 -0.0103319913441432 
F02 0.0263748022962932 -0.0100541784340168 0.0283993940677824 -0.0408532474126898 0.0137604320890734 0.00871729229659487 -0.0100464442880496 0.192331098587575 0.21504975320336 0.0286330362429588 -0.779270014599666 -0.586535458726384 0.0259926094950758 -0.00259709215037323 -0.330651640482859 -0.460139092134751 -0.0756999216022271 0.00817205243226187 1.95554904185225 -0.410420203600624 -0.674708645878389 -0.0343649127254833 0.88212515282265 0.392972605329106 0.0383632976915086 -0.0434169183207995 -0.386650738480978 -0.17261392163112 0.242413556030846 -0.0140570778672818 
F03 0.0164073103396478 -0.00153027276214628 -0.0104763444063696 -0.00508582420050987 0.00125815800272335 0.00130442104657681 -0.0760578619385677 0.048258479735698 0.00572066901678221 -0.0143452862534063 0.0754120806174747 -0.0322191389862273 0.0107273301111639 -0.000976526634857453 -0.0991130309708224 0.184903731366547 0.0923670346762626 -0.0091924767419197 -0.016271052726203 -0.360717377033069 -0.0307325924222819 0.00556818108910255 -0.364416232832941 -0.0165310571126831 -0.126393028627184 0.0123057821955353 1.03181552200475 -0.262034732338276 -0.0388337699959471 -0.00601830074390859 
F04 0.0455582224401588 0.0105118362302987 -0.0256307080111735 0.0456885041462648 -0.00137349407485453 -0.00244177906497458 -0.400291149814566 -0.0283938418074421 -0.206212617431181 0.0321314522124128 1.52943572486172 -0.161400833202788 -0.0201849524160945 -0.00169797503172814 -0.053825100533388 0.18939174208699 -0.0976037389296638 -0.00639006324684011 -1.0416413158319 0.284024995464277 -0.0864013563700182 -0.00814978996824199 0.196364093147359 0.0184529799730341 -3.66864207080849e-05 0.0162461930797239 -0.125732701991348 -0.132445145910501 0.0476324086241428 -0.00534120819362358 
F05 0.00552386480923446 0.00131181845801559 -0.00324565983207897 -0.0101457669189012 0.000425051616148418 0.00264233368367357 -0.00848776956987239 0.00390506195184862 -0.00348073476786706 -0.00162518817827251 0.0855716882349899 0.162743944945596 -0.00154602104732447 -0.00375606408366168 -0.122854782954292 -0.23833422756418 0.0430420301953664 0.0368413174018594 -0.417015640040613 0.847159344830478 0.0224477210581472 0.00622541321883358 -0.0884248759351018 -0.073045928716834 0.0192368978279544 0.011313118865719 -0.214437309805078 -0.0557325680688655 0.00507553179102959 -0.00514162103653272 
F06 -0.000692756079327839 -0.0380853440315148 0.0240601323587826 -0.0467976179616212 0.0134270910281984 0.0310599606496559 -0.372894217186204 0.258838830903372 0.166474166239149 -0.134201962576651 -0.2326357600257 1.09345370409605 0.00271325844941362 -0.000374748405909757 -0.0208089007764386 -0.533812501568597 -0.0274312638328008 -0.0288935350336342 -0.563275623413864 0.315393014883036 -0.0738881390722489 -0.0455787717401222 0.14281624843566 0.277049096072095 0.00260106700948279 -0.0479843090729349 -0.15038161475923 -0.0357253638610958 0.0367841092856169 -0.00409140186037338 
F07 -0.161646155933585 0.223775195994496 -0.0414881317074745 0.00308449443055152 0.00765946542681368 -0.0121993209641874 0.0335350716220932 -0.0380518894043165 0.0229504802433032 -0.0107010550328124 -0.0301784412382398 0.0298015221165293 0.0450687398828086 -0.0396846360962185 -0.00994250122269763 0.00137536434646259 -0.0050680223057201 -0.0068599536528201 -0.000546098151939869 0.00162282784647594 0.0189802124771154 -0.0227445342971337 -0.00518717476217235 0.0170511985506203 -0.00682148132154293 0.00771414888495122 0.0164590104645103 -0.0166659252648322 -0.000862651027718119 -0.0364612025405953 
F08 0.00703377531589888 0.0060875631644797 -0.00439359373116659 -0.0111418727792934 0.00257528427124534 -0.00256076569716601 -0.023216418369863 0.0634744537609601 0.0547405994565659 -0.068023772507897 0.0232167215647912 -0.254948705870057 0.00233200224868758 -0.00488400107214396 -0.107598166598684 1.21387350432078 -0.0263218439949909 -0.104969017428539 -0.257848018382724 -0.112587691495378 -0.0429978302125902 0.0205437470596363 0.111461858260976 -0.47401685028658 0.0121797023949396 0.0700094722915222 -0.0327083634582416 -0.0521234338641959 0.0072899647326544 -0.00562369602156684 
F09 0.00264328341561376 -0.00668067327436275 0.00484336215797873 -0.0275493771447569 0.00441404397157692 0.0110493696066432 -0.075076559491459 0.161448406045894 0.0384512891051161 -0.0120569136833179 0.117556379864067 -0.0723279897824825 -0.00270147447945197 0.000709503664791358 0.0943494339988896 0.141182381757002 -0.0513228704713196 -0.0105757418905579 -0.474465666126959 0.504103409133258 -0.0581331323070474 -0.00259366505749598 0.164791709593363 0.0606361698817907 0.017154290217284 -0.0910464712999682 -0.520623699467721 -0.364737529602638 0.453963441599336 -0.00288375016376587 
F10 -0.00485527866741946 0.0126667707992369 -0.00323860170851728 0.0407172265287341 -0.00074603418073787 -0.012650541892994 0.0640952366810868 -0.145524642380534 -0.00647208501113012 -0.00136214204136856 -0.0271357753915392 0.173751125257866 -0.00730676214093791 -0.0055963401852062 0.0572787105669849 -0.120023655135643 -0.0500925991553914 0.0497544830270591 -0.0686997135092058 -0.0507105711598329 -0.0206208568345772 0.0310066541401981 0.237308428397556 -0.428768228244669 0.0634339650540543 -0.108793988016402 -0.70603578961305 1.0822101751874 -0.0419774359058998 -0.000803509401013104 
F11 0.0036908632826406 -0.0128499808220739 -0.00178819343307481 -0.00816957954393046 0.0022278790930661 0.00251258409776929 -0.0284651868286826 0.040654489556598 0.00714486890045898 0.0273229332552194 0.035204685519488 -0.0620096386533191 0.00612723652434813 -0.00102534557479654 0.0767339002538355 -0.369370357405687 0.0147308745966138 -0.0674017416630312 -0.0573811625871693 0.0580443553580088 -0.0544275698602551 -0.0760175595117013 -0.0798885114376169 0.88503496057156 0.000321258136699971 -0.118081268702633 0.0972630777282359 -0.348411777797789 0.0352637700714107 -0.00612132053663881 
F12 0.00711978032629883 -0.00380463965595339 -0.00288626931013729 -0.0179701341371848 0.00267694829274207 0.00680211432533442 -0.0756335490711979 0.0951558992411686 0.01943787060293 -0.00928147264421198 0.0841716894734137 -0.0814577492188435 0.00579635056187317 -0.000444562890022205 -0.0784367631855866 0.17626127988805 0.0310384668455092 -0.00584157494621434 -0.104027700390931 0.0425929092312818 -0.0409918140970926 -0.0555908872807439 -0.0924672067848334 -0.0541748613773083 -0.0781298026276881 0.349687359497784 0.425378986497324 -0.499473013996365 -0.0223240035455402 -0.0136379897119941 
F13 0.291956642060925 0.230106712770634 -0.0321185742133931 -0.0530576289753602 -0.0114293581604636 -0.0184991320380506 -0.0336763764456293 -0.0795833505444496 -0.0599146179190368 -0.0485979144741994 0.0882826574738751 0.167587844141309 -0.0464801869564674 -0.0529121162457498 -0.00372015795973857 -0.00811043643438723 -0.0064120447731235 -0.00226916445587017 -0.168223595271324 0.0286804005804725 -0.133202819314361 -0.0659250679347343 0.105253209606282 0.0269572678312439 0.0144732049229368 0.016774562615037 -0.0156869551306938 0.0193097394765683 -0.0337553363815656 -0.0424453060111442 
F14 -0.0485984754067214 -0.0118876397761453 0.04739170542487 -0.0579614071126758 -0.0287900364460947 -0.0175705639425197 0.805447615613859 -0.193301075532634 -0.352760756983455 -0.0078313730716097 -0.0932033325769151 0.0158880426082454 -0.0218123554068622 -0.00694106149746177 0.00687627971318173 0.070712041606696 0.0862181957247581 -0.00403057363260473 -0.216650484057211 0.0911985963740697 -0.0694883073522818 -0.000200104074654163 0.0390984562626095 -0.00934381126879695 -0.000244555036768336 0.00547525735861099 -0.0178675365556181 -0.0259257470726524 0.00697345366574174 0.0055044947323773 
F15 0.0201564372035703 0.00286717438520254 -0.00324618819253372 0.00102421485703046 -0.00309417280471393 0.000975140160633843 0.0175736188685267 -0.00509646860827979 0.0063395590437189 -0.00279009318090402 -0.0984404760498405 0.0828990750211202 -0.0261398199560294 -0.00191291161392811 -0.112378878173848 0.00164202678354771 -0.174633098225326 0.00686507329550808 -0.0630494128913988 0.0309872729553957 -0.10541402151679 0.0043885046841788 0.742420206852961 -0.0667126005063922 -0.0572366761470959 0.0142297627814544 -0.251763016497647 0.0464386691648148 -0.00221473556632685 -0.00308743188106641 
