 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.836048714113715 -0.954601759051915 0.407150035920564 0.0992606143643427 0.366621776045667 0.109015301575767 0.380480112797638 -2.15019952822754 0.148311850019399 -0.4583697577447 -0.164973917997137 -0.0835011459025614 -0.378063747266894 2.1025553991907 0.759561707232914 -0.228370769418421 -0.175995707226986 -0.0611893243407739 0.198700893413011 0.102437822447761 1.16113170846323 0.700119035657001 0.865532776194188 0.312379303102743 -0.327954331304086 0.351225749155725 0.160493698525715 0.111308918180183 0.639461435927274 0.908575858000078 
rhe 0.872116084501768 -0.497478176616632 0.599942923954987 0.0316551928079669 0.292485015833128 0.0943603599527007 0.821747293823189 3.50752146750397 0.288653925997655 -0.364285645231492 -0.131205221555917 0.463492099464622 -0.0497878632039579 2.14349400648844 0.693273275748721 -0.600941363057464 -0.179173642255116 0.162132103174365 1.45955270694977 -0.0809661075343391 0.232782190615162 1.03738423766693 0.280852043489379 1.05969257346332 0.895503347397593 0.340334893324699 1.10781491750099 0.185981920152793 1.46215237296035 -0.376634540950344 
LE 0.797269628746751 1.47661421128526 0.471173742632851 0.0405974130364561 0.21243064562515 0.0363008388733834 0.51621035612545 -0.805079357694379 0.145886565790521 -0.277902027680403 -0.158888859369628 0.0449769806311726 -0.167355796119678 2.44141628389045 0.894226453633763 -0.431309623642233 -0.119684929631403 0.168897947465274 0.592504964081259 0.129220530787451 0.793739558815136 1.82782060183182 0.415655245261235 0.620534398474052 0.135810139217789 0.315809895204335 0.217888834102863 0.0750015291600237 1.43540363408282 -0.0422817425680431 
MiPf 0.959037863595256 -2.6585105368744 0.915509333304815 0.160686667508632 0.876631930990875 0.237223305000621 1.19404084553571 0.429874308027382 0.415430183493155 -0.961243435202673 -0.0908327629138245 -0.218362570353269 -0.579168250601427 0.549779946529799 2.2855203056554 -0.637678608830285 -0.104678696282787 -0.113536149684309 0.320012861627279 -0.096333406565641 1.07323449307596 3.96191687336818 0.629174333587596 0.369915881394755 -0.373372192836327 0.857250128045288 0.37647110608545 0.379196002118255 1.62826120015145 0.181601720636237 
LLPf 0.949591422951373 -2.01492939179513 0.771452993656461 0.21631112899936 0.911493526323028 0.26972617580067 0.704763518886169 -0.634267995816958 0.344736951716045 -0.872199336618371 -0.113325247644832 -0.220050495597476 -0.59206431968765 0.886529830159629 1.61509590021236 -0.362898989124152 -0.125014838069271 0.223748447719218 0.0405880773588373 5.41323022190345 2.66089587495716 1.61267666078235 1.17485664143961 0.577277997662706 -0.473841804982567 0.888735967739533 0.20846826835786 0.282836940069268 0.66742946349969 0.585734671862299 
RLPf 0.954551438647444 -2.64839481015608 0.885924449060672 0.142545343979642 0.619591898970002 0.241269696393828 1.68733236480056 1.70876634930282 0.561861773022763 -0.736741727041384 -0.201762571238459 0.279877358253043 -0.289809791255317 0.903131587192317 1.15149874882411 -0.664391051656453 -0.172861088692888 5.26318027016551 0.951291413222434 -0.189635479884707 0.511433374141306 2.16845791682744 0.437711099663563 2.35254984909567 -0.0100277590463438 0.67967181310272 0.641513830214568 0.292193858519786 2.67925194522061 -0.0685650582088318 
LMPf 1.03351355714401 -1.26628187994077 1.15172141079591 0.28823854049415 1.50915378342493 0.438988000353024 1.2436394067467 0.268057831688832 0.605492997503004 -1.26017230557832 -0.13277160289592 -0.434449591419405 -0.67942155342338 -0.357233860933285 2.71619371824518 -0.666472623004614 -0.109397043069208 -0.150529721178697 -0.0828048097462753 -0.135429105722595 1.78355365663983 0.569741139891858 0.891466660348729 0.387012847293768 -0.461603704011384 1.05613315348315 0.115308474376395 0.362207746510198 0.873728719176719 -0.229827287296372 
RMPf 1.02871505577505 -1.29028850705417 1.200633760477 0.306035850437705 1.16860371518166 0.440140362842373 2.26050447401325 0.671782309594298 0.876193748972704 -1.1797219522483 -0.190008651679917 -0.217412596562377 -0.471222100318843 -0.36761977648333 2.02690456276571 -0.759204912167218 -0.133857130521473 -0.615720750701851 0.243242370773459 -0.149263286837293 0.720102859022674 0.610994943179787 0.630632636357083 0.622861787225012 -0.347525272662185 0.97110539763693 0.0269989414177201 0.559050507791443 2.38924113295819 -0.0883745895511718 
LDFr 1.02368638192249 -0.828385753121291 1.06390449099435 0.3798101724564 1.83297748362224 0.506122034700694 0.75944957011859 0.0674578794805108 0.570543545945159 -1.18340130506425 -0.0491957408788949 -0.380733745161332 -0.703692781481847 -0.499987853376751 1.2747514713988 -0.210867359306008 -0.0661456467826073 -0.182804117206051 -0.252185921314138 -0.607836191463717 3.01076702844186 0.221618681850893 1.67941116736031 0.244413766790746 -0.408901788231924 1.50262821615733 0.0469604978968556 0.286478936499763 0.357351312952885 -1.03122521641244 
RDFr 1.02099088056953 -0.95224655523165 1.08476306371633 0.313403664306395 0.912503335733173 0.422385396323525 2.27737539217102 0.99814726352723 1.29777148988575 -1.11114752278974 -0.0285042070482339 0.403327710435408 -0.274663611396048 -0.311258812258856 1.02584007046269 -0.620520454033754 -0.131105909039206 -1.23327898064474 0.796614485566029 -0.243699383684661 0.308086114653261 0.42880841510431 0.507040218383622 3.62029659602968 -0.184182710124949 0.630789344200774 -0.906962794494467 1.19374825720506 1.45595310660686 -0.180168739531643 
