 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.984256692587559 -0.430018047907568 0.941757335652098 0.0142251561216877 0.198470218998153 -0.858234828189006 -0.107931029655829 1.16552698417963 -0.0794769652079661 0.351408477558221 -0.197137690614661 -0.135163100675904 0.0239045192603407 0.127285074122514 -0.0424051834527866 2.611919128391 -1.19604811757717 -0.354896016287207 -0.275733829473457 0.290800838422007 -0.284510268419426 -0.0733847257420118 0.132589198589249 0.11195477608602 0.611457126017825 -0.28469287176398 -0.197574368387253 -0.795397551259695 0.0971365102860576 0.657282937546431 
rhe 1.64356982551157 -0.40688446429398 0.912511380428657 0.0190184291084756 0.295512486290948 -0.444537705729971 0.0890308155466066 1.12812610477255 0.633056981388441 0.542788384736532 -0.148192002939143 -0.422510107175618 0.601469911246397 0.203879898502368 0.00716664516360218 -3.85410425804211 -1.4997898302876 -1.89750529484921 -0.0625068727742254 0.982900230215515 0.154939941377427 0.9962060353971 0.883444329580506 -0.373325587558854 0.67651398953204 -0.971296096375922 0.693946821062608 -1.27156932194937 0.271762256627301 0.563408903651681 
LE 1.3387999518385 2.78970001011783 0.986169627708588 -0.118935868793542 0.0496879362905002 -1.16033100195149 -0.14468355239374 1.14470673816634 0.00451442313678306 0.450876188192225 -0.265383903340241 -0.325076200104243 0.0515390668381633 0.700656391725899 -0.0843527382627336 1.25738417414765 -1.50325872859679 -1.34254682887617 0.211690534500215 0.662383009521395 -0.361237007722632 -0.0108392553002569 0.693639073067175 -0.191537415632495 0.698604817608214 -0.657109019710725 -0.205776032249399 -1.4886500347342 0.233292890394334 0.72730818995391 
MiPf 1.15578984450057 -2.32659389497331 1.0349861966927 0.825075479053533 1.68786694240429 -0.176462274730002 -0.00401701017085009 1.11001758302044 0.294182806301519 0.552838201199869 -0.0160952792389474 0.0262122014775933 0.537767568659919 2.86991076591806 0.254147921769772 -0.0963923629788907 -1.5188164166203 -0.554350696401552 0.680674994348162 1.04032435914055 0.894425564650441 0.284356526763636 0.454212342742473 1.32346373852875 0.800887425998345 0.119783831098414 0.215906132726054 0.741346392892531 0.055037975182924 -0.452290631646269 
LLPf 1.01157174351305 -1.97554183522155 1.06772138536933 0.646235022478486 1.09228606695495 -0.256488261105873 0.00873505353881985 1.16083885033252 0.0191766767101541 0.463111707240286 0.0395196608952375 0.297447773084074 0.339711977319603 1.61013438743733 0.176741091868342 1.0144065328641 -1.13548732258896 0.656431202346088 5.16379079154949 0.561885891781897 0.281215452260765 0.108266076712775 0.0560016376624232 1.89804966617383 0.667798581200851 0.441197019713614 -0.0247417660003411 0.953658833761261 -0.23594041086697 -0.314607009023644 
RLPf 1.21116393708317 -1.79679962399701 0.966367355861877 0.866107252325519 1.58698833473567 -0.011621236481364 0.254544307709208 1.27905410371919 0.849769331833112 0.575447619509275 0.0922930491403584 -0.104125089162006 1.14594462292621 1.71982159237812 0.357728409581451 -1.11788635663821 -1.54982832408291 -1.17816047732415 0.271477085724197 4.39280211236314 2.42974482436317 0.802944369636188 0.648811651162179 0.531892641095425 0.827516241230781 -0.372978031183865 0.447028051160942 -0.0878990963007452 0.450158991227588 -0.629739315305368 
LMPf 1.05141412166637 -1.23813053022885 1.01137363690324 1.27638857398626 1.79491899706447 0.241738708299896 0.228237633272076 0.884762726759561 0.2518294184398 0.601868824575252 0.231432918428215 0.53433794035542 0.598501160244458 1.70380379118598 0.394836810313785 0.0321234157579826 -1.20164208608964 0.0788986179763737 0.827807677805163 0.797839082740725 0.853652562139964 0.0190231956742632 0.708229471915502 2.05775595950692 0.71210666739728 0.297684496742816 0.059267923925696 4.20555977171184 -0.0972698966084289 -0.96883346186206 
RMPf 1.07124545573548 -1.196107726329 0.97371653222224 1.33232387087754 2.09619824619487 0.338533310514516 0.335918948200324 1.24657352354491 0.549176725746988 0.604831464256221 0.235198192223719 0.288908221968695 0.830565001455907 1.54805530089481 0.459733463969426 -0.312618807465905 -1.34036416461752 -0.551523970899034 0.475409748362487 1.16329974681954 1.65432558197652 0.025731060892435 0.698948702498261 1.19505471863295 0.979723826371682 -0.0180747493988247 0.201689619494291 0.829108262179811 0.23920754724095 -0.853042076930347 
LDFr 0.950413215756157 -0.949819314903062 1.06048722496149 1.20567216164065 1.34208250417787 0.404211782761447 0.299273257406474 1.02369851370762 0.115021332339637 0.62635630557406 0.378404094746025 1.05561347979465 0.518448449637417 1.21544453615676 0.401727617456065 0.219466690703364 -0.83013071254814 1.03417640039564 0.809793363924779 0.569616909259139 0.476544764697671 -0.0198561497449881 1.21711879832717 3.48310311827488 0.914473592825298 0.602203782004111 0.0365506980131099 1.13314554445229 -0.560884997656403 -0.97418146295709 
RDFr 1.12014499993773 -0.901782787513983 0.970967973425213 1.37967933994959 1.58202468735799 0.495012687503236 0.762062495161574 1.00618088670281 1.0793785281349 0.622561574554589 0.420495279059488 0.217130149122119 1.57770407719516 1.07122332475683 0.566222898868344 -0.557063026492881 -1.31083296856409 -0.822604118056738 0.303635577583647 1.10481587653697 3.11106267307823 -0.559252948680989 0.70960526833203 0.869554774626902 1.00494562153899 -0.198068823689526 0.0490765509584753 0.247360576366233 0.747223480976466 -1.28818206831406 
