 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.426393122741945 0.636106368089042 -0.734401946652413 -0.108839047535942 -0.239943613692267 -0.649996972511907 -0.497523293019623 -0.247415969252859 0.535011773470538 -0.142097007110966 -2.1949579506679 0.362715054271116 -0.256433381168217 0.332683897171725 -0.158862737127625 2.21033786836403 0.0135354747109655 0.405986151530946 0.0235966431323971 0.540435850058229 0.850944398840867 -0.168083211221035 0.728573278981633 0.154453749621773 0.167112930884721 0.559063206349325 0.738746136681024 -0.49660418146595 0.470765671126046 -0.0920819917050231 
rhe 0.500309313811478 0.443503337192974 -0.98162967716793 -0.135643004680081 -0.239493056384809 -0.690018497611057 -0.326866170754828 0.115170598570601 -0.66788926618058 -0.238326830599321 3.20046713800796 0.135035308245128 -0.51638388608785 0.980898627523733 -0.229977900728836 2.2288199341632 -0.0974419721202952 0.495165802502767 1.16585064510685 2.52180601153789 0.600249381181937 -0.432396739136194 -0.540592626863798 0.65574345497405 1.25382047805854 -0.401836250779475 0.0998919542843708 0.967533009631907 0.698535218596538 -0.423735729027282 
LE 0.326791871108809 -1.41647624640858 -0.834262443271849 -0.141973426040663 -0.257542040093452 -0.631019536620324 -0.353077402680968 -0.148404928632097 -0.0936968582210042 -0.204869729445493 -0.654379313875498 0.20041500413807 -0.418633026783793 0.469665533281758 -0.221631158117197 2.62435200150611 -0.054441216847351 0.368902944894845 0.353627182390146 1.02040346587549 2.6348318737644 -0.317874784067509 0.131269123870745 0.230730631574879 0.606564166663935 0.550240368054885 0.497303180271632 0.285624101775253 0.483035836067067 -0.768171669104611 
MiPf 0.78790905097024 3.04753781828317 -1.13348871339581 -0.155964394327498 -0.330837029150875 -0.798395837028627 -0.788367277322721 -0.47426425804605 -0.629208787474074 -0.203478342303243 0.708760853318671 0.841442523655186 -0.511717797787579 1.15073781667711 -0.183739815258585 1.60499372144469 0.243816472941837 1.29870998391532 -0.0400914955720711 0.722161708469715 3.31581670628607 -0.437774582027077 0.127282554747215 0.354248359695358 0.285438666990211 -0.320333880354835 2.08990661532858 -0.795812415610464 2.13052649173848 0.490018804194976 
LLPf 0.7571865679785 2.39785882637368 -1.01381974976455 -0.103183828263645 -0.316980694588884 -0.744817528459482 -0.779331405677489 -0.467141729961322 -0.101074286058523 -0.136114296435313 -0.901656144072175 1.04938281818991 -0.292481635205174 0.642448600194659 -0.159208149299237 1.61429348355526 0.228802515489277 0.889108813403202 -0.268398974536624 0.288165679930548 1.93731849828008 -0.229126298606709 1.70655653508392 0.120113555031196 0.0622806974489744 5.18056627470212 1.77390116366883 -1.22184355177142 0.714678881574951 0.542289317866902 
RLPf 0.825105958676007 2.18428798376372 -1.16929854689997 -0.128974771885168 -0.308727464127733 -0.796043363319047 -0.704391937220152 -0.253809408566626 -0.907450703213477 -0.20219165852275 2.11315174046704 0.466474117277649 -0.597692834274761 1.91664023718494 -0.201949449138764 1.31507155763121 0.275080363820528 1.24076377158853 0.493311995055877 1.48568162310591 1.71866530045269 -0.494521043246765 -0.485711579202433 0.999075439589387 0.55075497401462 -0.655933963325965 0.84432467457092 4.87834024196111 1.26222842615816 0.193861294476776 
LMPf 1.09849972860568 1.37758176772576 -1.23912246329584 -0.0427334009279493 -0.373516932871356 -0.795525322714563 -0.973288253005546 -0.661338423698784 -0.875621592185576 -0.0571232249633942 0.36854986704001 2.00764050183232 -0.193699733998525 0.966812356556941 -0.0217089181400965 0.247098744199173 0.596825040993584 1.61821065482976 -0.578009125286062 -0.237511031727907 1.1842399308148 -0.486588046801669 0.436781653021017 0.248214367951283 0.0672505191396368 -0.257252403423898 3.72926724557542 -0.580739409042637 1.07770552979524 1.24166746529794 
RMPf 1.11014623831003 1.36580087558794 -1.28627745995143 -0.0808796114156325 -0.372921075345603 -0.831932135086503 -0.936699151527304 -0.634319455227906 -1.07983602159849 -0.0941766481822973 0.837648351690309 1.34837875883333 -0.496119990367975 1.67627070951068 -0.0750850967170895 0.203655377552494 0.633441028845374 2.11816749017499 -0.402134076168317 0.0515455530898931 1.19234106212189 -0.561281098425751 -0.573151585913713 0.724858236915138 0.159472944310497 -0.488753358935761 1.85789457925866 0.205677093875869 4.33606413812352 0.835518572434158 
LDFr 1.06846952145966 0.864635652118964 -1.0202083010872 0.0502578906090005 -0.311334376142355 -0.638818581932263 -0.884939162916487 -0.528469539767573 -0.542957311787199 0.0953997626788421 0.0112750590920714 1.94678556744561 0.531041571907481 0.543943705403308 0.0341217545751699 0.109759344316795 0.547282807477705 1.05063665943506 -0.675976324348506 -0.431731962749386 0.609493922538551 -0.416332270678202 2.37331804482519 0.0457278084337036 0.0512382250825402 -0.821972974025056 0.643111238976337 -0.545761139135356 0.52794467051876 0.706604009331659 
RDFr 1.15100075807255 0.813524600610652 -1.2975133017504 -0.00186628086597321 -0.341047357181271 -0.784584000976701 -0.774534678456739 -0.304450415351972 -1.23306173109968 -0.0547944124294121 1.02739259188867 0.809184334506394 -0.580286391566354 2.3612309516152 -0.0188504163956248 -0.15860987072665 0.949882279304396 2.02512870364974 0.0804554924676369 0.323589948090081 0.511442329840857 -0.433209658077944 -0.993618336257374 1.97685672286066 0.182734144274019 -0.391897068595865 -0.180282725800394 0.360872124528793 -0.321765070389094 0.531145535918874 
LMFr 1.29488492503542 0.696457991995118 -1.30037997631136 0.152915019784112 -0.348618937836977 -0.640091939467803 -1.00898653428894 -0.584755465180941 -1.11136198147955 0.246515928288927 0.419839119371594 2.70238915412911 0.459162932541522 0.661840792647939 0.375033273356795 -0.431240506745044 0.92777828535273 1.40280541801263 -0.993308530442166 -0.842337349975475 0.40712607608135 -0.300421796975924 -0.344262888874293 0.0488175825192819 -0.0290237034524637 -0.401392946289517 -0.130698054099975 -0.140701373751159 0.502985133353542 1.68144870639432 
