 lhe rhe LE MiPf LLPf RLPf LMPf RMPf LDFr RDFr LMFr RMFr LLFr RLFr LMCe RMCe LDCe RDCe MiCe MiPa LLTe RLTe LDPa RDPa LLOc RLOc LMOc RMOc MiOc A2 
F00 0.0985671662685579 -0.0197968744227476 -0.190756044320986 0.271678257159842 0.043149743764697 0.0894720082270815 -0.0863940481290529 -0.275791195153679 0.0071992642694023 0.0124138171356451 0.0198644594201398 0.0810389756768247 -0.0221497968185165 -0.0166114815244623 0.00914144133234237 0.0293689272782843 -0.00799239619929562 -0.00509360144165892 -0.00654152977449908 -0.0199755789664547 0.00371361252931621 0.00290205030812814 -2.74617023941105e-05 -0.0142354202855375 0.0170520251849945 0.00215290501302868 0.00662933613433237 0.00981085670731646 -0.0117069712974569 -0.0228442123296973 
F01 0.0593375249848829 -0.0421380044392008 0.057330391021329 0.0866872735886642 0.00413713305052853 -0.00659585265821843 -0.299525105037343 -0.0438695320235595 -0.0229593159764863 0.00131233100618687 0.363375872813278 0.00894864888659699 0.0465580669415589 -0.0176517150086711 -0.14055895422351 -0.161204468539723 -0.00873344648326946 0.0367681073895532 0.204025773425726 -0.230489047272163 0.0670501992195823 -0.0371707823813298 0.0313020844532215 -0.0326665297937925 0.0783603208333887 -0.0640435965693404 0.00290920457531078 0.270199087172312 -0.0351547977802509 0.607823464658957 
F02 0.00265139137385708 0.00115592563484996 0.0131742353237623 -0.308846824264203 -0.0489829855288918 -0.018593496321437 0.809465310975254 0.44490623510519 -0.266829705497578 -0.0811300165634438 0.310879445240805 -0.567909394338371 -0.052103404431043 -0.0162648954907778 0.221530548650903 0.593692495794766 -0.0914823017724519 -0.0453953820035679 -0.562950187037165 0.160717603458145 0.00686934617353561 -0.00402809187764981 -0.0740952284494326 -0.101192888476744 0.0202593503041554 -0.00128720788599744 -0.00501053042554289 -0.231203613601606 0.031463291340519 -0.0124311788790603 
F03 0.00384096377372603 0.014862054805042 0.0256665447311588 0.000527688847510458 0.00205299219669547 -0.00920417914633622 -0.0404683997824474 0.0158329288860542 -0.00223851284711064 -0.00572708712087694 0.0200836665758081 0.0947456137158071 0.0250730835027981 0.00201121725735775 0.026023559133364 -0.0795464397466885 0.000966160375522274 0.00924449118991532 -0.067177607149578 0.152124108972287 -0.0164420707221091 -0.0397948531347236 -0.0158673449370876 -0.105909330671151 -0.106075910035092 0.513341634027286 -0.000330697890832594 -0.166213953013871 -0.00497095451341525 -0.18181675993183 
F04 0.00934374485079024 0.0192335974233133 0.0124075881612033 0.0500494310965773 0.0163928568046798 -0.00138265800352106 -0.370401974430014 0.0836496988588802 0.0861098306947419 -0.0535706165480324 -0.254639767056234 0.200181119781919 -0.00616883864194573 -0.00780958451998756 -0.0786202696563888 -0.165126077509987 0.0106956777284549 -0.0348343614569354 0.779349462577021 -0.119095487456468 -0.0201455387507212 0.0313945138099792 -0.0051817633364042 0.0893771087535759 -0.0631667917207384 -0.0446402195692279 -0.00197689171283192 -0.120952960743346 0.044843597050407 -0.149693481275493 
F05 0.0745572876984166 0.138525479745703 0.157440959324378 0.0528507163247475 0.00850984417902512 -0.00400273286123149 0.0506166440977001 -0.149548248171086 0.00564570114216253 0.0200180476210713 -0.0693551977244803 -0.0351767999806403 -0.0341177892318463 -0.00741008109088644 0.0537634367279963 0.0314250707897687 -0.0144084232680351 -0.000498418617283283 0.047606955424885 -0.0220712621171694 0.0025973400534511 0.00773206063292159 -0.0253747145145356 0.00205795612709524 0.0418390227955118 0.00807542972983872 -0.000110160591198631 0.00737611542886887 -0.023906489883612 -0.23368161090727 
F06 -0.015127594349227 0.0125686309542908 0.0192802005932105 -0.0123992900091588 0.000918493538006372 0.00212780383512059 -0.0711829673645083 0.0386312270341155 0.0240354263095027 -0.0170101415394511 0.0348504515882737 0.032390956654924 -0.00045565661503043 0.00229418287201751 -0.259509189307679 0.0168858018761169 0.0339181098245752 -0.00742543861218146 0.119408942355028 -0.134809787588827 0.0907106698649886 0.00518322977473109 0.0836790697809642 -0.0110425822093414 0.316706401652012 -0.00059450308930904 -0.00483976877063602 0.0792153506428886 -0.126104218163163 -0.132954093943216 
F07 0.000162994099340225 -0.00195170737908164 0.00622983533605471 0.0259256048460914 -0.000955746247060907 -0.00933059612550795 0.0404848922662298 -0.0589493237235933 -0.00608271354338856 -0.00474544395114062 0.0408617081262581 -0.24048968065044 -0.0056440401353978 0.00549583091066814 -0.0016819260664017 0.725154707561617 0.00321858061263804 -0.0658859424274438 -0.215124939378708 -0.0765294201423598 -0.00211401621202085 0.0343966128444019 0.00166782441089557 -0.0557097501110226 -0.00396784605600079 -0.0304571175926617 -0.000194761064248722 -0.0860821189493968 0.015965419689679 -0.0200966045378639 
F08 0.193908924608311 -0.167568324446304 0.00191794659392361 -0.076188504769957 -0.0107642688975471 0.00675352350582722 -0.0433599902398666 0.114977684811866 0.0241140313948256 -0.0124641451169356 -0.0278090251229347 -0.0238330505274817 -0.0230071240815556 0.0117104636792769 0.0120703698267583 -0.00431458190816396 0.00076029073523402 0.00240661570988654 0.00583485655835246 0.00902422299701549 -0.0119332152936203 0.01062133465168 -0.0141350216241884 0.0171415507534903 0.00238858558332431 0.000453230131310065 -0.0001445284512574 -0.0213399729940345 0.0029735258083267 0.0702631350137257 
F09 0.000389979681320965 0.00917743664204279 0.00282425628245241 -0.0219822655429776 -0.00331313352752812 -0.00438301973233655 0.0208830257657183 0.0939701609371965 -0.000874133888257977 -0.0062780243128977 0.00609191362606092 -0.0449436271812151 0.00614327924995081 0.00463313830710399 -0.0327962941667645 -0.104609479984109 0.00930161702329815 0.0194203846767263 -0.0347794445357573 -0.0561598019832661 -0.0158526168442304 -0.0149900618466704 -0.00218786258273099 -0.10211317597899 -0.0811396188681238 -0.155469098740501 -0.00486105725307981 0.552716026099226 -0.020833554826252 -0.0724243806369521 
