 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 1.38412277444181 0.699417286195112 0.534347411474775 0.0730220073793391 0.0959721812051783 2.25367603775807 -0.244080081970479 -0.322337805019702 2.6177054611011 -0.0391418816158813 -0.240186015257256 0.082263773262621 -0.0440107822732565 0.757334295754268 0.0716904854812571 0.117674707794845 -0.0354968393249499 -0.228759596593737 0.272645487959739 -0.189184477658415 -0.067162768361223 1.70362889820005 -0.0547181446983978 0.102145355944717 -0.344540974637553 -0.0060900358388861 -0.459655177996339 0.66330087243652 0.350211574144715 -0.131027839353194 
rhe 0.639539102611186 1.18421018314184 0.438104842425826 0.101946154434242 -0.0125969871349981 1.90175286163535 -0.745807897861933 0.0650794551926891 -3.35127092789246 -0.502577481170245 -0.483969718462002 -0.0932706417481748 -0.310717977340597 0.0277983555832872 0.547080703801418 0.559841665186497 0.258932601661582 0.264401537255505 1.41385925856958 -0.39195081354857 0.240603908467635 3.09885750448524 0.211130078570878 0.231812631618453 -1.10688648440138 -0.00810297520406384 0.418585718518606 0.561671080715831 -0.0524576177213576 -0.197095209954712 
LE -1.32001043846252 0.893543234400888 0.377050741777187 0.0556512940282991 0.00108156473954682 3.12712176082018 -0.407123135934099 -0.161743089401479 0.671485321623363 -0.131613525223727 -0.338995729815865 0.0254070338498362 -0.208325189802811 0.291983138509974 0.060685447535465 0.239320389197241 0.1542903655222 0.0334871561654625 0.511501396289667 0.215303827284531 -0.058731111483187 -2.56947869590975 0.0434099153176665 0.114542645300821 -0.376318374129147 0.0324548970110678 0.615366320538754 1.01808875321296 0.249994639967673 -0.152017865738057 
MiPf 2.56425163729286 0.970128124095988 1.53612018454417 0.352644630956135 0.546604370379349 1.4280006008329 -0.204299960775277 -0.582745062795717 -0.879471677086868 0.177611210517906 -0.643148244704739 -0.0818534628529374 -0.302256270780628 0.481656591259396 0.647043989710632 0.503073225913848 0.350059433925484 0.482786291778619 1.46278002595778 -0.532363100316334 -0.233120686519244 -2.60789081526528 -0.060997267476847 -0.0552789212444209 -1.24451982106675 -0.0699881878320498 -1.10080935623644 0.9674090341853 0.0393670672384888 -0.073223108518086 
LLPf 2.45318223864019 0.782250995208166 1.15018820415675 0.260629906479496 0.325871724726614 1.73074219099594 -0.0111822547642119 -0.50296172370304 0.561255898959555 0.115307904139829 -0.324616531472708 0.0118759869939027 -0.24439995012878 1.79966880678313 0.353610481176649 0.271423799345507 0.25555852483969 0.314310730993456 -0.326461139074933 5.37933213342621 -0.183710892619622 -0.848118164631521 -0.122916045392567 0.196798849204267 -0.925292847851795 0.0136534909550885 -0.951314625352728 0.189994877193631 0.0645504398488543 -0.129739121177813 
RLPf 2.07155411258753 1.08777256928734 1.12074509696731 0.333517957323755 0.434309593405617 1.31423415824889 -0.382390979115502 -0.170226845426099 -1.82172248204385 -0.0735701663504489 -0.609015379508778 -0.138382090289559 -0.335877414446541 0.188288183804016 0.908179282834165 1.98420717905464 0.309179443969139 0.380399353571515 2.33685325023044 -0.537359040331437 -0.101489399275414 -0.638167362380875 0.00319810733620482 0.172517889440142 -1.43636571164775 -0.0371040535605372 5.14205405359792 1.05092316636142 -0.0606073984096532 -0.302162651802212 
LMPf 1.26557780789243 0.884140396806708 1.97177273586969 0.513829348774163 0.985501244391987 0.489847123378253 0.333601557836934 -0.490659928166738 -0.334031912358402 0.523941907493117 -0.28824955275331 -0.12804919471299 -0.371540223288791 0.929928526421529 0.685843145966746 0.585260887832762 0.582245047190737 1.23234398214955 -0.599040708004063 0.200700600691197 -0.414691873625802 -0.706955731914586 -0.13617183279473 -0.103436413137897 -1.14972200351777 0.0846265490254813 -0.424881793444662 0.83828172238481 0.144793280396084 0.0137732164796379 
RMPf 1.16604566029255 0.994937270922175 1.90571923756401 0.572521734816232 1.18678224895643 0.344734574931715 0.26520158418384 -0.350755531167077 -0.703152454711674 0.511796600079007 -0.489987455795792 -0.19575376769024 -0.37266428418669 0.494156117785983 0.847832195781478 1.06971126862635 0.424866104935868 0.637316707609152 1.84213482276858 -0.0611081204077028 -0.859599395624523 -0.644290568113695 -0.133860277716061 -0.0145956270785496 -1.32619818821239 0.0704904454079303 -0.0828729599891817 1.72869317364983 0.0548207630377184 -0.0676010746278595 
LDFr 0.987504817777281 0.817160049467919 1.56245847408866 0.494266346062218 0.938146402314116 0.380370030740132 0.595996751640742 -0.319913301291669 -0.0057569577923012 0.515414896409264 0.445540944390107 -0.00284193107502592 -0.380641491832521 1.76268137677967 0.493159788025033 0.568725519871295 1.02414468044837 4.29808003687915 -1.13687856894138 0.295791622611243 -0.399979371554489 -0.206571007804005 -0.152837554401531 0.359709728311146 -0.556494332867712 0.114550916343408 -0.208584585192833 0.382773321561948 0.0675673474135454 -0.00299747554412904 
RDFr 0.854097297423019 1.09508680026465 1.31093309970389 0.625521437627633 1.0572251831796 0.240977442763471 0.198888670102882 0.605638227138214 -0.966954878018765 0.354045853093748 -0.33788241248292 -0.238127506316729 -0.39343440940313 0.295644662307715 1.24332983110221 2.63992998017338 0.343259263079629 0.474600775736793 1.54741595451614 -0.0795906013287496 -3.66512888894748 0.146052946983267 -0.108713621917165 0.206443053332493 -1.32387862738768 0.11341719961588 0.254426890158912 1.92360339149694 0.0452995426291232 -1.14691356992978 
