 F00 F01 F02 F03 F04 F05 F06 F07 F08 F09 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 
lhe 0.00357120065385741 -0.00821484500811765 -0.728981471699764 1.10261710697447 0.201550346720441 0.0016455226467177 -0.00827062202698529 0.00791740704740958 -0.115161647446966 -0.00121014723485559 -0.325275201319287 -0.0128685581090713 -1.35776075956422 -0.257247472480676 -2.01590411653269 -0.558944872165461 -0.119046655860132 -0.00772815349528763 -0.323401345753921 0.937538573781303 -0.0696534733320571 -0.361092853655443 -0.181877736116267 -1.69453899450432 -0.106064789448152 0.0401629346426454 -0.0383100896044317 -0.521315081574702 0.678563183198347 -0.0892347909008684 
rhe 0.00329570719247316 0.010622813891532 -0.366265501194663 1.28817643265454 0.0696784461814593 0.00572306268240995 -0.029219142605431 0.444657084864792 -0.616895558593952 -0.0279542824229093 -0.00196968285374951 -0.0193904381521855 -1.15122296853542 0.141647135114924 3.2570425335252 -0.430377076908847 -0.447703119969833 -0.199057121249564 -0.128243737423375 0.0935399217078481 -0.33970290012541 -0.948240293471455 -0.736449619596041 -1.07109303609315 -0.114570689902818 -0.223295736653058 -0.109464356553799 -0.767758548250601 1.04037538748209 -0.0161762030714027 
LE 0.000681649435705719 0.029688341131273 1.85306802940823 1.21898700831003 0.0187935155498354 0.0531657141646334 0.000944167128041112 0.0393538688243089 -0.149525542598683 -0.0209145795555462 0.0965265828827528 0.244755611821737 -1.21525413780146 -0.270315374860755 -0.364873415759094 -0.564673543130699 -0.174425141821425 -0.0188560720611928 -0.240463249636336 1.4382751895179 0.503571495127858 -0.717007607991818 -0.690414688966377 -1.49799475300234 0.082699840136809 0.343645135290874 -0.0551283412473982 -0.665341238640467 1.35740134742578 -0.077783637873769 
MiPf 0.0134828095458556 -0.0329960928976376 -2.8645932806028 1.18233347021728 0.918598251688656 -0.0568857195293952 -0.0154653186885002 -0.212293300844773 0.274175021951396 -0.0271260070386439 0.748418171244015 5.29013679201706 -1.43955950451312 -0.157164374720757 0.628298241346216 -0.16846913406318 -0.0619287262001446 0.738577847643727 0.225221417335332 3.01476930410535 0.860022661851257 -1.22577002244167 -0.355626972663236 -1.06848990766443 0.0264636360972605 0.627909083052206 0.0191224156255126 -0.549531325653702 2.51043502230866 -0.116756288339915 
LLPf 0.0115698535666834 -0.0241027410372318 -1.91985352189344 1.1367745938737 0.668020213250115 -0.0220286910075266 -0.00936418228313393 -0.230421539539734 0.0763909824354575 -0.00772988766656334 1.45730379237233 0.300089194011207 -1.51605522382477 -0.215829569051657 -1.10336159498614 -0.312569357819879 -0.0506940282656871 0.33196945773439 0.0709032641199325 1.52941177484087 0.193429592374195 -0.513542960295362 0.139823506792389 -1.6119374145612 -0.150019329843785 5.20764765005872 -0.13271243614165 -0.435971073369437 0.677112756034859 -0.156462873600251 
RLPf 0.0065213403328487 -0.0151958150969736 -2.19445604719822 1.23407536122249 0.651486733824926 -0.0262458973531041 -0.0371742216069452 -0.430924848702074 0.833745920856399 -0.0359188129166561 0.56108551274998 0.0516836669239534 -1.36424959733556 0.352715264289954 2.10206530288389 -0.105520637904158 0.0311017523038271 2.24086623437793 0.283961384410513 1.00612685305066 5.3258778295859 -1.22820117015286 -0.574881673651247 -1.07451245899528 -0.123057379212201 -0.0833319523802817 -0.0570723111031462 -0.574087087090816 1.52807295599312 -0.149968348996048 
LMPf 0.00501735669310902 -0.0195720296504233 -1.40298985642773 1.04934511603171 1.52307129405778 -0.00894483401554368 -0.0140619919834505 -0.455767779379595 0.483978709444957 -0.0536415902508763 1.37085348452038 -0.858909719850947 -1.17513300267287 6.6286954101944e-05 0.240527437213831 0.166782185720709 0.129803407441529 0.899332767144211 0.537401359822486 2.79396264494468 -0.151649594778407 -1.09486933621317 0.0168669192912426 -0.585383572196887 -0.0359663326217504 -0.180414984542605 -0.178645985876424 -0.257334294814135 1.16117120272329 -0.123693607355944 
RMPf 0.000511041109834478 -0.0246076727188367 -1.38686384896459 1.07647090795533 1.54745484596218 -0.00788861198966609 -0.0204621868089401 -0.639084678587433 0.784838874390843 -0.0551453119761176 0.917082942545503 -0.703056522298242 -1.16346408001374 0.158801186768428 0.680767389085267 0.268229267149044 0.176392383508448 1.53191636998206 0.515983219838035 1.65367610158837 0.133002341787127 -1.40707059554259 -0.0634267279320468 -0.459070259583508 -0.0745264609112222 -0.209330236631709 -0.145193705861641 -0.281488947633285 3.1303617828845 -0.196965948703012 
LDFr 0.00541101077023379 -0.0310098580905024 -0.944045822668867 1.00696110245425 1.24326373352692 -0.0161771080398732 -0.00470090497311908 -0.415087505719001 0.299859580029982 -0.0548968375896226 3.6545198161356 -0.390646935057203 -1.20373450282992 -0.0449961632042438 -0.447026363628631 0.126955455206443 0.130728923964871 0.454602862485009 0.812349705755039 1.03977873180015 -0.25945262735377 -0.258691777630482 0.820671153130614 -0.964114820516074 0.0741810827734104 -1.27799802279573 -0.194585640033665 -0.0816239501974281 0.0610755023586653 -0.158273045182691 
RDFr -0.0033595331958458 -0.00292737834327762 -0.884002133348479 1.08384368478342 1.33310987209372 0.00294394044327098 -0.0165697739840922 -1.81952981728573 1.74420429875381 -0.0363285152789796 0.68295520241104 -0.34131279345195 -0.914514485151016 0.99970497411349 1.01837344490969 0.464459264848983 0.352655771029218 3.32354789482866 0.548644928886217 0.480781655035568 -0.424562124634863 -1.15849131049542 -0.236560244819875 -0.376253081010155 -0.0189688736723499 -0.280699985670272 -0.0358151586243505 -0.232776502818236 1.74841757605058 -0.139048518393202 
