Item,ctx_n_words,exp_ver,adj_cond,noun_cond,adj,noun,lemma_adj,lemma_noun,constr_preadj,constr_postadj,gpt_logp_adj,freq_adj,pld20_adj,concr_adj,freq_noun,pld20_noun,concr_noun,p_preadj,p_postadj,DKL
1,14,1,top,top,important,email,important,email,0.313725490196078,0.448979591836735,-8.33079,10587,2.7,2.14,106,1.9,4.69,0.313725490196078,0.448979591836735,0.149756734617932
1,14,2,low,low,footer,note,footer,note,0.313725490196078,0.283018867924528,-15.42045,5,1.6,3.68,2731,1.15,4.61,0,0.283018867924528,0.591458669861063
1,14,3,low,top,footer,email,footer,email,0.313725490196078,0.283018867924528,-15.42045,5,1.6,3.68,106,1.9,4.69,0.313725490196078,0.150943396226415,0.591458669861063
1,14,4,top,low,important,note,important,note,0.313725490196078,0.448979591836735,-8.33079,10587,2.7,2.14,2731,1.15,4.61,0,0.0204081632653061,0.149756734617932
2,10,1,low,top,neighborhood,beach,neighborhood,beach,0.758620689655172,0.591836734693878,-10.03669,1871,4.65,4.75,2888,1.35,4.79,0.758620689655172,0.0204081632653061,1.59391245267566
2,10,2,top,low,sandy,pool,sandy,pool,0.758620689655172,0.980392156862745,-9.45194,1186,1.5,4.07,2396,1.1,4.77,0.0172413793103448,0,0.122354054010838
2,10,3,top,top,sandy,beach,sandy,beach,0.758620689655172,0.980392156862745,-9.45194,1186,1.5,4.07,2888,1.35,4.79,0.758620689655172,0.980392156862745,0.122354054010838
2,10,4,low,low,neighborhood,pool,neighborhood,pool,0.758620689655172,0.591836734693878,-10.03669,1871,4.65,4.75,2396,1.1,4.77,0.0172413793103448,0.591836734693878,1.59391245267566
4,7,1,low,top,frosty,door,frosty,door,0.96078431372549,0.325,-13.69147,121,1.9,3.9,14895,1.35,4.81,0.96078431372549,0.225,0.98581493496332
4,7,2,top,low,front,window,front,window,0.96078431372549,0.944444444444444,-4.240284,9259,1.8,3.77,4386,1.95,4.86,0.0196078431372549,0,0.0537584534331258
4,7,3,top,top,front,door,front,door,0.96078431372549,0.944444444444444,-4.240284,9259,1.8,3.77,14895,1.35,4.81,0.96078431372549,0.944444444444444,0.0537584534331258
4,7,4,low,low,frosty,window,frosty,window,0.96078431372549,0.325,-13.69147,121,1.9,3.9,4386,1.95,4.86,0.0196078431372549,0.325,0.98581493496332
5,9,1,low,top,tiny,bird,tiny,bird,0.1,0.1,-4.44833,1643,1.45,3.11,2318,1.6,5,0.1,0.04,0.352738247821666
5,9,2,top,low,flying,speck,fly,speck,0.1,0.244897959183673,-8.21412,2579,1.7,4.64,95,1.65,4.46,0,0,0.50634432868145
5,9,3,top,top,flying,bird,fly,bird,0.1,0.244897959183673,-8.21412,2579,1.7,4.64,2318,1.6,5,0.1,0.244897959183673,0.50634432868145
5,9,4,low,low,tiny,speck,tiny,speck,0.1,0.1,-4.44833,1643,1.45,3.11,95,1.65,4.46,0,0.1,0.352738247821666
7,16,1,low,low,younger,sister,younger,sister,0.254901960784314,0.607142857142857,-5.90222,1257,1.9,2.79,9207,1.7,4,0.0392156862745098,0.607142857142857,1.53712311514639
7,16,2,low,top,younger,boyfriend,younger,boyfriend,0.254901960784314,0.607142857142857,-5.90222,1257,1.9,2.79,3684,3.65,4.59,0.176470588235294,0,1.53712311514639
7,16,3,top,low,new,sister,new,sister,0.254901960784314,0.468085106382979,-5.23441,36913,1,2.81,9207,1.7,4,0.0392156862745098,0,0.2785787257411
7,16,4,top,top,new,boyfriend,new,boyfriend,0.254901960784314,0.468085106382979,-5.23441,36913,1,2.81,3684,3.65,4.59,0.176470588235294,0.468085106382979,0.2785787257411
8,6,1,low,low,tasty,treat,tasty,treat,0.274509803921569,0.422222222222222,-10.37601,322,1.6,2.86,2646,1.65,3.79,0,0.422222222222222,0.822544691041713
8,6,2,low,top,tasty,cookie,tasty,cookie,0.274509803921569,0.422222222222222,-10.37601,322,1.6,2.86,852,1.55,5,0.274509803921569,0.133333333333333,0.822544691041713
8,6,3,top,low,homemade,treat,homemade,treat,0.274509803921569,0.542372881355932,-10.41014,146,2.9,2.9,2646,1.65,3.79,0,0,0.473431057925935
8,6,4,top,top,homemade,cookie,homemade,cookie,0.274509803921569,0.542372881355932,-10.41014,146,2.9,2.9,852,1.55,5,0.274509803921569,0.542372881355932,0.473431057925935
9,8,1,top,low,fast,watch,fast,watch,0.1875,0.652173913043478,-8.230285,7010,1,3.32,16831,1.55,4.61,0.0208333333333333,0,0.594502008663445
9,8,2,top,top,fast,car,fast,car,0.1875,0.652173913043478,-8.230285,7010,1,3.32,24636,1,4.89,0.1875,0.652173913043478,0.594502008663445
9,8,3,low,low,expensive,watch,expensive,watch,0.1875,0.568181818181818,-6.21115,1425,2.45,3.13,16831,1.55,4.61,0.0208333333333333,0.568181818181818,0.956155570607239
9,8,4,low,top,expensive,car,expensive,car,0.1875,0.568181818181818,-6.21115,1425,2.45,3.13,24636,1,4.89,0.1875,0.113636363636364,0.956155570607239
12,15,1,top,top,comic,books,comic,book,0.76,0.979166666666667,-10.66942,552,1.8,4,3456,1.3,4.9,0.76,0.979166666666667,0.133946189641849
12,15,2,low,low,student,loan,student,loan,0.76,0.464285714285714,-4.29716,2195,2.7,4.92,1013,1.15,3.72,0.12,0.357142857142857,0.290311413205959
12,15,3,low,top,student,books,student,book,0.76,0.464285714285714,-4.29716,2195,2.7,4.92,3456,1.3,4.9,0.76,0.464285714285714,0.290311413205959
12,15,4,top,low,comic,loan,comic,loan,0.76,0.979166666666667,-10.66942,552,1.8,4,1013,1.15,3.72,0.12,0,0.133946189641849
13,8,1,top,top,polo,shirt,polo,shirt,0.901960784313725,0.980769230769231,-5.59005,178,1.35,4.43,2365,1.55,4.94,0.901960784313725,0.980769230769231,0.050207505640797
13,8,2,low,low,cargo,pants,cargo,pants,0.901960784313725,0.64,-9.29435,459,1.75,4.62,2996,1.1,4.86,0.0588235294117647,0.64,1.93091364948544
13,8,3,low,top,cargo,shirt,cargo,shirt,0.901960784313725,0.64,-9.29435,459,1.75,4.62,2365,1.55,4.94,0.901960784313725,0.02,1.93091364948544
13,8,4,top,low,polo,pants,polo,pants,0.901960784313725,0.980769230769231,-5.59005,178,1.35,4.43,2996,1.1,4.86,0.0588235294117647,0,0.050207505640797
14,4,1,top,top,dry,soil,dry,soil,0.75,0.872727272727273,-8.675162,2184,1.3,3.77,397,1.4,4.87,0.75,0.872727272727273,0.125723246111953
14,4,2,low,low,green,grass,green,grass,0.75,0.653061224489796,-8.19806,3696,1.55,4.07,856,1.35,4.93,0.0833333333333333,0.653061224489796,1.16786000172072
14,4,3,low,top,green,soil,green,soil,0.75,0.653061224489796,-8.19806,3696,1.55,4.07,397,1.4,4.87,0.75,0,1.16786000172072
14,4,4,top,low,dry,grass,dry,grass,0.75,0.872727272727273,-8.675162,2184,1.3,3.77,856,1.35,4.93,0.0833333333333333,0.0363636363636364,0.125723246111953
16,10,1,low,low,Persian,rug,Persian,rug,0.46,0.94,-12.15394,109,2.3,,531,1,4.79,0.12,0.94,1.38907084240912
16,10,2,low,top,Persian,mat,Persian,mat,0.46,0.94,-12.15394,109,2.3,,178,1,4.83,0.46,0,1.38907084240912
16,10,3,top,low,rubber,rug,rubber,rug,0.46,0.682926829268293,-7.0994,714,1.65,4.86,531,1,4.79,0.12,0,0.21975414062178
16,10,4,top,top,rubber,mat,rubber,mat,0.46,0.682926829268293,-7.0994,714,1.65,4.86,178,1,4.83,0.46,0.682926829268293,0.21975414062178
17,7,1,top,low,computer,teacher,computer,teacher,0.291666666666667,0.45945945945946,-8.068683,3011,1.85,4.93,2842,1.75,4.52,0.208333333333333,0.027027027027027,0.707974246254596
17,7,2,top,top,computer,desk,computer,desk,0.291666666666667,0.45945945945946,-8.068683,3011,1.85,4.93,2239,1.65,4.87,0.291666666666667,0.45945945945946,0.707974246254596
17,7,3,low,low,substitute,teacher,substitute,teacher,0.291666666666667,0.98,-10.36497,238,3.3,2.82,2842,1.75,4.52,0.208333333333333,0.98,0.985391761689136
17,7,4,low,top,substitute,desk,substitute,desk,0.291666666666667,0.98,-10.36497,238,3.3,2.82,2239,1.65,4.87,0.291666666666667,0.02,0.985391761689136
20,7,1,low,top,glass,stamps,glass,stamp,0.254901960784314,0.278688524590164,-5.75905,3096,1.75,4.82,267,1.75,4.7,0.254901960784314,0,1.11592484202567
20,7,2,top,low,postage,marbles,postage,marble,0.254901960784314,0.975609756097561,-7.97845,48,1.85,4.37,155,1.9,4.85,0.0392156862745098,0,0.69225686878022
20,7,3,top,top,postage,stamps,postage,stamp,0.254901960784314,0.975609756097561,-7.97845,48,1.85,4.37,267,1.75,4.7,0.254901960784314,0.975609756097561,0.69225686878022
20,7,4,low,low,glass,marbles,glass,marble,0.254901960784314,0.278688524590164,-5.75905,3096,1.75,4.82,155,1.9,4.85,0.0392156862745098,0.278688524590164,1.11592484202567
21,11,1,low,top,rental,clothes,rental,clothes,0.229166666666667,0.877551020408163,-6.80169,246,1.75,2.65,5158,1.85,4.76,0.125,0,1.24558384122317
21,11,2,top,low,washed,car,wash,car,0.229166666666667,0.543478260869565,-12.92253,718,1.45,4.35,24636,1,4.89,0.0625,0.0869565217391304,0.458915632336949
21,11,3,top,top,washed,clothes,wash,clothes,0.229166666666667,0.543478260869565,-12.92253,718,1.45,4.35,5158,1.85,4.76,0.125,0.543478260869565,0.458915632336949
21,11,4,low,low,rental,car,rental,car,0.229166666666667,0.877551020408163,-6.80169,246,1.75,2.65,24636,1,4.89,0.0625,0.877551020408163,1.24558384122317
24,6,1,low,low,soft,drink,soft,drink,0.758620689655172,0.326530612244898,-9.060329,1633,1.6,3.88,12617,1.65,4.76,0.0172413793103448,0.326530612244898,0.856556689823786
24,6,2,low,top,soft,eyes,soft,eye,0.758620689655172,0.326530612244898,-9.060329,1633,1.6,3.88,11299,1.55,4.9,0.758620689655172,0.122448979591837,0.856556689823786
24,6,3,top,low,red,drink,red,drink,0.758620689655172,0.75,-7.17945,7551,1,4.24,12617,1.65,4.76,0.0172413793103448,0.0454545454545455,0.125857967500209
24,6,4,top,top,red,eyes,red,eye,0.758620689655172,0.75,-7.17945,7551,1,4.24,11299,1.55,4.9,0.758620689655172,0.75,0.125857967500209
26,5,1,top,top,borrowed,car,borrow,car,0.196078431372549,0.5,-9.53545,519,2.45,3.1,24636,1,4.89,0.196078431372549,0.5,0.343228808148023
26,5,2,low,low,mountain,bike,mountain,bike,0.196078431372549,0.5625,-8.13666,1805,2.55,4.96,1320,1.1,5,0.0588235294117647,0.5625,0.851370204965592
26,5,3,low,top,mountain,car,mountain,car,0.196078431372549,0.5625,-8.13666,1805,2.55,4.96,24636,1,4.89,0.196078431372549,0,0.851370204965592
26,5,4,top,low,borrowed,bike,borrow,bike,0.196078431372549,0.5,-9.53545,519,2.45,3.1,1320,1.1,5,0.0588235294117647,0.037037037037037,0.343228808148023
28,7,1,top,top,bright,fire,bright,fire,0.948275862068965,0.951219512195122,-10.198493,2265,1.65,3.92,10990,1,4.68,0.948275862068965,0.951219512195122,0.0208003787812201
28,7,2,low,low,improvised,tent,improvise,tent,0.948275862068965,0.408163265306122,-9.75586,29,3.1,2.07,892,1,4.96,0.0517241379310345,0.408163265306122,0.671755763912493
28,7,3,low,top,improvised,fire,improvise,fire,0.948275862068965,0.408163265306122,-9.75586,29,3.1,2.07,10990,1,4.68,0.948275862068965,0.387755102040816,0.671755763912493
28,7,4,top,low,bright,tent,bright,tent,0.948275862068965,0.951219512195122,-10.198493,2265,1.65,3.92,892,1,4.96,0.0517241379310345,0.024390243902439,0.0208003787812201
30,8,1,low,top,Persian,sister,Persian,sister,0.22,0.566037735849057,-11.34125,109,2.3,,9207,1.7,4,0.22,0,1.3844058667593
30,8,2,top,low,twin,cat,twin,cat,0.22,0.962962962962963,-5.53423,532,1.4,4.17,3383,1,4.86,0.06,0,0.75657474549566
30,8,3,top,top,twin,sister,twin,sister,0.22,0.962962962962963,-5.53423,532,1.4,4.17,9207,1.7,4,0.22,0.962962962962963,0.75657474549566
30,8,4,low,low,Persian,cat,Persian,cat,0.22,0.566037735849057,-11.34125,109,2.3,,3383,1,4.86,0.06,0.566037735849057,1.3844058667593
31,12,1,top,low,long,mustache,long,mustache,0.896551724137931,0.981481481481481,-2.742354,34433,1,3.18,252,2.75,4.9,0.0862068965517242,0,0.065152803705364
31,12,2,top,top,long,beard,long,beard,0.896551724137931,0.981481481481481,-2.742354,34433,1,3.18,643,1.65,4.96,0.896551724137931,0.981481481481481,0.065152803705364
31,12,3,low,low,twisted,mustache,twist,mustache,0.896551724137931,0.458333333333333,-11.6617,540,1.95,3.9,252,2.75,4.9,0.0862068965517242,0.354166666666667,0.411952206382751
31,12,4,low,top,twisted,beard,twist,beard,0.896551724137931,0.458333333333333,-11.6617,540,1.95,3.9,643,1.65,4.96,0.896551724137931,0.458333333333333,0.411952206382751
33,13,1,top,low,dark,bull,dark,bull,0.509803921568627,0.770833333333333,-10.381504,4519,1,4.29,1403,1.05,4.85,0.137254901960784,0,0.372300715680673
33,13,2,top,top,dark,storm,dark,storm,0.509803921568627,0.770833333333333,-10.381504,4519,1,4.29,1574,1.75,4.7,0.509803921568627,0.770833333333333,0.372300715680673
33,13,3,low,low,Spanish,bull,spanish,bull,0.509803921568627,0.361702127659575,-10.46307,1130,2.35,,1403,1.05,4.85,0.137254901960784,0.361702127659575,0.438774325996755
33,13,4,low,top,Spanish,storm,spanish,storm,0.509803921568627,0.361702127659575,-10.46307,1130,2.35,,1574,1.75,4.7,0.509803921568627,0.0638297872340426,0.438774325996755
35,7,1,top,low,generous,chance,generous,chance,0.979166666666667,1,-6.56098,852,2.75,2.25,12303,1.8,1.64,0.0208333333333333,0,0.00605684648976547
35,7,2,top,top,generous,tip,generous,tip,0.979166666666667,1,-6.56098,852,2.75,2.25,1409,1,4.5,0.979166666666667,1,0.00605684648976547
35,7,3,low,low,second,chance,second,chance,0.979166666666667,0.816326530612245,-3.343545,14513,2.05,3.3,12303,1.8,1.64,0.0208333333333333,0.816326530612245,2.30393680334507
35,7,4,low,top,second,tip,second,tip,0.979166666666667,0.816326530612245,-3.343545,14513,2.05,3.3,1409,1,4.5,0.979166666666667,0.0408163265306122,2.30393680334507
39,7,1,top,top,kitchen,sink,kitchen,sink,1,0.949152542372881,-2.26302,2974,2.05,4.97,863,1,4.74,1,0.949152542372881,0.0109510296124869
