STRING,Orth,Orth_F
absence,0,0
abstract,0,0
accident,1,0.06
affordable,0,0
air,5,55.35
airlines,2,0.77
allergic,0,0
ambiguous,0,0
antenna,0,0
apples,0,0
arena,1,0
argue,1,1.96
arm,5,894.28
arms,7,24.99
assignment,0,0
attend,0,0
attractive,0,0
autumn,0,0
bait,5,26.88
ball,18,45.2
balloon,0,0
banned,9,3.64
banners,5,6.12
bargain,0,0
battle,6,21
bear,19,73.59
beat,19,46.13
bedroom,0,0
bees,18,159.83
bicycle,0,0
blankets,0,0
blue,5,1.74
bonus,3,19.87
boss,16,16.41
bottle,3,25.48
boxes,8,7.73
brain,6,20.33
bread,6,30.17
brief,1,16.24
broken,1,3.45
bugs,16,3.12
bullets,5,0.32
bus,9,597.93
bushes,10,1.27
business,1,0.59
cafe,10,143.31
camp,9,85.72
car,18,168.04
cards,9,8.35
cargo,1,0.24
cartoons,0,0
castle,1,33.2
cathedral,0,0
cave,17,369.79
cavern,1,3.87
ceiling,2,1.13
celebrity,0,0
cement,1,0
censored,1,0.89
ceremonies,0,0
chain,1,110.66
chaos,4,1.83
chapel,0,0
chatting,2,2.41
cheap,2,2.11
chilly,3,0.75
choir,1,110.66
church,0,0
classes,4,15.62
cliff,0,0
coat,10,26.61
cold,12,70.77
college,1,2.08
collision,1,1.37
combat,1,0.12
company,0,0
complain,0,0
composure,0,0
conclude,0,0
confidence,0,0
contagious,1,0
contaminated,1,0.18
contemporary,0,0
contrast,1,34.15
convenience,0,0
convict,0,0
cook,14,100.1
cool,12,16.33
correct,0,0
cost,13,124.77
couch,6,25.4
country,0,0
courageous,0,0
cover,12,3.22
cow,24,128.62
crash,5,4.85
criminal,0,0
crown,8,26.68
cub,14,22.12
cure,12,46.38
damp,10,15.33
dance,2,0.74
dark,11,14.55
deal,17,42.89
deer,12,27.21
delivery,1,2.14
destroyed,1,3.93
diamond,0,0
diary,1,1.07
diet,5,32.61
dinner,4,3.12
dirt,6,11.54
dirty,1,0.48
disabled,1,0.18
dishes,4,7.79
disorder,0,0
disqualified,1,0.18
ditch,6,12.74
doctor,0,0
dog,15,8.58
doll,11,7.92
drum,4,5.16
dumb,2,5.95
dusk,9,16.54
effort,0,0
embarrassed,1,0.24
end,1,28470.7
endangered,0,0
enemy,1,0.48
engaged,2,3.42
engine,0,0
engineer,0,0
even,4,119.4
event,1,0
exhausted,0,0
expensive,2,10.41
exploded,2,3.99
extend,2,38.34
eyes,8,0.91
fabric,0,0
fear,12,98.04
felon,1,2.26
female,0,0
fever,5,189.51
fib,15,7.65
fighting,3,6.66
filthy,0,0
fired,11,16.83
flee,9,28.99
flooded,2,0.74
fly,6,3.96
forest,1,0
forgiven,1,0.3
fortune,0,0
fragile,0,0
genuine,0,0
glasses,3,23.6
gown,5,284.14
grease,2,4.52
group,1,1.25
hands,9,5.68
happy,5,0.36
hard,13,49.25
hat,23,409.05
heard,4,46.05
helicopters,0,0
help,7,47.94
heroic,1,3.69
hiding,8,4.25
highway,0,0
hilarious,0,0
horse,8,82.86
horses,3,42.91
hospital,0,0
humorous,0,0
hungry,0,0
hunt,9,19.11
hut,17,525.28
ideas,1,47.71
image,0,0
incorrect,0,0
infectious,1,6.9
ink,4,3.57
insects,3,0.59
instructions,0,0
invaders,0,0
jacket,2,12.79
jaw,14,45.72
jet,13,201.08
joke,6,6.18
jokes,8,3.41
journal,0,0
keys,4,0.18
king,9,59.73
lake,18,215.12
lamp,12,12.72
land,12,57.18
leash,3,121.29
leave,3,4.22
legs,15,32.86
letter,6,83.04
lie,12,22.41
lifestyle,0,0
lights,8,16.15
limb,6,6.24
lonely,1,53.66
look,12,70.84
lunch,6,5.42
management,0,0
marriage,1,13.33
married,5,27.33
material,1,10.23
meal,13,66.84
mechanic,0,0
medal,3,16.36
medicine,0,0
meeting,1,6.54
menus,4,2.96
metal,2,3.21
military,0,0
mind,13,88.65
mine,23,42.36
mischief,0,0
mission,1,2.97
mistakes,1,15.35
modern,0,0
month,1,140.46
morals,5,2.68
morning,2,2.92
mouse,8,71.25
music,0,0
needle,0,0
needy,4,42.08
neighbor,0,0
note,9,28.62
older,5,57.27
opinion,0,0
orchestra,0,0
oven,5,601.78
ownership,0,0
palace,1,1.78
pale,22,14.81
pans,20,8.65
parade,0,0
party,7,15.3
pattern,2,0.09
pedestrians,0,0
people,0,0
perfect,0,0
person,1,2.92
physician,0,0
piles,13,17.08
pillow,2,2.11
pills,14,9.01
pin,18,13.57
plane,6,121.43
plants,4,5.86
pointed,4,18.52
poker,5,67.41
police,2,92.48
politician,0,0
pool,9,41.62
poor,8,51.35
porch,6,3.22
posted,6,2.05
prepared,1,2.14
press,5,18.1
pretty,0,0
price,5,26.3
princess,0,0
principal,0,0
print,3,135.29
printed,4,30.61
procedures,0,0
productive,0,0
project,1,48.31
published,2,4.94
puppy,4,2.04
quiet,2,10.98
raise,0,0
rare,16,33.36
rat,25,31.46
ready,4,5.09
real,15,37.8
reflection,1,0.3
relaxing,2,5.56
remedy,0,0
reputation,2,1.16
resign,1,81.62
rest,12,57.55
restaurant,0,0
reward,3,16.54
river,13,2.48
roads,8,3.11
robbery,3,1.76
role,18,20.47
roof,8,62.65
room,9,10.74
roses,13,10.57
ruined,2,2.68
run,16,27.17
safety,1,22.55
said,8,37.73
sales,16,5.41
sap,22,72.2
savior,0,0
scars,12,6.14
school,0,0
scratch,0,0
scratching,0,0
screened,0,0
search,1,5.53
sell,11,167.34
separately,0,0
service,1,1.37
shack,9,10.78
shadow,0,0
sharp,4,26.5
shelter,1,0
ships,9,7.33
shore,13,31.14
short,7,21.49
shortly,0,0
shrine,3,2.14
sick,15,12.93
sight,10,247.15
simmer,3,41.27
size,4,110.97
sky,7,113.33
sleep,6,13.93
smile,2,0.68
sofa,3,32.03
soil,7,11.63
solicitation,0,0
soon,8,15.21
sound,7,134.94
speak,4,5.98
speech,0,0
stacks,7,6.68
stadium,0,0
stands,0,0
state,8,23.8
statue,1,75.85
stereo,0,0
stock,6,27.58
stores,13,7.58
storm,3,74.17
stove,7,25.35
stream,2,9.91
streets,0,0
stress,1,0
stretch,0,0
stroll,1,3.33
stupid,0,0
sun,17,34.55
supply,1,3.51
swim,6,4.1
takeoff,0,0
talk,10,29.86
tattoos,0,0
taxes,11,13.43
taxis,2,10.71
temper,0,0
temple,0,0
tension,1,44.74
terms,5,4.88
terrible,1,22.49
terror,0,0
texture,0,0
theatre,0,0
tied,8,19.9
tires,12,38.94
today,2,0.06
tooth,3,3.09
torn,15,41.92
treason,0,0
trophy,0,0
trouble,0,0
truck,4,22.22
try,7,26.38
tsunami,0,0
tub,13,3.78
tumors,1,7.73
twice,2,1.22
ugly,0,0
umbrella,0,0
unique,0,0
uttered,0,0
vacation,1,2.68
vague,2,58.3
values,4,3.09
van,11,287.94
vanished,2,2.65
view,2,0.71
villain,1,0
vote,6,14.66
walk,7,55.07
watch,8,22.42
water,8,55.15
weekends,0,0
wheels,0,0
wind,13,112.82
wires,12,5.87
words,9,18.1
wounds,8,38.53
wreck,2,0.62
wrong,3,1.67
year,13,68
yell,9,203.92
young,0,0
