TargetWords,ZipfFrequency,NumTokens
raise,4.75,1
couch,4.17,1
try,5.5,1
look,5.81,1
print,4.54,1
ball,5.04,1
wheels,4.25,1
management,5.13,1
bugs,4.04,1
pretty,5.38,1
rare,4.77,1
temple,4.45,1
police,5.33,1
orchestra,4.01,1
cards,4.76,1
company,5.6,1
dog,5.1,1
combat,4.56,1
cheap,4.71,1
morals,3.65,1
hilarious,4.27,1
restaurant,4.68,1
felon,3.17,1
medicine,4.73,1
school,5.71,1
year,5.96,1
vague,3.87,1
plants,4.71,1
modern,5.07,1
doctor,4.9,1
censored,3.38,1
medal,4.39,1
pool,4.67,1
heroic,3.84,1
diary,4.09,1
plane,4.72,1
car,5.45,1
complain,4.23,1
villain,3.88,1
crown,4.56,1
drum,4.11,1
ruined,4.26,1
accident,4.71,1
tied,4.47,1
exhausted,4.08,1
confidence,4.65,1
fabric,4.08,1
run,5.49,1
stadium,4.63,1
storm,4.66,1
crash,4.55,1
lunch,4.66,1
roads,4.55,1
needle,3.98,1
bear,4.71,1
stress,4.73,1
hands,5.16,1
cure,4.32,1
view,5.19,1
end,5.68,1
sales,5.02,1
terms,5.1,1
young,5.43,1
business,5.56,1
contagious,3.58,1
water,5.52,1
walk,5.08,1
published,5.07,1
mouse,4.31,1
cold,5.02,1
soil,4.42,1
note,5.04,1
perfect,5.2,1
shore,4.33,1
church,5.16,1
dirty,4.55,1
sun,4.97,1
price,5.23,1
ready,5.28,1
brain,4.94,1
married,5.03,1
trouble,4.79,1
cover,5.08,1
real,5.6,1
simmer,3.27,1
shadow,4.44,1
lie,4.84,1
room,5.39,1
scars,3.76,1
fear,4.95,1
sharp,4.48,1
stretch,4.35,1
enemy,4.7,1
poor,5.09,1
cave,4.2,1
antenna,3.77,1
stock,4.93,1
party,5.49,1
soon,5.32,1
oven,4.05,1
short,5.33,1
bus,4.83,1
deal,5.32,1
lights,4.64,1
leash,3.47,1
piles,3.59,1
speak,5.03,1
arm,4.73,1
wrong,5.39,1
said,6.01,1
palace,4.45,1
mission,4.87,1
air,5.37,1
sleep,5.05,1
search,4.96,1
bonus,4.45,1
sofa,3.81,1
effort,4.92,1
image,4.94,1
press,5.16,1
dance,4.93,1
tires,4.03,1
ownership,4.4,1
insects,4.02,1
attractive,4.53,1
ink,4.07,1
unique,4.75,1
shrine,3.73,1
military,5.2,1
choir,3.88,1
poker,3.97,1
puppy,4.0,1
fighting,4.92,1
affordable,4.22,1
values,4.67,1
humorous,3.6,1
cafe,4.09,1
convict,3.56,1
pills,4.05,1
classes,4.77,1
month,5.25,1
ambiguous,3.57,1
roses,4.01,1
contemporary,4.49,1
physician,4.18,1
screened,3.66,1
trophy,4.17,1
lake,4.83,1
courageous,3.59,1
journal,4.77,1
jet,4.29,1
engine,4.84,1
argue,4.46,1
criminal,4.75,1
hat,4.53,1
pans,3.48,1
destroyed,4.61,1
even,5.99,1
beat,5.01,1
composure,3.18,1
material,4.95,1
flee,3.81,1
stands,4.61,1
tsunami,3.52,1
wreck,3.96,1
collision,3.95,1
dinner,4.78,1
streets,4.66,1
pin,4.28,1
cub,3.49,1
tension,4.22,1
arms,4.82,1
remedy,3.82,1
sight,4.54,1
conclude,3.9,1
solicitation,3.17,1
words,5.25,1
older,4.92,1
service,5.49,1
infectious,3.81,1
river,5.03,1
stroll,3.54,1
printed,4.4,1
rat,4.17,1
chilly,3.5,1
dirt,4.24,1
letter,4.95,1
correct,4.79,1
land,5.22,1
cathedral,3.99,1
filthy,3.8,1
lamp,4.05,1
cost,5.24,1
prepared,4.74,1
truck,4.64,1
mind,5.41,1
engaged,4.52,1
mischief,3.36,1
shelter,4.25,1
genuine,4.37,1
cook,4.65,1
reflection,4.17,1
fib,2.66,1
bedroom,4.46,1
wounds,4.07,1
terror,4.26,1
pointed,4.46,1
extend,4.34,1
invaders,3.43,1
needy,3.58,1
cavern,3.08,1
wires,3.85,1
supply,4.81,1
person,5.55,1
shortly,4.47,1
stove,3.71,1
brief,4.52,1
van,4.78,1
bargain,3.95,1
college,5.27,1
chain,4.65,1
stacks,3.49,1
talk,5.42,1
limb,3.7,1
incorrect,3.94,1
uttered,3.18,1
castle,4.45,1
assignment,4.18,1
wind,4.84,1
rest,5.23,1
hunt,4.49,1
project,5.22,1
jacket,4.32,1
role,5.16,1
ideas,4.84,1
stores,4.63,1
meeting,5.15,1
instructions,4.37,1
menus,3.44,1
sap,3.6,1
abstract,4.14,1
cement,3.94,1
fragile,3.86,1
statue,4.09,1
disabled,4.29,1
engineer,4.5,1
music,5.52,1
country,5.48,1
keys,4.39,1
ships,4.55,1
ugly,4.42,1
marriage,4.91,1
terrible,4.71,1
meal,4.48,1
politician,4.16,1
pillow,3.96,1
chaos,4.27,1
event,5.18,1
dishes,4.13,1
expensive,4.69,1
neighbor,4.11,1
tooth,4.08,1
theatre,4.52,1
king,5.17,1
bicycle,3.98,1
bees,3.96,1
jaw,3.98,1
leave,5.34,1
princess,4.53,1
gown,3.75,1
bushes,3.58,1
damp,3.62,1
celebrity,4.29,1
posted,4.97,1
blue,5.13,1
opinion,4.94,1
pattern,4.56,1
smile,4.64,1
parade,4.16,1
battle,4.94,1
exploded,3.77,1
takeoff,3.35,1
airlines,4.19,1
glasses,4.34,1
mine,5.04,1
tumors,3.62,1
banners,3.6,1
hospital,5.07,1
sky,4.72,1
sell,4.98,1
delivery,4.59,1
procedures,4.36,1
female,5.0,1
today,5.55,1
scratching,3.56,1
horses,4.45,1
swim,4.21,1
banned,4.41,1
dark,5.04,1
doll,4.06,1
safety,4.97,1
torn,4.08,1
tub,3.85,1
boss,4.76,1
watch,5.34,1
reputation,4.47,1
happy,5.35,1
jokes,4.33,1
help,5.75,1
contaminated,3.7,1
cool,5.15,1
horse,4.76,1
joke,4.68,1
principal,4.52,1
tattoos,3.84,1
hiding,4.32,1
broken,4.88,1
fly,4.75,1
camp,4.79,1
hungry,4.45,1
contrast,4.46,1
state,5.78,1
vote,5.11,1
separately,4.08,1
grease,3.72,1
productive,4.22,1
group,5.57,1
dusk,3.44,1
mechanic,3.79,1
stereo,3.77,1
diet,4.57,1
boxes,4.34,1
resign,3.97,1
lonely,4.25,1
heard,5.27,1
twice,4.84,1
morning,5.33,1
vacation,4.4,1
helicopters,3.72,1
umbrella,3.89,1
autumn,4.26,1
treason,3.84,1
disorder,4.31,1
weekends,4.05,1
allergic,3.78,1
disqualified,3.44,1
blankets,3.67,1
metal,4.82,1
fired,4.63,1
ditch,3.9,1
speech,4.85,1
bottle,4.57,1
taxis,3.44,1
cargo,4.19,1
forest,4.7,1
endangered,3.86,1
embarrassed,4.05,1
highway,4.49,1
pedestrians,3.44,1
arena,4.33,1
sound,5.15,1
diamond,4.42,1
temper,3.81,1
porch,3.85,1
attend,4.55,1
mistakes,4.45,1
eyes,5.21,1
fortune,4.3,1
bullets,4.02,1
texture,3.93,1
hard,5.53,1
chapel,4.03,1
savior,3.67,1
legs,4.67,1
forgiven,3.66,1
relaxing,3.9,1
deer,4.12,1
sick,4.88,1
size,5.13,1
flooded,3.79,1
taxes,4.65,1
fever,4.22,1
people,6.25,1
apples,3.96,1
convenience,4.02,1
quiet,4.65,1
chatting,3.77,1
yell,3.85,1
ceremonies,3.73,1
bread,4.5,1
lifestyle,4.29,1
pale,4.08,1
stream,4.62,1
cartoons,3.74,1
scratch,4.16,1
absence,4.34,1
vanished,3.72,1
bait,3.85,1
cow,4.14,1
robbery,3.97,1
cliff,4.1,1
stupid,4.94,1
ceiling,4.18,1
coat,4.36,1
shack,3.43,1
dumb,4.54,1
roof,4.55,1
hut,3.84,1
balloon,3.9,1
reward,4.33,1
